lex,default
Σεκοῦνδος,Sekundus
Σελεύκεια,Seleukia
Σεμεΐν,Shim'i
Σερούχ,Serug
Σιδών,Sidon
Σιδώνιος,fra Sidon
Σιλουανός,Silvanus
Σιλωάμ,Siloa
Σιλᾶς,Silas
Σινᾶ,Sinaj
Σιών,Zion
Σκευᾶς,Skeuas
Σκύθης,skyte
Σμύρνα,Smyrna
Σολομών,Solomon
Σουσάννα,Susanna
Σπανία,Spanien
Στάχυς,Stakys
Στέφανος,Stefanus
Στεφανᾶς,Stefanas
Στοϊκός,stoisk
Συμεών,Simon
Συντύχη,Syntyke
Συράκουσαι,Syrakus
Συρία,Syrien
Συροφοινίκισσα,syrisk-fønikisk
Συχάρ,Sykar
Συχέμ,Sike
Σωσίπατρος,Sosipatros
Σωσθένης,Sosthenes
Σόδομα,Sodoma
Σύρος,syrer
Σύρτις,Syrtebugten
Σώπατρος,Sopatros
Τέρτιος,Tertius
Τέρτυλλος,Tertullus
Τίμων,Timon
Τίτιος,Titus
Τίτος,Titus
Ταβιθά,Tabitha
Ταρσεύς,fra Tarsus
Ταρσός,Tarsus
Τιβέριος,Tiberius
Τιβεριάς,Tiberias
Τιμαῖος,Timæus
Τιμόθεος,Timotheus
Τραχωνῖτις,Trakonitis
Τρυφῶσα,Tryfosa
Τρόφιμος,Trofimos
Τρύφαινα,Tryfæna
Τρῳάς,Troas
Τυχικός,Tykikos
Τύραννος,Tyrannos
Τύριος,indbygger i Tyrus
Τύρος,Tyrus
Φάλεκ,Peleg
Φάρες,Peres
Φίλητος,Filetus
Φίλιπποι,Filippi
Φίλιππος,Filip
Φανουήλ,Fanuel
Φαραώ,Farao
Φαρισαῖος,farisæer
Φιλήμων,Filemon
Φιλαδέλφεια,Filadelfia
Φιλιππήσιος,filipper
Φιλόλογος,Filologos
Φλέγων,Flegon
Φοίβη,Føbe
Φοινίκη,Fønikien
Φορτουνᾶτος,Fortunatus
Φοῖνιξ,Fønix
Φρυγία,Frygien
Φύγελος,Fygelos
Φῆλιξ,Felix
Φῆστος,Festus
Χίος,Kios
Χαλδαῖος,kaldæernes
Χανάαν,Kana'an
Χαναναῖος,kana'anæisk
Χαρράν,Karan
Χερούβ,keruber
Χλόη,Kloe
Χοραζίν,Korazin
Χουζᾶς,Kuza
Χριστιανός,kristen
Χριστός,Kristus
αἰγιαλός,kyst
αἰδώς,ærefrygt; skam
αἰνέω,roser
αἰσθάνομαι,føler
αἰσθητήριον,sanseredskab; forstand
αἰσχροκερδής,grisk
αἰσχροκερδῶς,glad
αἰσχρολογία,skamløs snak
αἰσχρός,skam
αἰσχρότης,skændighed
αἰσχύνη,skændsel
αἰσχύνω,mishandler
αἰτέω,beder
αἰτία,årsag
αἰτίωμα,beskyldning
αἰφνίδιος,uventet
αἰχμάλωτος,gjort til bytte
αἰχμαλωσία,krigsfangenskab
αἰχμαλωτίζω,gør til fange
αἰχμαλωτεύω,gør til krigsfange
αἰών,evighed
αἰώνιος,evig
αἱματεκχυσία,udgydelse
αἱμορροέω,blødning
αἱρέω,tager; griber
αἱρετίζω,udvælger
αἱρετικός,udvælgende
αἴγειος,gede-
αἴνεσις,bifald
αἴνιγμα,gåde
αἴρω,tager med; hæver; løfter
αἴσθησις,fornemmelse
αἴτημα,påstand
αἴτιος,årsag
αἵρεσις,erobring
αἶνος,bifald
αἷμα,blod
αὐγάζω,udstråler
αὐγή,lys
αὐθάδης,selvbehagelig
αὐθαίρετος,selvvalgt
αὐθεντέω,bestemme over
αὐλέω,blæser på fløjte
αὐλή,gårdsplads; palads
αὐλίζομαι,overnatter i det fri
αὐλητής,fløjtespiller
αὐλός,fløjte
αὐξάνω,forøger; vokser
αὐστηρός,sur
αὐτάρκεια,nøjsomhed
αὐτάρκης,nøjsom
αὐτοκατάκριτος,domfældt af sig selv
αὐτοῦ,sammesteds
αὐτόματος,af egen drift
αὐτόπτης,øjenvidne
αὐτός,"denne, selv"
αὐτόχειρ,egenhændigt
αὐχμηρός,tør
αὔξησις,vækst
αὔριον,i morgen
βάθος,dybde
βάλλω,kaster
βάπτισμα,dåb
βάπτω,bader
βάρβαρος,fremmed
βάρος,overflod
βάσανος,pinsel
βάσις,fod
βάτος (I),brombærbusk
βάτος (II),mål for flydende varer
βάτραχος,frø
βάϊον,palmegren
βέβαιος,fast
βέβηλος,uindviet
βέλος,pil
βήρυλλος,beryl; ædelsten
βία,kraft
βίαιος,tvinger
βίβλος,bog
βίος,liv
βίωσις,livet
βαθμός,trin
βαθύνω,gør dyb
βαθύς,høj
βαλλάντιον,pung; pengepung
βαπτίζω,døber
βαπτισμός,afvaskning
βαπτιστής,Døber
βαρέω,betynger
βαρέως,med besvær
βαρύς,tung
βαρύτιμος,højtæret
βασίλειος,kongelig
βασίλισσα,dronning
βασανίζω,forhører
βασανισμός,tortur
βασανιστής,bøddl
βασιλεία,kongedømme; kongerige
βασιλεύς,konge
βασιλεύω,hersker
βασιλικός,kongelig
βασκαίνω,"bagtaler,"
βαστάζω,bærer
βατταλογέω,slandrer
βδέλυγμα,skrækkelig
βδελυκτός,afskyelig; modbydelig
βδελύσσομαι,afskyer
βεβαίωσις,stadfæstelse
βεβαιόω,befæster
βεβηλόω,vanhelliger
βελτίων,bedre
βελόνης,pil
βιάζω,tvinger
βιαστής,voldsmand
βιβλίον,bog
βιβλαρίδιον,lille bog
βιβρώσκω,spiser
βιωτικός,hørende til livet
βιόω,lever
βλάπτω,skader
βλάσφημος,bagtalende; gudsbespottende
βλέμμα,blik
βλέπω,ser
βλαβερός,skadelig
βλαστάνω,fremspirer
βλασφημέω,gudsbespotter
βλασφημία,bagtalerisk
βλητέος,skal fyldes
βοάω,råber
βοή,råb
βοήθεια,hjælpetropper
βοηθέω,kommer til hjælp
βοηθός,hjælper
βολή,kast
βολίζω,udkaster blyloddet
βορρᾶς,nordenvind
βοτάνη,foder
βουλή,råd
βουλευτής,rådsherre
βουλεύω,holder råd
βουνός,høj; bakke
βούλημα,vilje
βούλομαι,vil
βοῦς,tyr
βρέφος,nyfødt
βρέχω,regner
βραβεύω,afgør
βραβεῖον,kamppris
βραδυπλοέω,sejler langsomt
βραδύνω,forhaler
βραδύς,langsom
βραδύτης,langsomhed
βραχίων,arm
βραχύς,lille; kort
βροντή,torden
βροχή,regn
βρυγμός,gnidsel
βρόχος,slynge
βρύχω,skærer tænder
βρύω,fremspirer
βρώσιμος,spiselig
βρῶμα,spise
βρῶσις,mad
βυθίζω,borer i sænk
βυθός,dyb; havdyb
βυρσεύς,garver
βωμός,alter
βόθυνος,grav
βόρβορος,dynd
βόσκω,græsser
βότρυς,drue
βύσσινος,gjort af hør
βύσσος,hør
βῆμα,talerstol
γάγγραινα,betændelse
γάζα,skat
γάλα,mælk
γάμος,bryllupsfest
γάρ,"nemlig, for, thi"
γέ,jo
γέεννα,Helvede
γέλως,latter
γέμω,er fuld
γένεσις,oprindelse; slægt
γέννημα,barn
γένος,slægt
γέρων,gammel mand
γίνομαι,"sker, bliver"
γαζοφυλάκιον,skatkammer; skat
γαλήνη,vindstille
γαμέω,gifter sig
γαμίζω,bortgifter
γαστήρ,bug
γείτων,nabo
γελάω,ler; griner
γεμίζω,fylder
γενέσια,fødselsdag
γενεά,slægt
γενεαλογέω,beregner slægten
γενεαλογία,stamtavle
γενετή,fødsel
γεννάω,avler
γεννητός,avlet
γερουσία,de gamles råd
γεωργέω,dyrker jorden
γεωργός,landmand
γεύομαι,smager
γεώργιον,mark; ager
γηράσκω,ældes
γινώσκω,"forstår, ved"
γλεῦκος,sød vin
γλυκύς,sød
γλωσσόκομον,pengekassen
γλῶσσα,tunge
γνήσιος,retmæssig
γναφεύς,bleger; valker
γνησίως,retmæssigt
γνωρίζω,gør bekendt
γνωστός,forståelig
γνόφος,mulm
γνώμη,forstand
γνώστης,kender
γνῶσις,viden
γογγυσμός,knurren
γογγυστής,knurrende
γογγύζω,hvisker
γονεύς,fader
γονυπετέω,falder på knæ
γράμμα,skrift
γράφω,skriver
γραμματεύς,skriftklog
γραπτός,skrevet
γραφή,skrift
γραώδης,som en gammel kone
γρηγορέω,er opmærksom
γυμνάζω,træner nøgen
γυμνασία,øvelse
γυμνιτεύω,mangelfuldt klædt
γυμνός,nøgen
γυμνότης,nøgenhed
γυνή,kvinde
γυναικάριον,kvinde
γυναικεῖος,kvindelig
γωνία,hjørne
γόης,klager
γόμος,fragt
γόνυ,knæ
γῆ,jord
γῆρας,alderdom
δάκνω,bider
δάκρυον,tåre
δάκτυλος,finger
δάμαλις,kvie
δάνειον,pengelån
δέ,"nemlig, for, thi"
δέησις,bøn
δέκα,ti
δέκατος,10.; den tiende
δένδρον,træ
δέομαι,beder
δέος,frygtsom
δέρμα,skind
δέρω,flår
δέσμη,bundt
δέσμιος,fængslet
δέχομαι,tager
δέω,binder
δή,just
δήποτε,engang
δήπου,dog vel; selvfølgelig
δίδραχμον,dobbeltdrachme
δίδωμι,giver
δίκαιος,retfærdig
δίκη,retfærdighed
δίκτυον,fiskenet
δίλογος,talende tvetunget
δίς,to gange
δίστομος,tveægget; med dobbelt mund
δίψος,tørst
δίψυχος,tvesindet
δαίμων,gud
δαιμονίζομαι,er besat af en ond ånd
δαιμονιώδης,djævelsk
δαιμόνιον,ond ånd
δακρύω,græder
δακτύλιος,ring
δαμάζω,tæmme
δανίζω,låner
δανιστής,pengeudlåner
δαπάνη,udgift
δαπανάω,gør udgift
δείκνυμι,viser
δειγματίζω,opstiller til eksempel
δειλία,frygtsomhed
δειλιάω,"forsager,"
δειλός,frygtsom
δεινῶς,frygteligt
δειπνέω,spiser morgenmad
δεισιδαίμων,som frygter guderne
δεισιδαιμονία,frygt for guderne
δεκαπέντε,15
δεκατέσσαρες,14
δεκατόω,pålægger tiende
δεκτός,modtagelig
δελεάζω,forsyner med lokkemad
δεξιολάβος,slyngekaster
δεξιός,højre
δερμάτινος,af skind
δεσμεύω,binder
δεσμοφύλαξ,fangevogter
δεσμωτήριον,fængsel
δεσμός,bånd
δεσμώτης,fange
δεσπότης,herre
δευτεραῖος,på den anden dag
δεύτερος,anden
δεῖ,er nødvendig
δεῖγμα,prøve
δεῖνα,en vis
δεῖπνον,måltid
δεῦρο,hid
δεῦτε,kom her
δηλόω,åbenbarer
δημηγορέω,taler til folket
δημιουργός,arbejder
δημόσιος,offentlig
δηνάριον,denar
διΐστημι,sætter fra hinanden
διά,"på grund af, gennem, igennem"
διάβολος,djævel
διάγνωσις,undersøgelse
διάγω,fører igennem
διάδημα,bånd; krone
διάδοχος,afløser
διάκονος,tjener
διάκρισις,adskillelse
διάλεκτος,samtale
διάνοια,forstand
διάστημα,mellemrum
διάταγμα,befaling
διάφορος,forskellig
διέξοδος,gennemvej
διέρχομαι,går igennem
διήγησις,fortælling
διαίρεσις,deling
διαβάλλω,bagtaler
διαβαίνω,går under
διαβεβαιόομαι,forsikrer bestemt
διαβλέπω,gennemskuer
διαγίνομαι,er forbi
διαγγέλλω,melder ved et bud
διαγινώσκω,lærer nøje at kende
διαγογγύζω,knurrer højt
διαγρηγορέω,gennemvåger
διαδέχομαι,overtager
διαδίδωμι,overleverer
διαζώννυμι,adskiller
διαθήκη,testamente
διαιρέω,adskiller
διακαθαίρω,gennemrenser
διακαθαρίζω,gennemrenser
διακατελέγχομαι,afkræfter fuldstændig
διακονέω,tjener
διακονία,tjeneste
διακούω,hører ud
διακρίνω,afsondrerer
διακωλύω,forhindrer
διακόσιοι,tohundrede
διαλέγομαι,afsondrer
διαλαλέω,taler
διαλείπω,ophører
διαλλάσσω,omveksler
διαλογίζομαι,rådslår
διαλογισμός,overvejelse
διαλύω,opløser
διαμάχομαι,kæmper
διαμένω,forbliver
διαμαρτύρομαι,bevidner
διαμερίζω,fordeler
διαμερισμός,adskillelse
διανέμω,fordeler
διανεύω,tilnikker
διανοίγω,åbenbarer
διανυκτερεύω,tilbringer natten
διανόημα,tanke; mening
διανύω,fuldender ganske
διαπεράω,går igennem
διαπλέω,sejler over
διαπονέομαι,er fortørnet
διαπορέω,tvivler
διαπορεύομαι,kommer forbi
διαπρίω,gennemsaver
διαπραγματεύομαι,erhverver ved handel
διαρπάζω,sønderriver
διαρρήγνυμι,sønderriver
διασαφέω,gør tydelig
διασείω,gennemryster
διασκορπίζω,kaster fra hinanden
διασπάω,sønderriver
διασπείρω,udsår
διασπορά,udstrøelse
διαστέλλω,adskiller
διαστολή,adskillelse
διαστρέφω,forvrider
διασῴζω,frelser
διατάσσω,forordner
διατίθημι,overdrager
διαταγή,befaling
διαταράσσω,forvirrer
διατελέω,fuldender
διατηρέω,bevarer
διατρίβω,stykker
διατροφή,nærer
διαυγάζω,lyser igennem
διαυγής,lyser igennem
διαφέρω,bringer
διαφεύγω,flygter
διαφημίζω,gør kendt
διαφθείρω,tilintetgør
διαφθορά,tilintetgørelse
διαφυλάσσω,bevogter
διαχειρίζω,lægger hånd på
διαχλευάζω,skæmter
διαχωρίζω,afsondrer
διδάσκαλος,lærer
διδάσκω,underviser
διδακτικός,belærende
διδακτός,lærd
διδασκαλία,lære
διδαχή,lære
διεγείρω,opvækker
διενθυμέομαι,betænker
διερμηνευτής,fortolker
διερμηνεύω,forklarer
διερωτάω,udspørger
διετής,toårig
διετία,to år
διηγέομαι,forklarer
διηνεκής,sammenhængende
διθάλασσος,som ligger ved to have
δικαίωμα,retfærdig
δικαίως,dømmer
δικαίωσις,retsligt forsvar
δικαιοκρισία,retfærdig dom
δικαιοσύνη,retfærdighed
δικαιόω,retfærdiggør
δικαστής,dommer
διοδεύω,rejser igennem
διοπετής,er faldet ned fra himlen
διορύσσω,gennemgraver
διπλοῦς,tvefoldig; dobbelt
διπλόω,fordubler
δισμυριάς,utallig
διστάζω,tvivler
δισχίλιοι,2000
διχάζω,deler
διχοστασία,adskillelse
διχοτομέω,skærer i to
διψάω,tørster
διωγμός,forfølgning
διϊκνέομαι,kommer igennem
διϊσχυρίζομαι,støtter mig på noget
διϋλίζω,renser
διό,derfor
διόπερ,hvorfor netop; netop derfor
διόρθωμα,berigtigelse
διόρθωσις,berigtigelse
διότι,fordi
διώκτης,forfølger
διώκω,jager
δογματίζω,fastsætter
δοκέω,synes
δοκίμιον,prøve
δοκιμάζω,prøver
δοκιμή,prøvelse
δοκιμασία,prøvelse
δοκός,bjelke
δολιόω,handler svigefuldt
δολόω,overlister
δοξάζω,mener
δουλαγωγέω,behandler som slave
δουλεία,slaveri
δουλεύω,træller
δουλόω,trælbinder
δοχή,modtagelse
δούλη,slavinde
δοῦλος (II),slave
δράκων,drage
δράσσομαι,fanger
δρέπανον,segl
δραχμή,drachme
δρόμος,løb
δυνάστης,magthaver
δυναμόω,styrker
δυνατέω,formår meget
δυνατός,mægtig
δυσβάστακτος,svær at bære
δυσεντέριον,dysenteri
δυσερμήνευτος,svær at fortolke
δυσκόλως,gnaven
δυσμή,nedgang
δυσνόητος,er vanskelig at forstå
δυσφημέω,vanære
δυσφημία,vanære
δωδέκατος,12.
δωδεκάφυλον,de tolv stammer
δωρέομαι,giver
δωρεά,gave
δωρεάν,gave
δόγμα,mening
δόκιμος,pålidelig
δόλιος,listig
δόλος,lokkemad
δόμα,gave
δόξα,"anselse, hæder"
δόσις,gave
δότης,giver
δύναμαι,kan
δύναμις,kraft
δύνω,synker
δύο,to
δύσις,nedgang
δύσκολος,svær
δώδεκα,12
δώρημα,gave
δῆλος,åbenbar
δῆμος,folk
δῶμα,hus
δῶρον,gave
εἰ,hvis
εἰ δὲ μή,hvis ikke
εἰδέα,udseende
εἰδωλεῖον,tempel for et gudebillede
εἰδωλολάτρης,afgudsdyrker
εἰδωλολατρία,afgudsdyrkelse
εἰδωλόθυτος,ofret til guderne
εἰκοσιτρεῖς,23
εἰκών,billede
εἰκῇ,uden formål; forgæves
εἰλικρίνεια,renhed
εἰλικρινής,soleklar
εἰμί,er
εἰρήνη,fred
εἰρηνεύω,stifter fred
εἰρηνικός,fredelig
εἰρηνοποιέω,stifter fred
εἰρηνοποιός,fred stiftende
εἰς,til
εἰσάγω,indfører
εἰσέρχομαι,kommer ind
εἰσακούω,lytter til
εἰσδέχομαι,tager imod
εἰσκαλέομαι,kalder ind
εἰσπηδάω,løber ind
εἰσπορεύομαι,kommer; rejser
εἰστρέχω,løber ind
εἰσφέρω,bringer ind
εἴδωλον,billede
εἴκοσι,23
εἴκω,giver efter
εἴπερ,hvis ellers
εἴσειμι,går ind
εἴσοδος,adgang
εἴτε,hvad enten
εἴωθα,vant til
εἶδος,udseende
εἶπον,taler
εἶτα,derpå
εἷς,en; et
εὐάρεστος,behagelig
εὐαγγέλιον,evangelium
εὐαγγελίζω,prædiker
εὐαγγελιστής,evangelist
εὐαρέστως,behagelig
εὐαρεστέω,finder behag i
εὐγενής,ædelbåren
εὐδία,godt vejr
εὐδοκέω,er glad
εὐδοκία,bifald
εὐεργέτης,velgører
εὐεργεσία,"god handling,"
εὐεργετέω,handler ret
εὐθέως,straks
εὐθυδρομέω,styrer imod
εὐθυμέω,er ved godt mod
εὐθύμως,velsindet
εὐθύνω,gør lige
εὐθύς,ret
εὐθύτης,retfærdighed
εὐκαίρως,til rette tid
εὐκαιρέω,har tid
εὐκαιρία,passende tid
εὐλάβεια,forsigtighed
εὐλαβέομαι,iagttager
εὐλαβής,frygtsom
εὐλογέω,velsigner
εὐλογία,velsignelse
εὐλογητός,velsignet
εὐμετάδοτος,som gerne meddeler
εὐνοέω,bliver enig med
εὐνουχίζω,kastrerer
εὐνοῦχος,eunuk
εὐοδόω,fører på en god vej
εὐπειθής,følgagtig
εὐπερίστατος,overrasker
εὐποιΐα,velgørenhed
εὐπορέω,har formue
εὐπορία,let
εὐπρέπεια,anstand
εὐπροσωπέω,skaffer sig anseelse
εὐπρόσδεκτος,kærkommen
εὐρύχωρος,bred
εὐσέβεια,gudsfrygt
εὐσεβέω,er from
εὐσεβής,som opfylder sine pligter mod guderne
εὐσεβῶς,formt
εὐσχήμων,anstændig
εὐσχημοσύνη,god holdning
εὐσχημόνως,anstændigt
εὐτραπελία,smidighed
εὐτόνως,stærkt spændt
εὐφημία,andægtig tavshed
εὐφορέω,er frugtbar
εὐφραίνω,opmuntrer
εὐφροσύνη,glæde
εὐχάριστος,yndig
εὐχή,bøn
εὐχαριστέω,takker
εὐχαριστία,taknemlighed
εὐψυχέω,er ved godt mod
εὐωδία,vellugt
εὐώνυμος,berømt
εὑρίσκω,finder
εὔθετος,brugbar for
εὔθυμος,velsindet
εὔκαιρος,til rette tid
εὔκοπος,nem
εὔνοια,velvilje
εὔσημος,med godt tegn
εὔσπλαγχνος,medlidende
εὔφημος,af god lyd
εὔχομαι,beder
εὔχρηστος,brugbar
εὖ,godt
εὖγε,godt
ζάω,lever
ζέω,koger
ζήτημα,undersøgelse
ζήτησις,undersøgelse
ζεστός,hed
ζευκτηρία,bånd
ζεῦγος,åg
ζηλεύω,kappes
ζηλωτής,efterligner; tilhænger
ζηλόω,kappes
ζημία,tab
ζημιόω,skader
ζητέω,søger
ζιζάνιον,ukrudt
ζυγός,åg
ζυμόω,bringer i gæring
ζωή,liv
ζωγρέω,fanger levende
ζωννύω,ombælter
ζόφος,mørke
ζύμη,Surdej
ζώνη,bælte
ζῆλος,ivrig
ζῳογονέω,vinder livet
ζῳοποιέω,gør levende
ζῷον,væsen
θάλασσα,hav
θάλπω,opflammer
θάμβος,forbavselse
θάνατος,død
θάπτω,begraver
θάρσος,mod
θέατρον,skuespil
θέλημα,vilje
θέλησις,vilje
θέλω,vil
θέρμη,varme
θέρος,sommer
θήκη,gemmested
θήρα,jagt
θαμβέω,studser
θανάσιμος,dødelig
θανατηφόρος,dødbringende
θανατόω,dræber
θαρρέω,er modig
θαρσέω,er ved godt mod
θαυμάζω,beundrer
θαυμάσιος,forunderlig
θαυμαστός,beundringsværdig
θαῦμα,under
θεά,gudinde
θεάομαι,ser
θεατρίζω,gør latterlig
θειότης,guddommelighed
θειώδης,svovlgul
θεμέλιος,grundsten
θεμελιόω,grunder
θεοδίδακτος,undervist af en gud
θεομάχος,kæmpende mod guderne
θεοσέβεια,gudsfrygt
θεοσεβής,gudsfrygtig
θεοστυγής,forhadt af gud
θεράπων,tjener
θερίζω,høster
θεραπεία,tjeneste
θεραπεύω,helbreder; tjener
θερισμός,høst
θεριστής,en der høster
θερμαίνω,varmer
