lex,default
Θεσσαλονίκη,"Tesalonika, orang Tesalonika, Orang-orang Tesalonika"
Θεσσαλονικεύς,"Tesalonika, orang Tesalonika, Orang-orang Tesalonika"
Θευδᾶς,Teudas
Θεόφιλος,Teofilus
Θυάτειρα,Tiatira
Θωμᾶς,Tomas
Κάρπος,Karpos
Κάϊν,Kain
Κίς,Kis
Καισάρεια,"Kaisarea, Kaisarea Filipi"
Κανά,Kana
Καναναῖος,Zelot
Κανδάκη,Kandake
Καππαδοκία,Kapadokia
Καφαρναούμ,Kapernaum
Καϊάφας,Kayafas
Καϊνάμ,Kainan
Καῖσαρ,Kaisar
Καῦδα,Kauda
Κεγχρεαί,Kenkrea
Κεδρών,Lembah Kidron
Κηφᾶς,"Petrus, Simon Petrus, Kefas"
Κιλικία,Kilikia
Κλήμης,Klemen
Κλαυδία,Klaudia
Κλαύδιος,Klaudius
Κλεοπᾶς,Kleopas
Κλωπᾶς,Klopas
Κνίδος,Knidos
Κολοσσαί,"Kolose, orang Kolose"
Κορίνθιος,"Korintus, orang-orang Korintus"
Κορνήλιος,Kornelius
Κούαρτος,Kuartus
Κρής,"Kreta, orang Kreta, orang-orang Kreta"
Κρήσκης,Kreskus
Κρήτη,"Kreta, orang Kreta, orang-orang Kreta"
Κρίσπος,Krispus
Κυρήνη,Kirene
Κυρήνιος,Kirinus
Κυρηναῖος,Kirene
Κωσάμ,Kosam
Κόρε,"Korah, bani Korah"
Κόρινθος,"Korintus, orang-orang Korintus"
Κύπριος,Siprus
Κύπρος,Siprus
Κώς,Kos
Λάζαρος,Lazarus
Λάμεχ,Lamekh
Λίνος,Linus
Λαοδίκεια,Laodikia
Λαοδικεύς,Laodikia
Λασαία,Lasea
Λευί,"Matius, Lewi"
Λευίτης,"Lewi, orang Lewi, orang-orang Lewi"
Λευιτικός,"Lewi, orang Lewi, orang-orang Lewi"
Λιβερτῖνος,Libertinos
Λιβύη,Libia
Λουκᾶς,Lukas
Λούκιος,Lusio
Λυδία,Lidia
Λυκία,Likia
Λυκαονία,Likonia
Λυκαονιστί,Likonik
Λυσίας,Lusias
Λυσανίας,Lusanias
Λωΐς,Lois
Λύδδα,Lidda
Λύστρα,Listra
Λώτ,Lot
Μάαθ,Maath
Μάλχος,Malkhus
Μάρθα,Marta
Μίλητος,Miletus
Μαγαδάν,Magadan
Μαγδαληνή,Maria Magdalena
Μαγώγ,Magog
Μαδιάμ,"Midian, Orang Midian"
Μαθθάτ,Mathat
Μαθθίας,Matias
Μαθθαῖος,"Matius, Lewi"
Μαθουσαλά,Metusalah
Μακεδονία,Makedonia
Μακεδών,Makedonia
Μαλελεήλ,Mahalaleel
Μαναήν,Manaen
Μανασσῆ,Manasye
Μαρία,
Ματθάν,Matan
Ματταθά,Matata
Ματταθίας,Matatius
Μελίτη,Malta
Μελεά,Melea
Μελχί,Melki
Μελχισέδεκ,Melkisedek
Μεννά,Menna
Μεσοποταμία,"Mesopotamia, Aram Naharaim"
Μεσσίας,"Kristus, Mesias"
Μιτυλήνη,Mitilene
Μιχαήλ,Mikhael
Μνάσων,Mnason
Μυσία,Mysia
Μωϋσῆς,Musa
Μόλοχ,"Molekh, Molokh"
Μύρα,Myra
Μᾶρκος,Yohanes Markus
Μῆδος,"Orang Media, Media"
Νάρκισσος,Narkisus
Ναΐν,Nain
Ναασσών,Nahsyom
Ναγγαί,Naggai
Ναζαρά,"Nazareth, Orang Nazareth"
Ναζαρηνός,"Nazareth, Orang Nazareth"
Ναζωραῖος,"Nazareth, Orang Nazareth"
Ναθάμ,Nathan
Ναθαναήλ,Natanael
Ναιμάν,Naaman
Ναούμ,Nahum
Ναχώρ,Nahor
Νεφθαλίμ,Naftali
Νικολαΐτης,Nikolait
Νικόπολις,Nikopolis
Νινευίτης,"Ninewe, Orang Niniwe"
Νύμφα,Nimfa
Νῶε,Nuh
Οὐρίας,Uria
Οὐρβανός,Urbanus
Πάρθος,Partia
Πάταρα,Patara
Πάτμος,Patmos
Πάφος,Paphos
Πέργαμος,Pergamum
Πέργη,Perga
Πέτρος,"Petrus, Simon Petrus, Kefas"
Παμφυλία,Pamfilia
Παρμενᾶς,Parmenas
Πατροβᾶς,Patrobas
Παῦλος,"Paulus, Saulus"
Περσίς,Persis
Πιλᾶτος,Pilatus
Πισίδιος,Pisidia
Πισιδία,Pisidia
Ποντικός,Pontus
Ποτίολοι,Puteoli
Πούδης,Pudens
Πρίσκα,Priskila
Πρόχορος,Prokorus
Πτολεμαΐς,Ptolemais
Πόντιος,Pilatus
Πόντος,Pontus
Πόπλιος,Poplius
Πόρκιος,Porkius
Πύρρος,merah
Σάμος,Samos
Σάπφιρα,Safira
Σάρδεις,Sardis
Σάρεπτα,Zarepta
Σάρρα,Sara
Σέργιος,Sergius
Σήθ,Set
Σήμ,Sem
Σίμων,"Petrus, Simon Petrus, Kefas"
Σαβαώθ,"Yahweh semesta alam, Allah semesta alam, Tuhan semesta alam"
Σαδδουκαῖος,Saduki
Σαδώκ,Zadok
Σαλά,Sala
Σαλήμ,Salem
Σαλαθιήλ,Sealtiel
Σαλαμίς,Salamis
Σαλείμ,Salim
Σαλμών,Salmon
Σαλμώνη,Salmone
Σαλώμη,Salome
Σαμάρεια,"Samaria, orang Samaria"
Σαμαρίτης,"Samaria, orang Samaria"
Σαμαρῖτις,"Samaria, orang Samaria"
Σαμοθρᾴκη,Samotrace
Σαμουήλ,Samuel
Σαμψών,Samson
Σαούλ,Saul
Σαρών,Saron
Σατανᾶς,Setan
Σαῦλος,"Paulus, Saulus"
Σεκοῦνδος,Sekudus
Σελεύκεια,Seleukia
Σεμεΐν,Semein
Σερούχ,Serug
Σιδών,"Sidon, orang Sidon"
Σιδώνιος,"Sidon, orang Sidon"
Σιλουανός,"Silas, Silwanus"
Σιλωάμ,Siloa
Σιλᾶς,"Silas, Silwanus"
Σινᾶ,"Sinai, Gunung Sinai"
Σιών,"Sion, Gunung Sion"
Σκευᾶς,Skeva
Σκύθης,Skit
Σμύρνα,Smirna
Σολομών,Salomo
Σουσάννα,Susana
Σπανία,Spanyol
Στάχυς,Stakhus
Στέφανος,Stefanus
Στεφανᾶς,Stefanas
Στοϊκός,Stoikus
Συμεών,Simeon
Συντύχη,Suntike
Συράκουσαι,Sirakusa
Συρία,Siria
Συροφοινίκισσα,Sirofenisia
Συχάρ,Sikar
Συχέμ,Sikhem
Σωσίπατρος,Sosipater
Σωσθένης,Sosthenes
Σόδομα,Sodom
Σύρος,Siria
Σύρτις,Sirtis
Σώπατρος,Sopater
Τέρτιος,Tertius
Τέρτυλλος,Tertulus
Τίμων,Timon
Τίτιος,Titus
Τίτος,Titus
Ταβιθά,Tabita
Ταρσεύς,Tarsus
Ταρσός,Tarsus
Τιβέριος,Tiberius
Τιβεριάς,"Laut Galilea, Laut Kineret, Danau Genesaret, Laut Tiberias"
Τιμαῖος,Timaeus
Τιμόθεος,Timotius
Τραχωνῖτις,Trakhonitida
Τρυφῶσα,Trifosa
Τρόφιμος,Trofimus
Τρύφαινα,Trifena
Τρῳάς,Troas
Τυχικός,Tikhikus
Τύραννος,Tirus
Τύριος,Tirus
Τύρος,Tirus
Φάλεκ,Peleg
Φάρες,Perez
Φίλητος,Filetus
Φίλιπποι,"Filipi, orang Filipi"
Φίλιππος,"Filipus, sang rasul"
Φανουήλ,Fanuel
Φαραώ,"Firaun, raja Mesir"
Φαρισαῖος,"Farisi, Orang-orang Farisi"
Φιλήμων,Filemon
Φιλαδέλφεια,Filadelfia
Φιλιππήσιος,"Filipi, orang Filipi"
Φιλόλογος,Filologus
Φλέγων,Flegon
Φοίβη,Fibe
Φοινίκη,Fenisia
Φορτουνᾶτος,Fortunatus
Φοῖνιξ,Feniks
Φρυγία,Frigia
Φύγελος,Figelus
Φῆλιξ,Felix
Φῆστος,Festus
Χίος,Khios
Χαλδαῖος,"Kasdim, Orang Kasdim"
Χανάαν,"Kanaan, Orang Kanaan"
Χαναναῖος,"Kanaan, Orang Kanaan"
Χαρράν,Haran
Χερούβ,"kerub, kerubim, kerub-kerub"
Χλόη,Kloe
Χοραζίν,Korazin
Χουζᾶς,Kuza
Χριστιανός,Orang kristen
Χριστός,"Kristus, Mesias"
αἰγιαλός,pantai
αἰδώς,malu
αἰνέω,"memuji, memuji, dipuji, memuji"
αἰσθάνομαι,"memahami, mengerti, mengerti, pengertian"
αἰσθητήριον,indera
αἰσχροκερδής,serakah
αἰσχροκερδῶς,serakah
αἰσχρολογία,kata-kata kotor
αἰσχρός,"malu, memalukan, merasa malu, dipermalukan"
αἰσχρότης,kekotoran
αἰσχύνη,"malu, memalukan, merasa malu, dipermalukan"
αἰσχύνω,"malu, memalukan, merasa malu, dipermalukan"
αἰτέω,meminta
αἰτία,"rasa bersalah, bersalah"
αἰτίωμα,tuduhan
αἰφνίδιος,mendadak
αἰχμάλωτος,"Tawanan, Para Tawanan, Menawan, Ditawan"
αἰχμαλωσία,"Tawanan, Para Tawanan, Menawan, Ditawan"
αἰχμαλωτίζω,"Tawanan, Para Tawanan, Menawan, Ditawan"
αἰχμαλωτεύω,menawan
αἰών,"usia, zaman"
αἰώνιος,"abadi, kekal, kekekalan"
αἱματεκχυσία,penumpahan darah
αἱμορροέω,berdarah
αἱρέω,yang terpilih
αἱρετίζω,yang terpilih
αἱρετικός,sesat
αἴγειος,kambing
αἴνεσις,"memuji, memuji, dipuji, memuji"
αἴνιγμα,teka-teki
αἴρω,"menanggung, tanggungan, pembawa"
αἴσθησις,kepekaan
αἴτημα,permintaan
αἴτιος,penyebab
αἵρεσις,sekte
αἶνος,"memuji, memuji, dipuji, memuji"
αἷμα,darah
αὐγάζω,melihat
αὐθάδης,keras kepala
αὐθαίρετος,sukarela
αὐθεντέω,kekuasaan
αὐλέω,"serunai, serunai-serunai, seruling, seruling-seruling"
αὐλή,istana
αὐλίζομαι,menginap
αὐλητής,"serunai, serunai-serunai, seruling, seruling-seruling"
αὐλός,"serunai, serunai-serunai, seruling, seruling-seruling"
αὐξάνω,bertumbuh
αὐστηρός,keras
αὐτάρκεια,kecukupan
αὐτάρκης,cukup
αὐτοκατάκριτος,terkutuk
αὐτοῦ,di sana
αὐτόματος,sendiri
αὐτόπτης,"kesaksian, bersaksi, saksi, saksi-saksi"
αὐτός,
αὐτόχειρ,dengan tangan sendiri
αὐχέω,(tidak ada lemma)
αὐχμηρός,gelap
αὔξησις,pertumbuhan
αὔριον,besok
βάλλω,"menanam, ditanam kembali, ditransplantasikan, menabur benih"
βάπτισμα,"membaptis, baptisan"
βάπτω,mencelupkan
βάρβαρος,non-Yunani
βάρος,beban
βάσανος,"siksaan, disiksa, menyiksa, para penyiksa"
βάσις,alas kaki
βάτος (I),semak berduri
βάτος (II),bat
βάτραχος,katak
βάϊον,daun palem
βέβαιος,teguh
βέβηλος,"kotor, dinajiskan, mencemarkan nama baik"
βέλος,panah
βήρυλλος,beril
βία,kekerasan
βίαιος,kuat
βίβλος,Kitab Kehidupan
βίος,kehidupan
βίωσις,kehidupan
βαθμός,kedudukan
βαθύνω,menggali dalam
βαθύς,dalam
βαλλάντιον,tas
βαπτίζω,"membaptis, baptisan"
βαπτισμός,"membaptis, baptisan"
βαπτιστής,Yohanes (Pembaptis)
βαρέω,membebani
βαρέως,berat
βαρύς,berat
βαρύτιμος,mahal
βασίλειος,istana
βασίλισσα,"ratu, ratu-ratu"
βασανίζω,"siksaan, disiksa, menyiksa, para penyiksa"
βασανισμός,"siksaan, disiksa, menyiksa, para penyiksa"
βασανιστής,penyiksa
βασιλεία,"kerajaan Allah, kerajaan Surga"
βασιλεύς,"raja, kerajaan"
βασιλεύω,"bertahta, memerintah"
βασιλικός,"kerajaan, keluarga kerajaan"
βασκαίνω,mempesona
βαστάζω,"menanggung, tanggungan, pembawa"
βατταλογέω,berbuang-buang kata
βδέλυγμα,yang dibenci
βδελυκτός,"benci, jijik, membenci, menjijikkan"
βδελύσσομαι,yang dibenci
βεβαίωσις,peneguhan
βεβαιόω,"meneguhkan, peneguhan, diteguhkan, konfirmasi"
βεβηλόω,"kotor, dinajiskan, mencemarkan nama baik"
βελτίων,lebih baik
βελόνης,panah
βιάζω,memaksa
βιαστής,penerobos
βιβλίον,"gulungan, gulungan-gulungan"
βιβλαρίδιον,"gulungan, gulungan-gulungan"
βιβρώσκω,makan
βιωτικός,duniawi
βιόω,hidup
βλάπτω,melukai
βλάσφημος,"penghujatan, menghujat"
βλέμμα,pandangan
βλέπω,"menonton, mengawasi, menyaksikan, penjaga"
βλαβερός,berbahaya
βλαστάνω,bertunas
βλασφημέω,"penghujatan, menghujat"
βλασφημία,"penghujatan, menghujat"
βλητέος,harus dimasukkan
βοάω,"menangis, berseru, seruan, menjerit"
βοή,teriakan
βοήθεια,pertolongan
βοηθέω,menolong
βοηθός,penolong
βολή,jangkauan
βολίζω,mengukur
βορρᾶς,utara
βοτάνη,tumbuhan
βουλή,"nasihat, konselor, saran, penasihat"
βουλευτής,majelis
βουλεύω,"nasihat, konselor, saran, penasihat"
βουνός,bukit
βούλημα,kehendak Allah
βούλομαι,menghendaki
βοῦς,"sapi, lembu, banteng, anak lembu"
βρέφος,bayi
βρέχω,hujan
βραβεύω,"aturan, peraturan-peraturan, menguasai, penguasa"
βραβεῖον,hadiah
βραδυπλοέω,berlayar lambat
βραδύνω,menunda
βραδύς,lambat
βραδύτης,kelambatan
βραχίων,lengan
βραχύς,pendek
βροντή,guntur
βροχή,hujan
βρυγμός,decitan
βρόχος,ikatan
βρύχω,menggertakkan
βρύω,memancar
βρώσιμος,dapat dimakan
βρῶμα,makanan
βρῶσις,makanan
βυθίζω,tenggelam
βυθός,kedalaman
βυρσεύς,pengrajin kulit
βωμός,mezbah
βόθυνος,"lubang, jebakan"
βόρβορος,lumpur
βόσκω,menggembalakan
βότρυς,ikat anggur
βύσσινος,kain halus
βύσσος,kain halus
βῆμα,"takhta, dinobatkan"
γάγγραινα,gangren
γάζα,perbendaharaan
γάλα,susu
γάμος,pesta
γάρ,
γέ,sesungguhnya
γέεννα,"neraka, lautan api"
γέλως,tawa
γέμω,penuh
γένεσις,asal
γέννημα,"buah, buah-buahan, berbuah, tidak berbuah"
γένος,keturunan
γέρων,orang tua
γίνομαι,menjadi
γαζοφυλάκιον,perbendaharaan
γαλήνη,tenang
γαμέω,kawin
γαμίζω,mengawinkan
γαστήρ,"rahim, kandungan"
γείτων,"tetangga, bertetangga"
γελάω,tertawa
γεμίζω,mengisi
γενέσια,ulang tahun
γενεά,generasi
γενεαλογέω,menelusuri keturunan
γενεαλογία,silsilah
γενετή,kelahiran
γεννάω,"dilahirkan kembali, lahir dari Allah, lahir baru"
γεννητός,lahir
γερουσία,dewan tua
γεωργέω,mengusahakan
γεωργός,petani
γεύομαι,mencicipi
γεώργιον,ladang
γηράσκω,menua
γινώσκω,"mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya"
γλεῦκος,anggur manis
γλυκύς,manis
γλωσσόκομον,kas
γλῶσσα,"lidah, lidah-lidah"
γνήσιος,asli
γναφεύς,penjemput
γνησίως,sungguh-sungguh
γνωρίζω,"mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya"
γνωστός,"mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya"
γνόφος,kegelapan
γνώμη,"Menghakimi, penghakiman"
γνώστης,ahli
γνῶσις,"mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya"
γογγυσμός,bisikan
γογγυστής,pembisik
γογγύζω,bersungut
γονεύς,orang tua
γονυπετέω,"berlutut, membungkuk, bersujud"
γράμμα,"firman Allah, firman-firman Tuhan, firman TUHAN, firman kebenaran"
γράφω,menulis
γραμματεύς,"penulis, pengarang"
γραπτός,tertulis
γραφή,"firman Allah, firman-firman Tuhan, firman TUHAN, firman kebenaran"
γραώδης,dongeng tua
γρηγορέω,"menonton, mengawasi, menyaksikan, penjaga"
γυμνάζω,melatih
γυμνασία,latihan
γυμνιτεύω,telanjang
γυμνός,telanjang
γυμνότης,ketelanjangan
γυνή,Mempelai perempuan
γυναικάριον,wanita lemah
γυναικεῖος,kewanitaan
γωνία,batu penjuru
γόης,penipu
γόμος,muatan
γόνυ,lutut
γῆ,"bumi, duniawi"
γῆρας,usia tua
δάκνω,menggigit
δάκρυον,air mata
δάκτυλος,jari
δάμαλις,lembu betina
δάνειον,utang
δέ,dan
δέησις,"berdoa, doa, pendoa, didoakan"
δέκα,sepuluh
δέκατος,sepersepuluh
δένδρον,pohon
δέομαι,"perasaan kagum, mengagumkan"
δέος,"takut, kuatir, ketakutan"
δέρμα,kulit
δέρω,memukul
δέσμη,ikat
δέσμιος,"mengikat, terikat, ikatan"
δέχομαι,"menerima, diterima, penerima"
δέω,"mengikat, terikat, ikatan"
δή,maka
δήποτε,apapun
δήπου,tentu
δίδραχμον,didrakma
δίδωμι,memberi
δίκαιος,"benar, adil, tidak benar, tidak benar"
δίκη,"adil, keadilan, tidak adil, dengan tidak adil"
δίκτυον,jala
δίλογος,bercabang lidah
δίς,dua kali
δίστομος,bermata dua
δίψος,kehausan
δίψυχος,"pikiran, terpikir, penuh pemikiran, mengingat"
δαίμων,"setan, roh jahat, roh najis"
δαιμονίζομαι,kerasukan-setan
δαιμονιώδης,"setan, roh jahat, roh najis"
δαιμόνιον,"setan, roh jahat, roh najis"
δακρύω,menangis
δακτύλιος,cincin
δαμάζω,menjinakkan
δανίζω,meminjamkan
δανιστής,pemberi pinjaman
δαπάνη,pengeluaran
δαπανάω,menghabiskan
δείκνυμι,menunjukkan
δειγματίζω,mengaibkan
δειλία,"takut, kuatir, ketakutan"
δειλιάω,"takut, kuatir, ketakutan"
δειλός,"takut, kuatir, ketakutan"
δεινῶς,sangat
δειπνέω,makan malam
δεισιδαίμων,religius
δεισιδαιμονία,keagamaan
δεκαπέντε,lima belas
δεκατέσσαρες,empat belas
δεκατόω,"sepersepuluh, persepuluhan, berzakat, perpuluhan"
δεκτός,"berkenan, perkenan, menyenangkan, pilih kasih"
δελεάζω,menggoda
δεξιολάβος,pemanah
δεξιός,kanan
δερμάτινος,dari kulit
δεσμεύω,"mengikat, terikat, ikatan"
δεσμοφύλαξ,sipir
δεσμωτήριον,penjara
δεσμός,"mengikat, terikat, ikatan"
δεσμώτης,narapidana
δεσπότης,"Tuhan, majikkan, tuan, penguasa"
δευτεραῖος,keesokan harinya
δεύτερος,kedua
δεῖ,harus
δεῖγμα,contoh
δεῖνα,si fulan
δεῖπνον,pesta
δεῦρο,datang
δεῦτε,datang
δηλόω,"pernyataan, menyatakan"
δημηγορέω,berpidato
δημιουργός,perancang
δημόσιος,umum
δηνάριον,denar
διΐστημι,berpisah
διά,melalui
διάβολος,"Setan, iblis, yang jahat"
διάγνωσις,keputusan
διάγω,menjalani
διάδημα,"mahkota, memahkotai, dimahkotai"
διάδοχος,pengganti
διάκονος,"melayani, pelayanan"
διάκρισις,"arif, kearifan, membedakan, ketajaman"
διάλεκτος,bahasa
διάνοια,"pikiran, terpikir, penuh pemikiran, mengingat"
διάστημα,selang
διάταγμα,dekrit
διάφορος,berlainan
διέξοδος,persimpangan
διέρχομαι,melewati
διήγησις,kisah
διαίρεσις,ragam
διαβάλλω,menuduh
διαβαίνω,menyeberang
διαβεβαιόομαι,bersikeras
διαβλέπω,melihat jelas
διαγίνομαι,berlalu
διαγγέλλω,"pernyataan, menyatakan"
διαγινώσκω,memutuskan
διαγογγύζω,bersungut-sungut
διαγρηγορέω,terjaga
διαδέχομαι,menerima berturut-turut
διαδίδωμι,membagikan
διαζώννυμι,"melilitkan, diikat"
διαθήκη,perjanjian
διαιρέω,membagi
διακαθαίρω,membersihkan
διακαθαρίζω,membersihkan
διακατελέγχομαι,membantah
διακονέω,"melayani, pelayanan"
διακονία,"melayani, pelayanan"
διακούω,mendengarkan
διακρίνω,"arif, kearifan, membedakan, ketajaman"
διακόσιοι,dua ratus
διαλέγομαι,berdebat
διαλαλέω,membicarakan
διαλείπω,berhenti
διαλλάσσω,"mendamaikan, didamaikan, rekonsiliasi"
διαλογίζομαι,memikirkan
διαλογισμός,pikiran
διαλύω,bubar
διαμάχομαι,bertengkar
διαμένω,bertahan
διαμαρτύρομαι,"kesaksian, bersaksi, saksi, saksi-saksi"
διαμερίζω,membagi
διαμερισμός,perpecahan
διανέμω,menyebar
διανεύω,menunjukkan
διανοίγω,membuka
διανυκτερεύω,bermalam
διανόημα,pemikiran
διανύω,menyelesaikan
διαπαρατριβή,pertengkaran
διαπεράω,menyeberang
διαπλέω,berlayar
διαπονέομαι,tersinggung
διαπορέω,bingung
διαπορεύομαι,melewati
διαπρίω,marah
διαπραγματεύομαι,"keuntungan, keuntungan, menguntungkan, tidak menguntungkan"
διαρπάζω,merampok
διαρρήγνυμι,merobek
διασαφέω,"kabar, kabar-kabar, terkabar"
διασείω,merampas
διασκορπίζω,"limbah, terbuang, menyia-nyiakan, tanah pembuangan"
διασπάω,mencabik
διασπείρω,tersebar
διασπορά,"menyebar, penyebaran"
διαστέλλω,memerintahkan
διαστολή,perbedaan
διαστρέφω,"sesat, secara sesat"
διασῴζω,"selamat, menyelamatkan, diselamatkan, keselamatan."
διατάσσω,"menahbiskan, menetapkan, ditahbiskan, ketetapan"
διατίθημι,menetapkan
διαταγή,"menahbiskan, menetapkan, ditahbiskan, ketetapan"
διαταράσσω,"masalah, kesulitan, bermasalah, pembuat masalah"
διατελέω,terus
διατηρέω,memelihara
διατρίβω,tinggal
διατροφή,makanan
διαυγάζω,bersinar
διαυγής,bersinar
διαφέρω,berbeda
διαφεύγω,lolos
διαφημίζω,menyiarkan
διαφθείρω,"rusak, merusak, perusakan, kerusakan"
διαφθορά,pembusukan
διαφυλάσσω,menjaga
διαχειρίζω,"mengejek, diejek, ejekan, pengejek"
διαχλευάζω,"mengejek, diejek, ejekan, pengejek"
διαχωρίζω,terpisah
διδάσκαλος,"guru, guru-guru, Guru"
διδάσκω,"memberi petunjuk, petunjuk, pemberi petunjuk"
διδακτικός,pengajar
διδακτός,diajarkan
διδασκαλία,doktrin
διδαχή,doktrin
διεγείρω,bangun
διενθυμέομαι,memikirkan
διερμηνευτής,"menafsirkan, ditafsirkan, penafsiran, tafsiran"
διερμηνεύω,"menafsirkan, ditafsirkan, penafsiran, tafsiran"
διερωτάω,bertanya
διετής,berumur dua tahun
διετία,dua tahun
διηγέομαι,"kabar, kabar-kabar, terkabar"
διηνεκής,selamanya
διθάλασσος,beting
δικαίωμα,peraturan
δικαίως,
δικαίωσις,"adil, keadilan, tidak adil, dengan tidak adil"
δικαιοκρισία,keadilan
δικαιοσύνη,"benar, adil, tidak benar, tidak benar"
δικαιόω,"adil, keadilan, tidak adil, dengan tidak adil"
δικαστής,hakim
διοδεύω,melewati
διοπετής,jatuh dari langit
διορύσσω,menggali masuk
διπλοῦς,ganda
διπλόω,menggandakan
δισμυριάς,puluhan ribu
διστάζω,ragu
δισχίλιοι,dua ribu
διχάζω,membagi
διχοστασία,perpecahan
διχοτομέω,membelah
διψάω,haus
διωγμός,"dianiaya, penganiayaan"
διϊκνέομαι,menembus
διϊσχυρίζομαι,bersikeras
διϋλίζω,menyaring
διό,oleh karena itu
διόπερ,oleh karena itu
διόρθωμα,pembaruan
διόρθωσις,pembaruan
διότι,karena
διώκτης,"dianiaya, penganiayaan"
διώκω,"dianiaya, penganiayaan"
δογματίζω,menetapkan
δοκέω,"baik, kebaikan"
δοκίμιον,"ujian, ujian-ujian, menguji"
δοκιμάζω,"ujian, ujian-ujian, menguji"
δοκιμή,pengujian
δοκιμασία,pengujian
δοκός,balok
δολιόω,"menipu, mendustakan, penipu, pendusta"
δολόω,memalsukan
δοξάζω,"Mulia, Kemuliaan, Memuliakan"
δουλαγωγέω,"memperbudak, dalam belenggu"
δουλεία,"memperbudak, diperbudak, hamba, budak"
δουλεύω,"memperbudak, diperbudak, hamba, budak"
δουλόω,"memperbudak, dalam belenggu"
δοχή,perjamuan
δούλη,"memperbudak, diperbudak, hamba, budak"
δοῦλος (II),"memperbudak, diperbudak, hamba, budak"
δράκων,naga
δράσσομαι,menangkap
δρέπανον,arit
δραχμή,drakma
δρόμος,lintasan
δυνάστης,"aturan, peraturan-peraturan, menguasai, penguasa"
δυναμόω,memperkuat
δυνατέω,mampu
δυνατός,"besar, sangat berkuasa, lebih berkuasa, dengan kuasa"
δυσβάστακτος,"keras, lebih sulit, paling sulit, mengeras"
δυσεντέριον,disentri
δυσερμήνευτος,sulit dipahami
δυσκόλως,
δυσμή,barat
δυσνόητος,"fitnah, difitnah, pemfitnah, memfitnah"
δυσφημέω,"fitnah, difitnah, pemfitnah, memfitnah"
δυσφημία,"fitnah, difitnah, pemfitnah, memfitnah"
δωδέκατος,kedua belas
δωδεκάφυλον,"dua belas suku Israel, dua belas suku anak-anak Israel, dua belas suku"
δωρέομαι,memberikan
δωρεά,pemberian
