# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G1263	διαμαρτύρομαι	testify solemnly	شهد
G1264	διαμάχομαι	contend sharply	جادل
G1265	διαμένω	remain	بقي
G1266	διαμερίζω	divide	قسم
G1267	διαμερισμός	division	انقسام
G1268	διανέμω	spread	انتشر
G1269	διανεύω	signify	أومأ
G0127	αἰδώς	modesty	حياء
G1270	διανόημα	thought	نية
G1271	διάνοια	mind	عقل
G1272	διανοίγω	open up	فتح
G1273	διανυκτερεύω	spend the night	بات
G1274	διανύω	continue	قطع
G1275	διαπαρατριβή	always	شجار
G1276	διαπεράω	cross	عبر
G1277	διαπλέω	sail across	أبحر
G1278	διαπονέω	be vexed	أزعج
G1279	διαπορεύω	go through	مر
G0128	Αἰθίοψ	Ethiopian	إثيوبي
G1280	διαπορέω	be perplexed	حار
G1281	διαπραγματεύομαι	gain in trade	اتجر
G1282	διαπρίω	be furious	غضب
G1283	διαρπάζω	rob	نهب
G1284	διαρρήσσω	tear	مزق
G1285	διασαφέω	explain	شرح
G1286	διασείω	extort	ابتز
G1287	διασκορπίζω	scatter	شتت
G1288	διασπάω	tear apart	مزق
G1289	διασπείρω	scatter	تشتت
G0129	αἷμα	blood	دم
G1290	διασπορά	dispersion	تشتت
G1291	διαστέλλω	give orders	أوصى
G1292	διάστημα	interval	فترة
G1293	διαστολή	distinction	تمييز
G1294	διαστρέφω	pervert	حرّف
G1295	διασῴζω	save	أنقذ
G1296	διαταγή	ordinance	فرض
G1297	διάταγμα	edict	مرسوم
G1298	διαταράσσω	trouble	قلق
G1299	διατάσσω	direct	أمر
G0013	Ἅγαβος	Agabus	أغابس
G0130	αἱματεκχυσία	bloodshed	سفك دم
G1300	διατελέω	continue	استمرّ
G1301	διατηρέω	keep	حفظ
G1302		why?	لماذا
G1303	διατίθημι	make a covenant	عاهد
G1304	διατρίβω	remain	مكث
G1305	διατροφή	food	طعام
G1306	διαυγάζω	shine through	أضاء
G1307		transparent	شفاف
G1308	διαφέρω	spread	تفاوت
G1309	διαφεύγω	escape	هرب
G0131	αἱμορροέω	bleed	نزف
G1310	διαφημίζω	publish abroad	أذاع
G1311	διαφθείρω	destroy	أفسد
G1312	διαφθορά	decay	فساد
G1313	διάφορος	different	مختلف
G1314	διαφυλάσσω	protect	حمى
G1315	διαχειρίζω	kill	قتل
G1316	διαχωριζω	be separated	انفصل
G1317	διδακτικός	able to teach	قادر على التعليم
G1318	διδακτός	taught	معلّم
G1319	διδασκαλία	teaching	تعليم
G0132	Αἰνέας	Aeneas	إينياس
G1320	διδάσκαλος	teacher	معلّم
G1321	διδάσκω	teach	علّم
G1322	διδαχή	teaching	تعليم
G1323	δίδραχμον	two-drachma	درهم
G1324	Δίδυμος	Twin	توأم
G1325	δίδωμι	give	أعطى
G1326	διεγείρω	arouse	أيقظ
G1327	διέξοδος	thoroughfare	ممر
G1328	διερμηνευτής	interpreter	مترجم
G1329	διερμηνεύω	interpret	ترجم
G0133	αἴνεσις	praise	تسبيح
G1330	διέρχομαι	pass through	عبر
G1331	διερωτάω	ascertain	سأل
G1332	διετής	two years old	ابن سنتين
G1333	διετία	two years	سنتان
G1334	διηγέομαι	relate fully	روى
G1335	διήγησις	narrative	رواية
G1336	διηνεκής	perpetual	أبدي
G1337	διθάλασσος	sandbar	برزخ
G1338	διϊκνέομαι	penetrate	خترق
G1339	διΐστημι	pass	انفصل
G0134	αἰνέω	praise	سبح
G1340	διϊσχυρίζομαι	insist	أصرّ
G1341	δικαιοκρισία	justice	عدل
G1342	δίκαιος	just	عادل
G1343	δικαιοσύνη	righteousness	بر
G1344	δικαιόω	justify	برّر
G1345	δικαίωμα	righteous act	حكم
G1346	δικαίως	rightly	بعدل
G1347	δικαίωσις	justification	تبرير
G1348	δικαστής	magistrate	قاضي
G1349	δίκη	condemnation	دينونة
G0135	αἴνιγμα	obscure thing	لغز
G1350	δίκτυον	net	شبكة
G1351	δίλογος	insincere	نافق
G1352	διό	therefore	لذلك
G1353	διοδεύω	go through	عبر
G1354	Διονύσιος	Dionysius	ديونيسيوس
G1355	διόπερ	for	لأجل ذلك
G1356	διοπετής	fallen from heaven	ساقط من السماء
G1357	διόρθωσις	reformation	إصلاح
G1358	διορύσσω	break in	حفر
G1359	Διόσκουροι	twin gods	الفم
G0136	αἶνος	praise	تسبيح
G1360	διότι	because	لأن
G1361	Διοτρέφης	Diotrephes	ديوتريفس
G1362	διπλοῦς	double	مضاعف
G1363	διπλόω	double	ضاعف
G1364	δίς	twice	مرتين
G1365	διστάζω	doubt	شك
G1366	δίστομος	double-edged	ذو حدين
G1367	δισχίλιοι	two thousand	ألفان
G1368	διϋλίζω	strain out	صفى
G1369	διχάζω	disunite	فرق
G0137	Αἰνών	Aenon	عينون
G1370	διχοστασία	dissension	انقسام
G1371	διχοτομέω	cut in two	قطع
G1372	διψάω	thirst	عطش
G1373	δίψος	thirst	عطش
G1374	δίψυχος	double-minded	متذبذب
G1375	διωγμός	persecution	اضطهاد
G1376	διώκτης	persecutor	مضطهد
G1377	διώκω	pursue	طارد
G1378	δόγμα	decree	أمر
G1379	δογματίζω	decree	أصدر أمرا
G0138	αἱρέω	choose	اختار
G1380	δοκέω	think	ظن
G1381	δοκιμάζω	test	اختبر
G1382	δοκιμή	test	امتحان
G1383	δοκίμιον	testing	محك
G1384	δόκιμος	tested	مختبر
G1385	δοκός	plank	خشبة
G1386	δόλιος	deceitful	خادع
G1387	δολιόω	deceive	خدع
G1388	δόλος	deceit	خداع
G1389	δολόω	distort	حرف
G0139	αἵρεσις	sect	فرقة
G1390	δόμα	gift	هدية
G1391	δόξα	glory	مجد
G1392	δοξάζω	glorify	مجد
G1393	δορκάς	Dorcas	ظبية
G1394	δόσις	gift	عطية
G1395	δότης	giver	معطٍ
G1396	δουλαγωγέω	enslave	استعبد
G1397	δουλεία	slavery	عبودية
G1398	δουλεύω	be a slave	استعبد
G1399	δούλη	female slave	جارية
G0014	ἀγαθοεργέω	do good	فعل خيراً
G0140	αἱρετίζω	choose	اختار
G1400	δοῦλος	slave	عبد
G1401	δοῦλος	slave	عبد
G1402	δουλόω	enslave	استعبد
G1403	δοχή	banquet	وليمة
G1404	δράκων	dragon	تنين
G1405	δράσσομαι	catch	أمسك
G1406	δραχμή	drachma	درهم
G1407	δρέπανον	sickle	منجل
G1408	δρόμος	racecourse	مسعى
G1409	Δρούσιλλα	Drusilla	دروسيلا
G0141	αἱρετικός	schismatic	بدعي
G1410	δύναμαι	be able	استطاع
G1411	δύναμις	power	قوة
G1412	δυναμόω	empower	قوّى
G1413	δυνάστης	ruler	حاكم
G1414	δυνατέω	be able	قدر
G1415	δυνατός	able	قادر
G1416	δύνω	set	غاب
G1417	δύο	two	اثنان
G1418		hard	عسر
G1419	δυσβάστακτος	ponderous	ثقيل
G0142	αἴρω	take up	رفع
G1420	δυσεντέριον	dysentery	الزحار
G1421	δυσερμήνευτος	hard to interpret	غامض
G1422	δύσκολος	difficult	عسير
G1423	δυσκόλως	difficultly	بعسر
G1424	δυσμή	west	مغرب
G1425	δυσνόητος	hard to understand	غامض
G1426	δυσφημία	slander	قدح
G1427	δώδεκα	twelve	اثنا عشر
G1428	δωδέκατος	twelfth	ثاني عشر
G1429	δωδεκάφυλον	twelve tribes	الأسباط الاثنا عشر
G0143	αἰσθάνομαι	perceive	أدرك
G1430	δῶμα	housetop	سطح
G1431	δωρεά	free gift	هبة
G1432	δωρεάν	freely	مجاناً
G1433	δωρέομαι	give	وهب
G1434	δώρημα	free gift	موهبة
G1435	δῶρον	gift	هدية
G1436	ἔα	ha!	آه
G1437	ἐάν	if	إن
G1438	ἑαυτοῦ	themself	نفسه
G1439	ἐάω	allow	ترك
G0144	αἴσθησις	insight	إدراك
G1440	ἑβδομήκοντα	seventy	سبعون
G1441	ἑβδομηκοντάκις	seventy times	سبعين مرة
G1442	ἕβδομος	seventh	سابع
G1443	Ἔβερ	Eber	عابر
G1444		Hebrew	عبراني
G1445	Ἑβραῖος	Hebrew	عبراني
G1446	Ἑβραΐς	Hebrew	عبرانية
G1447	Ἑβραϊστί	Hebrew	بالعبرانية
G1448	ἐγγίζω	come near	اقترب
G1449	ἐνγράφω	write in	كتب في
G0145	αἰσθητήριον	sense	حاسة
G1450	ἔγγυος	guarantor	كفيل
G1451	ἐγγύς	near	قريب
G1452	ἐγγύτερον	nearer	أقرب
G1453	ἐγείρω	arise	أقام
G1454	ἔγερσις	resurrection	قيامة
G1455	ἐνκακέω	spy	فشل
G1456	ἐνκαίνια	Feast|Festival of Dedication	تكريس
G1457	ἐνκαινίζω	inaugurate	كرّس
G1458	ἐνκαλέω	accuse	اتهم
G1459	ἐγκαταλείπω	leave behind	ترك
G0146	αἰσχροκερδής	greedy	طماع
G1460	ἐνκατοικέω	live among	سكن في
G1461	ἐνκεντρίζω	ingraft	طعّم
G1462	ἔγκλημα	accusation	اتهام
G1463	ἐγκομβόομαι	clothe oneself	تقمص
G1464	ἐνκοπή	hindrance	عائق
G1465	ἐνκόπτω	impede	عاق
G1466	ἐνκράτεια	self-control	ضبط النفس
G1467	ἐγκρατεύομαι	self-control	ضبط
G1468	ἐγκρατής	self-controlled	ضابط
G1469	ἐνκρίνω	classify	صنف
G0147	αἰσχροκερδῶς	greedily	طمعا
G1470	ἐνκρύπτω	mix	خلط
G1471	ἔνκυος	pregnant	حامل
G1472	ἐγχρίω	rub on	دهن
G1473	ἐγώ	I	أنا
G1474	ἐδαφίζω	raze	هدم
G1475	ἔδαφος	ground	أرض
G1476	ἑδραῖος	steadfast	ثابت
G1477	ἑδραίωμα	foundation	أساس
G1478	Ἑζεκίας	Hezekiah	حزقيا
G1479	ἐθελοθρησκεία	self-made religion	دين اختياري
G0148	αἰσχρολογία	obscenity	كلام قبيح
G1480	ἐθίζω	be accustomed	اعتاد
G1481	ἐθνάρχης	governor	والي
G1482	ἐθνικός	Gentile-like	وثني
G1483	ἐθνικῶς	Gentile-way	بطريقة وثنية
G1484	ἔθνος	Gentiles	أمم
G1485	ἔθος	custom	عادة
G1486	ἔθω	have a custom	اعتاد
G1487	εἰ	if	إذا
G1491	εἶδος	appearance	منظر
G1492	οἶδα	perceive	علم
G1493	εἰδωλεῖον	idol's temple	معبد أصنام
G1494	εἰδωλόθυτος	sacrificed to idols	مذبوح للأصنام
G1495	εἰδωλολατρία	idolatry	عبادة الأصنام
G1496	εἰδωλολάτρης	idolater	عابد أصنام
G1497	εἴδωλον	idol	صنم
G0015	ἀγαθοποιέω	do good	أحسن
G0150	αἰσχρός	shameful	قبيح
G1500	εἰκῇ	in vain	باطلا
G1501	εἴκοσι	twenty	عشرون
G1502	εἴκω	yield	استسلم
G1503	εἴκω	resemble	شابه
G1504	εἰκών	image	صورة
G1505	εἰλικρίνεια	sincerity	إخلاص
G1506	εἰλικρινής	pure	خالص
G0151	αἰσχρότης	obscenity	فحش
G1510	εἰμί	be	كان
G1514	εἰρηνεύω	be at peace	سالم
G1515	εἰρήνη	peace	سلام
G1516	εἰρηνικός	peaceful	سلمي
G1517	εἰρηνοποιέω	make peace	صالح
G1518	εἰρηνοποιός	peacemaker	صانع سلام
G1519	εἰς	toward	إلى
G0152	αἰσχύνη	shame	خزي
G1520	εἷς	one	واحد
G1521	εἰσάγω	bring in	أدخل
G1522	εἰσακούω	listen to	استجاب
G1523	εἰσδέχομαι	receive	قبل
G1524	εἴσειμι	enter	دخل
G1525	εἰσέρχομαι	enter	دخل
G1528	εἰσκαλέω	invite	استضاف
G1529	εἴσοδος	entry	دخول
G0153	αἰσχύνω	be ashamed	استحيا
G1530	εἰσπηδάω	rush into	اندفع
G1531	εἰσπορεύομαι	enter	دخل
G1532	εἰστρέχω	run in	أسرع
G1533	εἰσφέρω	bring in	أدخل
G1534	εἶτα	then	ثم
G1535	εἴτε	whether	سواء
G1537	ἐκ	out from	من
G1538	ἕκαστος	each	كل
G1539	ἑκάστοτε	always	دائماً
G0154	αἰτέω	ask	طلب
G1540	ἑκατόν	hundred	مائة
G1541	ἑκατονταετής	hundred years old	مائة سنة
G1542	ἑκατονταπλασίονα	hundred times	مائة ضعف
G1543	ἑκατοντάρχης	centurion	قائد المائة
G1544	ἐκβάλλω	expel	طرد
G1545	ἔκβασις	way out	مخرج
G1546	ἐκβολή	jettisoning	إلقاء
G1547		marry	زوج
G1548		give in marriage	زوج
G1549	ἔκγονος	descendant	حفيد
G0155	αἴτημα	request	طلب
G1550	ἐκδαπανάω	expend	أنفق
G1551	ἐκδέχομαι	wait for	انتظر
G1552	ἔκδηλος	clearly evident	واضح
G1553	ἐκδημέω	be away	غاب
G1554	ἐκδίδωμι	lease	أجر
G1555	ἐκδιηγέομαι	tell in detail	روى
G1556	ἐκδικέω	avenge	انتقم
G1557	ἐκδίκησις	vengeance	انتقام
G1558	ἔκδικος	avenging	منتقم
G1559	ἐκδιώκω	persecute	طارد
G0156	αἰτία	cause	سبب
G1560	ἔκδοτος	handed over	مسلم
G1561	ἐκδοχή	expectation	توقع
G1562	ἐκδύω	strip	خلع
G1563	ἐκεῖ	there	هناك
G1564	ἐκεῖθεν	from there	من هناك
G1565	ἐκεῖνος	that	ذاك
G1566	ἐκεῖσε	there	إلى هناك
G1567	ἐκζητέω	seek out	بحث
G1568	ἐκθαμβέω	be awe-struck	ذهل
G1569	ἐκθαυμάζω	astonished	تعجب
G0157	αἰτίωμα	charge	اتهام
G1570	ἔκθετος	exposed	مطروح
G1571	ἐκκαθαίρω	cleanse	طهر
G1572	ἐκκαίω	be enflamed	احترق
G1573		lose heart	فتر
G1574	ἐκκεντέω	pierce	طعن
G1575	ἐκκλάω	break off	كسر
G1576	ἐκκλείω	exclude	أقصى
G1577	ἐκκλησία	assembly	كنيسة
G1578	ἐκκλίνω	turn from	حاد
G1579	ἐκκολυμβάω	swim out	سبح
G1580	ἐκκομίζω	carry out	حمل
G1581	ἐκκόπτω	prevent	قطع
G1582	ἐκκρεμάννυμι	hang upon	علق
G1583	ἐκλαλέω	speak out	أفشى
G1584	ἐκλάμπω	shine out	أشرق
G1585	ἐκλανθάνω	forget	نسي
G1586	ἐκλέγω	select	اختار
G1587	ἐκλείπω	fail	خفق
G1588	ἐκλεκτός	select	مختار
G1589	ἐκλογή	selecting	اختيار
G0159	αἴτιος	causer	سبب
G1590	ἐκλύω	faint	أعيا
G1591	ἐκμάσσω	wipe off	مسح
G1592	ἐκμυκτηρίζω	ridicule	سخر
G1593	ἐκνεύω	withdraw	انحاز
G1594	ἐκνήφω	wake up	استفاق
G1595	ἑκούσιος	voluntary	طوعي
G1596	ἑκουσίως	voluntarily	طواعية
G1597	ἔκπαλαι	of old	قديم
G1598	ἐκπειράζω	test	جرب
G1599	ἐκπέμπω	send away	أرسل
G0016	ἀγαθοποιΐα	doing good	إحسان
G0160	αἰφνίδιος	sudden	فجأة
G1600	ἐκπετάννυμι	extend	بسط
G1601	ἐκπίπτω	fall out	سقط
G1602	ἐκπλέω	sail out	أبحر
G1603	ἐκπληρόω	fulfill	أتم
G1604	ἐκπλήρωσις	fulfillment	إتمام
G1605	ἐκπλήσσω	be astonished	دهش
G1606	ἐκπνέω	expire	أسلم الروح
G1607	ἐκπορεύομαι	depart	خرج
G1608	ἐκπορνεύω	fornicate	زنى
G1609	ἐκπτύω	spit out	بصق
G0161	αἰχμαλωσία	captivity	سبي
G1610	ἐκριζόω	uproot	اقتلع
G1611	ἔκστασις	amazement	جذبة
G1612	ἐκστρέφω	be warped	انحرف
G1613	ἐκταράσσω	disturb greatly	أزعج
G1614	ἐκτείνω	stretch out	مدّ
G1615	ἐκτελέω	finish up	أكمل
G1616	ἐκτένεια	earnestness	اجتهاد
G1617	ἐκτένεια	earnestly	بحرارة
G1618	ἐκτενής	fervent	حار
G1619	ἐκτενῶς	fervently	بحرارة
G0162	αἰχμαλωτεύω	take captive	سبى
G1620	ἐκτίθημι	explain	شرح
