# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G1077	γενέσια	birthday	জন্মদিন
G1078	γένεσις	origin	উৎপত্তি
G1079	γενετή	birth	জন্ম
G0108	Ἄζωτος	Azotus	অ্যাজোটুস
G1080	γεννάω	beget	জন্ম দেওয়া
G1081	γένημα	offspring	সন্তান
G1082	Γεννησαρέτ	Gennesaret	গেনেসারেত
G1083		birth	জন্ম
G1084	γεννητός	born	জন্মগত
G1085	γένος	family	প্রকার
G1086		Gerasene	গেরাসীন
G1087	γερουσία	council of elders	প্রাচীন পরিষদ
G1088	γέρων	old man	বয়স্ক মানুষ
G1089	γεύομαι	taste	স্বাদ নেওয়া
G0109	ἀήρ	air	বায়ু
G1090	γεωργέω	farm	চাষাবাদ করা
G1091	γεώργιον	farm field	চাষ ক্ষেত্র
G1092	γεωργός	farmer	চাষক
G1093	γῆ	earth	পৃথিবী
G1094	γῆρας	old age	বার্ধক্য
G1095	γηράσκω	grow old	বুড়ো হওয়া
G1096	γίνομαι	be	হওয়া
G1097	γινώσκω	know	জানা
G1098	γλεῦκος	sweet wine	মিষ্টি দ্রাক্ষারস
G1099	γλυκύς	sweet	মিষ্টি
G0011	Ἀβραάμ	Abraham	ইব্রাহিম
G0110	ἀθανασία	immortality	অমরত্ব
G1100	γλῶσσα	tongue	জিহ্বা
G1101	γλωσσόκομον	moneybag	অর্থ থলি
G1102	γναφεύς	one who bleaches	রাঙাইকারী
G1103	γνήσιος	genuine	প্রকৃত
G1104	γνησίως	genuinely	সত্যিকারভাবে
G1105	γνόφος	darkness	অন্ধকার
G1106	γνώμη	resolution	মতামত
G1107	γνωρίζω	make known	জানান
G1108	γνῶσις	knowledge	জ্ঞান
G1109	γνώστης	expert in	বিশেষজ্ঞ
G0111	ἀθέμιτος	unlawful	অবৈধ
G1110	γνωστός	acquainted with	পরিচিত
G1111	γογγύζω	murmur	গুণগুণ করা
G1112	γογγυσμός	murmuring	গুণগুণানি
G1113	γογγυστής	murmurer	গুণগুণকারী
G1114	γόης	imposter	প্রতারক
G1115	Γολγοθᾶ	Golgotha	গোলগোথা
G1116	Γόμορρα	Gomorrah	গোমোরা
G1117	γόμος	cargo	পণ্য
G1118	γονεύς	parent	পিতামাতা
G1119	γόνυ	knee	হাঁটু
G1120	γονυπετέω	kneel	হাঁটু গাড়া
G1121	γράμμα	something written	অক্ষর
G1122	γραμματεύς	scribe	শাস্ত্রী
G1123	γραπτός	written	লিখিত
G1124	γραφή	writing	শাস্ত্র
G1125	γράφω	write	লেখা
G1126	γραώδης	old wives’ tale	বয়স্কমহিলার গল্প
G1127	γρηγορέω	keep watch	জাগ্রত থাকা
G1128	γυμνάζω	train	প্রশিক্ষণ দেওয়া
G1129	γυμνασία	training	প্রশিক্ষণ
G0113	ἄθεσμος	lawless	অনিয়মী
G1130	γυμνιτεύω	be naked	নগ্ন থাকা
G1131	γυμνός	naked	নগ্ন
G1132	γυμνότης	nakedness	নগ্নতা
G1133	γυναικάριον	weak-willed woman	দুর্বল মহিলা
G1134	γυναικεῖος	feminine	নারী
G1135	γυνή	woman	নারী
G1136	Γώγ	Gog	গোগ
G1137	γωνία	corner	কোণ
G1138	Δαυείδ	David	দাউদ
G1139	δαιμονίζομαι	be demonised	ভূত প্রেত দ্বারা আক্রান্ত হওয়া
G0114	ἀθετέω	reject	প্রত্যাখ্যান করা
G1140	δαιμόνιον	demon	ভূত
G1141	δαιμονιώδης	demonic	ভূত সদৃশ
G1142	δαίμων	demon	ভূত
G1143	δάκνω	bite	咬
G1144	δάκρυον	teardrop	অশ্রু
G1145	δακρύω	weep	কাঁদা
G1146	δακτύλιος	ring	আংটি
G1147	δάκτυλος	finger	আঙুল
G1148	Δαλμανουθά	Dalmanutha	দালমানুথা
G1149	Δαλματία	Dalmatia	দালমাতিয়া
G0115	ἀθέτησις	nullification	বাতিল
G1150	δαμάζω	tame	দমন করা
G1151	δάμαλις	heifer	গাভী
G1152	Δάμαρις	Damaris	দামারিস
G1153	Δαμασκηνός	Damascus	দামাস্কীয়
G1154	Δαμασκός	Damascus	দামেস্ক
G1155	δανίζω	lend	ধার দেওয়া
G1156	δάνιον	debt	ঋণ
G1157	δανιστής	moneylender	সাহুকার
G1158	Δανιήλ	Daniel	দানিয়েল
G1159	δαπανάω	spend	খরচ করা
G0116	Ἀθῆναι	Athens	এথেন্স
G1160	δαπάνη	cost	খরচ
G1161	δέ	then	এবং
G1162	δέησις	petition	প্রার্থনা
G1163	δέω	be necessary	প্রয়োজন
G1164	δεῖγμα	example	উদাহরণ
G1165	δειγματίζω	disgrace	লজ্জা দেওয়া
G1166	δεικνύω	show	দেখান
G1167	δειλία	timidity	ভীরুতা
G1168	δειλιάω	be timid	ভীত হওয়া
G1169	δειλός	timid	ভীরু
G0117	Ἀθηναῖος	Athenian	এথেনীয়
G1170	δεῖνα	certain one	অমুক
G1171	δεινῶς	terribly	ভীষণভাবে
G1172	δειπνέω	dine	রাত্রিভোজন করা
G1173	δεῖπνον	dinner	রাত্রিভোজন
G1174	δεισιδαιμονέστερος	religious	ধর্মভীরু
G1175	δεισιδαιμονία	religion	ধর্মভীরুতা
G1176	δέκα	ten	দশ
G1177	δεκαοκτώ	twelve	আঠার
G1178	δεκαπέντε	fifteen	পনের
G1179	Δεκάπολις	Decapolis	দশনগর
G0118	ἀθλέω	compete	প্রতিযোগিতা করা
G1180	δεκατέσσαρες	fourteen	চৌদ্দ
G1181		tenth	দশম
G1182	δέκατος	tenth	দশম
G1183	δεκατόω	tithe	দশমাংশ দেওয়া
G1184	δεκτός	acceptable	গ্রহণযোগ্য
G1185	δελεάζω	entice	প্রলুব্ধ করা
G1186	δένδρον	tree	বৃক্ষ
G1187	δεξιολάβος	slinger	গুলতি নিক্ষেপকারী
G1188	δεξιός	right	ডান
G1189	δέος	pray	ভয়
G0119	ἀθροίζω	struggle	সংগ্রহ করা
G1190	Δερβαῖος	Derbe	ডার্বিয়
G1191	Δέρβη	Derbe	ডার্বে
G1192	δέρμα	leather	চর্ম
G1193	δερμάτινος	made of leather	চর্মনির্মিত
G1194	δέρω	beat up	প্রহার করা
G1195	δεσμεύω	bind	বাঁধা
G1196		shackle	শৃঙ্খল
G1197	δέσμη	bundle	গুচ্ছ
G1198	δέσμιος	prisoner	বন্দী
G1199	δεσμός	chain	শৃঙ্খল
G0012	ἄβυσσος	abyss	অতল
G0120	ἀθυμέω	be discouraged	নিরাশ হওয়া
G1200	δεσμοφύλαξ	jailer	কারাপালক
G1201	δεσμωτήριον	prison	কারাগার
G1202	δεσμώτης	prisoner	বন্দী
G1203	δεσπότης	master	প্রভু
G1204	δεῦρο	come	আসো
G1205	δεῦτε	come	আসো
G1206	δευτεραῖος	next day	পরের দিন
G1207	δεύτερον	second-first	দ্বিতীয়-প্রথম
G1208	δεύτερος	secondly	দ্বিতীয়
G1209	δέχομαι	receive	গ্রহণ করা
G0121	ἀθῷος	innocent	নিরপরাধ
G1210	δέω	bind	বাঁধা
G1211	δή	so	তাই
G1212	δῆλος	Urim	স্পষ্ট
G1213	δηλόω	make clear	স্পষ্ট করা
G1214	Δημᾶς	Demas	দেমাস
G1215	δημηγορέω	give a speech	বক্তৃতা দেওয়া
G1216	Δημήτριος	Demetrius	দেমেত্রিয়স
G1217	δημιουργός	builder	নির্মাতা
G1218	δῆμος	people	জনসাধারণ
G1219	δημόσιος	public	সর্বজনীন
G0122	αἴγιος	goat's	ছাগলের
G1220	δηνάριον	denarius	দেনারিয়স
G1221	δηνάριον	whatever	যাই হোক
G1222	δήπου	surely	অবশ্যই
G1223	διά	through	মাধ্যমে
G1224	διαβαίνω	cross	পার হওয়া
G1225	διαβάλλω	accuse	অভিযোগ করা
G1226	διαβεβαιόομαι	insist	জোর দিয়ে বলা
G1227	διαβλέπω	see clearly	পরিষ্কার দেখা
G1228	διάβολος	devilish	শয়তান
G1229	διαγγέλλω	proclaim	ঘোষণা করা
G0123	αἰγιαλός	shore	সৈকত
G1230	διαγίνομαι	pass	অতিক্রম করা
G1231	διαγινώσκω	decide	সিদ্ধান্ত নেওয়া
G1232		report	প্রচার করা
G1233	διάγνωσις	decision	সিদ্ধান্ত
G1234	διαγογγύζω	murmur	গোপনে অভিযোগ করা
G1235	διαγρηγορέω	wake	জাগ্রত হওয়া
G1236	διάγω	live	জীবন যাপন করা
G1237	διαδέχομαι	receive in turn	পরবর্তীতে গ্রহণ করা
G1238	διάδημα	diadem	মুকুট
G1239	διαδίδωμι	distribute	বিতরণ করা
G0124	Αἰγύπτιος	Egyptian	মিশরীয়
G1240	διάδοχος	successor	উত্তরাধিকারী
G1241	διαζώννυμι	tie around	বাঁধা
G1242	διαθήκη	covenant	চুক্তি
G1243	διαίρεσις	variety	বৈচিত্র্য
G1244	διαιρέω	distribute	ভাগ করা
G1245	διακαθαρίζω	clear out	পরিষ্কার করা
G1246	διακατελέγχομαι	refute	খণ্ডন করা
G1247	διακονέω	serve	সেবা করা
G1248	διακονία	service	সেবা
G1249	διάκονος	servant	দাস
G0125	Αἴγυπτος	Egypt	মিশর
G1250	διακόσιοι	two hundred	দুইশত
G1251	διακούω	give a hearing	শোনা
G1252	διακρίνω	judge	পার্থক্য করা
G1253	διάκρισις	discernment	বিচেদন
G1254	διακωλύω	hinder	বাধা দেওয়া
G1255	διαλαλέω	discuss	কথোপকথন করা
G1256	διαλέγω	dispute	আলোচনা করা
G1257	διαλίπω	stop	থেমে থাকা
G1258	διάλεκτος	language	ভাষা
G1259	διαλλάσσω	be reconciled	আপস করা
G0126	ἀΐδιος	eternal	চিরন্তন
G1260	διαλογίζομαι	discuss	চিন্তা করা
G1261	διαλογισμός	reasoning	চিন্তাভাবনা
G1262	διαλύω	disperse	ছিন্ন করা
G1263	διαμαρτύρομαι	testify solemnly	দৃঢ়ভাবে সাক্ষ্য দেওয়া
G1264	διαμάχομαι	contend sharply	তীব্রভাবে বিরোধ করা
G1265	διαμένω	remain	স্থায়ী থাকা
G1266	διαμερίζω	divide	ভাগ করা
G1267	διαμερισμός	division	বিভাজন
G1268	διανέμω	spread	ছড়িয়ে দেওয়া
G1269	διανεύω	signify	ইঙ্গিত করা
G0127	αἰδώς	modesty	লজ্জাশীলতা
G1270	διανόημα	thought	চিন্তাধারা
G1271	διάνοια	mind	মন
G1272	διανοίγω	open up	খুলে দেওয়া
G1273	διανυκτερεύω	spend the night	সারারাত কাটানো
G1274	διανύω	continue	যাত্রা শেষ করা
G1275	διαπαρατριβή	always	সর্বদা
G1276	διαπεράω	cross	পার হওয়া
G1277	διαπλέω	sail across	জলপথে যাওয়া
G1278	διαπονέω	be vexed	বিরক্ত হওয়া
G1279	διαπορεύω	go through	অতিক্রম করা
G0128	Αἰθίοψ	Ethiopian	ইথিওপিয়ান
G1280	διαπορέω	be perplexed	বিভ্রান্ত হওয়া
G1281	διαπραγματεύομαι	gain in trade	ব্যবসা করা
G1282	διαπρίω	be furious	ক্রুদ্ধ হওয়া
G1283	διαρπάζω	rob	লুট করা
G1284	διαρρήσσω	tear	ছিঁড়ে ফেলা
G1285	διασαφέω	explain	ব্যাখ্যা করা
G1286	διασείω	extort	আচরণ করা
G1287	διασκορπίζω	scatter	ছড়িয়ে দেওয়া
G1288	διασπάω	tear apart	ছিঁড়ে ফেলা
G1289	διασπείρω	scatter	ছড়িয়ে পড়া
G0129	αἷμα	blood	রক্ত
G1290	διασπορά	dispersion	ছিন্নবিচ্ছিন্নতা
G1291	διαστέλλω	give orders	আদেশ করা
G1292	διάστημα	interval	ব্যবধান
G1293	διαστολή	distinction	পার্থক্য
G1294	διαστρέφω	pervert	বিকৃত করা
G1295	διασῴζω	save	রক্ষা করা
G1296	διαταγή	ordinance	নির্দেশনা
G1297	διάταγμα	edict	আদেশ
G1298	διαταράσσω	trouble	ব্যাকুল করা
G1299	διατάσσω	direct	আয়োজন করা
G0013	Ἅγαβος	Agabus	আগাবুস
G0130	αἱματεκχυσία	bloodshed	রক্তপাত
G1300	διατελέω	continue	অব্যাহত রাখা
G1301	διατηρέω	keep	রক্ষা করা
G1302		why?	কেন
G1303	διατίθημι	make a covenant	চুক্তি করা
G1304	διατρίβω	remain	অবস্থান করা
G1305	διατροφή	food	খাদ্য
G1306	διαυγάζω	shine through	উজ্জ্বল হওয়া
G1307		transparent	স্বচ্ছ
G1308	διαφέρω	spread	উৎকর্ষ লাভ করা
G1309	διαφεύγω	escape	পালিয়ে যাওয়া
G0131	αἱμορροέω	bleed	রক্তস্রাব করা
G1310	διαφημίζω	publish abroad	সর্বত্র প্রচার করা
G1311	διαφθείρω	destroy	ধ্বংস করা
G1312	διαφθορά	decay	ক্ষয়
G1313	διάφορος	different	ভিন্ন
G1314	διαφυλάσσω	protect	রক্ষা করা
G1315	διαχειρίζω	kill	হত্যা করা
G1316	διαχωριζω	be separated	পৃথক হওয়া
G1317	διδακτικός	able to teach	শিক্ষণীয়
G1318	διδακτός	taught	শিক্ষিত
G1319	διδασκαλία	teaching	শিক্ষা
G0132	Αἰνέας	Aeneas	ঐনিয়াস
G1320	διδάσκαλος	teacher	শিক্ষক
G1321	διδάσκω	teach	শিক্ষা দেওয়া
G1322	διδαχή	teaching	শিক্ষা
G1323	δίδραχμον	two-drachma	দ্বিদ্রাখমা
G1324	Δίδυμος	Twin	যমজ
G1325	δίδωμι	give	দেওয়া
G1326	διεγείρω	arouse	জাগানো
G1327	διέξοδος	thoroughfare	পথসংযোগ
G1328	διερμηνευτής	interpreter	দোভাষী
G1329	διερμηνεύω	interpret	অর্থ করা
G0133	αἴνεσις	praise	প্রশংসা
G1330	διέρχομαι	pass through	অতিক্রম করা
G1331	διερωτάω	ascertain	অনুসন্ধান করা
G1332	διετής	two years old	দ্বিবর্ষীয়
G1333	διετία	two years	দুই বছর
G1334	διηγέομαι	relate fully	বর্ণনা করা
G1335	διήγησις	narrative	বর্ণনা
G1336	διηνεκής	perpetual	চিরস্থায়ী
G1337	διθάλασσος	sandbar	দুই সমুদ্রের মধ্যবর্তী
G1338	διϊκνέομαι	penetrate	অনুপ্রবেশ করা
G1339	διΐστημι	pass	দূরে হওয়া
G0134	αἰνέω	praise	প্রশংসা করা
G1340	διϊσχυρίζομαι	insist	জোর দিয়ে বলা
G1341	δικαιοκρισία	justice	ন্যায়সঙ্গত রায়
G1342	δίκαιος	just	ন্যায়বান
G1343	δικαιοσύνη	righteousness	ধার্মিকতা
G1344	δικαιόω	justify	ন্যায্য বলা
G1345	δικαίωμα	righteous act	ন্যায়সঙ্গত কাজ
G1346	δικαίως	rightly	ন্যায্যভাবে
G1347	δικαίωσις	justification	ন্যায্যতা
G1348	δικαστής	magistrate	বিচারক
G1349	δίκη	condemnation	প্রতিশোধ
G1350	δίκτυον	net	জাল
G1351	δίλογος	insincere	দ্বিমুখী
G1352	διό	therefore	অতএব
G1353	διοδεύω	go through	যাত্রা করা
G1354	Διονύσιος	Dionysius	ডায়োনিসিয়াস
G1355	διόπερ	for	অতএব
G1356	διοπετής	fallen from heaven	স্বর্গ থেকে পতিত
G1357	διόρθωσις	reformation	সংস্কার
G1358	διορύσσω	break in	ভেদ করা
G1359	Διόσκουροι	twin gods	দিওস্কুরোই
G0136	αἶνος	praise	প্রশংসা
G1360	διότι	because	কারণ
G1361	Διοτρέφης	Diotrephes	দিওত্রেফেস
G1362	διπλοῦς	double	দ্বিগুণ
G1363	διπλόω	double	দ্বিগুণ করা
G1364	δίς	twice	দুইবার
G1365	διστάζω	doubt	সন্দেহ করা
G1366	δίστομος	double-edged	দুইধারী
G1367	δισχίλιοι	two thousand	দুই হাজার
G1368	διϋλίζω	strain out	ছাঁকা
G1369	διχάζω	disunite	বিভক্ত করা
G0137	Αἰνών	Aenon	এনোন
G1370	διχοστασία	dissension	বিভেদ
G1371	διχοτομέω	cut in two	দ্বিখণ্ড করা
G1372	διψάω	thirst	তৃষ্ণা করা
G1373	δίψος	thirst	তৃষ্ণা
G1374	δίψυχος	double-minded	দ্বিমনা
G1375	διωγμός	persecution	নিপীড়ন
G1376	διώκτης	persecutor	নিপীড়ক
G1377	διώκω	pursue	তাড়া করা
G1378	δόγμα	decree	আদেশ
G1379	δογματίζω	decree	আদেশ দেওয়া
G0138	αἱρέω	choose	বেছে নেওয়া
G1380	δοκέω	think	মনে করা
G1381	δοκιμάζω	test	পরীক্ষা করা
G1382	δοκιμή	test	পরীক্ষা
G1383	δοκίμιον	testing	পরীক্ষার বিষয়
G1384	δόκιμος	tested	পরীক্ষিত
G1385	δοκός	plank	কড়া
G1386	δόλιος	deceitful	প্রবঞ্চক
G1387	δολιόω	deceive	ছল করা
G1388	δόλος	deceit	ছল
G1389	δολόω	distort	বিকৃত করা
G0139	αἵρεσις	sect	মতবাদ
G1390	δόμα	gift	উপহার
G1391	δόξα	glory	মহিমা
G1392	δοξάζω	glorify	মহিমান্বিত করা
G1393	δορκάς	Dorcas	ডরকাস
G1394	δόσις	gift	প্রদান
G1395	δότης	giver	দাতা
G1396	δουλαγωγέω	enslave	দাসত্বে আনা
G1397	δουλεία	slavery	দাসত্ব
G1398	δουλεύω	be a slave	দাসত্ব করা
G1399	δούλη	female slave	দাসী
G0014	ἀγαθοεργέω	do good	ভালো কাজ করা
G0140	αἱρετίζω	choose	নির্বাচন করা
G1400	δοῦλος	slave	দাস
G1401	δοῦλος	slave	দাস
G1402	δουλόω	enslave	দাস করা
G1403	δοχή	banquet	ভোজ
G1404	δράκων	dragon	ড্রাগন
G1405	δράσσομαι	catch	ধরা
G1406	δραχμή	drachma	দ্রাক্ষমা
G1407	δρέπανον	sickle	কাস্তে
G1408	δρόμος	racecourse	দৌড়
G1409	Δρούσιλλα	Drusilla	ড্রুসিল্লা
G0141	αἱρετικός	schismatic	বিভাজনকারী
G1410	δύναμαι	be able	সক্ষম হওয়া
G1411	δύναμις	power	শক্তি
G1412	δυναμόω	empower	শক্তিশালী করা
G1413	δυνάστης	ruler	শাসক
G1414	δυνατέω	be able	সক্ষম হওয়া
G1415	δυνατός	able	সক্ষম
G1416	δύνω	set	ডুবা
G1417	δύο	two	দুই
G1418		hard	কঠিন
G1419	δυσβάστακτος	ponderous	বহনযোগ্য নয়
G0142	αἴρω	take up	তুলে নেওয়া
G1420	δυσεντέριον	dysentery	আমাশয়
G1421	δυσερμήνευτος	hard to interpret	ব্যাখ্যা করা কঠিন
G1422	δύσκολος	difficult	কঠিন
G1423	δυσκόλως	difficultly	কঠিনভাবে
G1424	δυσμή	west	পশ্চিম
G1425	δυσνόητος	hard to understand	বুঝতে কঠিন
G1426	δυσφημία	slander	নিন্দা
G1427	δώδεκα	twelve	বারো
G1428	δωδέκατος	twelfth	বারোতম
G1429	δωδεκάφυλον	twelve tribes	বারো গোত্র
G0143	αἰσθάνομαι	perceive	অনুভব করা
G1430	δῶμα	housetop	ছাদ
G1431	δωρεά	free gift	উপহার
G1432	δωρεάν	freely	বিনামূল্যে
G1433	δωρέομαι	give	দান করা
G1434	δώρημα	free gift	দান
G1435	δῶρον	gift	উপহার
G1436	ἔα	ha!	আহা
G1437	ἐάν	if	যদি
G1438	ἑαυτοῦ	themself	নিজে
G1439	ἐάω	allow	অনুমতি দেওয়া
G0144	αἴσθησις	insight	অনুভূতি
G1440	ἑβδομήκοντα	seventy	সত্তর
G1441	ἑβδομηκοντάκις	seventy times	সত্তর বার
G1442	ἕβδομος	seventh	সপ্তম
G1443	Ἔβερ	Eber	এবর
G1444		Hebrew	হিব্রু
G1445	Ἑβραῖος	Hebrew	হিব্রু
G1446	Ἑβραΐς	Hebrew	হিব্রু
G1447	Ἑβραϊστί	Hebrew	হিব্রু
G1448	ἐγγίζω	come near	কাছে আসা
G1449	ἐνγράφω	write in	লেখা
G0145	αἰσθητήριον	sense	ইন্দ্রিয়
G1450	ἔγγυος	guarantor	নিশ্চয়তাদানকারী
G1451	ἐγγύς	near	নিকট
G1452	ἐγγύτερον	nearer	আরও নিকট
G1453	ἐγείρω	arise	জাগানো
G1454	ἔγερσις	resurrection	পুনরুত্থান
G1455	ἐνκακέω	spy	হতাশ হওয়া
G1456	ἐνκαίνια	Feast|Festival of Dedication	উৎসর্গ উৎসব
G1457	ἐνκαινίζω	inaugurate	উদ্বোধন করা
G1458	ἐνκαλέω	accuse	অভিযোগ করা
G1459	ἐγκαταλείπω	leave behind	পরিত্যাগ করা
G0146	αἰσχροκερδής	greedy	লোভী
G1460	ἐνκατοικέω	live among	বাস করা
G1461	ἐνκεντρίζω	ingraft	রোপণ করা
G1462	ἔγκλημα	accusation	অভিযোগ
G1463	ἐγκομβόομαι	clothe oneself	পরিধান করা
G1464	ἐνκοπή	hindrance	বাধা
G1465	ἐνκόπτω	impede	বাধা দেওয়া
G1466	ἐνκράτεια	self-control	আত্মনিয়ন্ত্রণ
G1467	ἐγκρατεύομαι	self-control	সংযম
G1468	ἐγκρατής	self-controlled	সংযমী
G1469	ἐνκρίνω	classify	শ্রেণিবদ্ধ করা
G1470	ἐνκρύπτω	mix	মিশ্রিত করা
G1471	ἔνκυος	pregnant	গর্ভবতী
G1472	ἐγχρίω	rub on	মালিশ করা
G1473	ἐγώ	I	আমি
G1474	ἐδαφίζω	raze	ধূলিসাৎ করা
G1475	ἔδαφος	ground	ভূমি
G1476	ἑδραῖος	steadfast	অটুট
G1477	ἑδραίωμα	foundation	ভিত্তি
G1478	Ἑζεκίας	Hezekiah	হিষ্কিয়
G1479	ἐθελοθρησκεία	self-made religion	স্বয়ংনির্ধারিত ধর্মপ্রণোদনা
G0148	αἰσχρολογία	obscenity	অশ্লীলতা
G1480	ἐθίζω	be accustomed	অভ্যস্ত হওয়া
G1481	ἐθνάρχης	governor	গভর্নর
G1482	ἐθνικός	Gentile-like	জাতিগতভাবে
G1483	ἐθνικῶς	Gentile-way	অ-ইহুদিসুলভভাবে
G1484	ἔθνος	Gentiles	জাতি
G1485	ἔθος	custom	প্রথা
G1486	ἔθω	have a custom	প্রথা থাকা
G1487	εἰ	if	যদি
G1488		you are	তুমি আছ
G1489		if indeed	যদি সত্যি
G0149		shameful	লজ্জাজনক
G1490		but if not	কিন্তু যদি না
G1491	εἶδος	appearance	রূপ
G1492	οἶδα	perceive	জানা
G1493	εἰδωλεῖον	idol's temple	মূর্তির মন্দির
G1494	εἰδωλόθυτος	sacrificed to idols	মূর্তিকে উৎসর্গীকৃত
G1495	εἰδωλολατρία	idolatry	মূর্তিপূজা
G1496	εἰδωλολάτρης	idolater	মূর্তিপূজক
G1497	εἴδωλον	idol	মূর্তি
G1498		may be	হতে পারে
G1499		if also	এবং যদি
G0015	ἀγαθοποιέω	do good	ভালো করা
G0150	αἰσχρός	shameful	লজ্জাজনক
G1500	εἰκῇ	in vain	অনর্থক
G1501	εἴκοσι	twenty	বিশ
G1502	εἴκω	yield	নত হওয়া
G1503	εἴκω	resemble	সদৃশ হওয়া
G1504	εἰκών	image	প্রতিমূর্তি
G1505	εἰλικρίνεια	sincerity	বিশুদ্ধতা
G1506	εἰλικρινής	pure	বিশুদ্ধ
G1507		roll up	গুটিয়ে নেওয়া
G1508		except	ছাড়া
G1509		except what	যা ছাড়া
G0151	αἰσχρότης	obscenity	অশ্লীলতা
G1510	εἰμί	be	আছে
G1511		exist	হওয়া
G1512		if so	যদি তাই হয়
G1513		if somehow	যদি কোনো রকমে
G1514	εἰρηνεύω	be at peace	শান্তিতে থাকা
G1515	εἰρήνη	peace	শান্তি
G1516	εἰρηνικός	peaceful	শান্তিপূর্ণ
G1517	εἰρηνοποιέω	make peace	শান্তি স্থাপন করা
G1518	εἰρηνοποιός	peacemaker	শান্তিনির্মাতা
