# Published Hebrew hierarchy -- pruned + tree-shaped view of hierarchy_dag.tsv
# (internal, unpruned, kept separately). EDGE-ONLY: direct parent->child pairs,
# not multi-hop paths -- chaining rows yourself is not asserted to be semantically
# coherent, see publish_hierarchy_dag.py. `tier`/`berel_cos` as in the internal DAG.
# Text-anchored, no SDBH/MARBLE as an input (structural comparison only).
broader_strong	broader_gloss	narrower_strong	narrower_gloss	tier	berel_cos
H7794	cattle	H6499	bullock	medium	0.4798
H7891	sing	H6496	overseer	medium	0.3328
H7892	song	H4210	melody	medium	0.4214
H8034	name	H0413	to(wards)	medium	
H8034	name	H4886	anoint	medium	0.2467
H8034	name	H5769	forever	high	0.4203
H8048	Shammah	H6723	dryness	medium	
H8048	Shammah	H8322	hissing	medium	
H8064	heaven	H0676	finger	medium	0.0906
H8064	heaven	H3427	dwell	medium	0.0511
H8064	heaven	H4349	foundation	medium	0.6540
H8064	heaven	H7549	expanse	medium	0.6797
H8069	Shamir	H7898	thornbush	medium	
H8141	year	H4643	tithe	medium	0.3365
H8141	year	H8059	remission	medium	0.5550
H8269	ruler	H2428	strength	medium	0.7729
H8269	ruler	H3289	advise	medium	0.3364
H8269	ruler	H5631	eunuch	high	0.8479
H8269	ruler	H6485	reckon	medium	0.6066
H8316	fire	H3980	fuel	medium	
H8334	minister	H6486	punishment	medium	
H8441	abomination	H8251	abomination	medium	0.5727
