# Biblical Hebrew poetic-parallelism word pairs — two tiers. tomim_confirmed: expert-
# verified (Berlin/Fokkelman/Kugel/Watson/Tsumura via T'OMIM, CC BY 4.0, DOI 10.5281/zenodo.19135731). detected: our own BHSA half_verse extraction (Psalms/Proverbs/Job
# only, min_verses>=3), not found in T'OMIM (T'OMIM is a curated sample, not exhaustive — absence isn't evidence against a pair). Independent of UBS MARBLE and Hebrew
# WordNet; the LLM signal is used only to LABEL relation, never to find pairs. `relation`:
# likely_synonym / likely_antonym / unclassified (parallelism found it, LLM has no opinion).
# See build_parallelism_pairs.py.
strong_a	strong_b	tier	evidence	relation	sample_ref
H1481	H3372	tomim_confirmed	pair_id=6	likely_synonym	Psalms 33:8
H3372	H8398	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H3372	H3427	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H3372	H3605	tomim_confirmed	pair_id=165	unclassified	Psalms 22:24
H0776	H1481	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H0776	H8398	tomim_confirmed	pair_id=6	likely_synonym	Psalms 33:8
H0776	H3427	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H0776	H3605	tomim_confirmed	pair_id=168	unclassified	Psalms 33:13
H1481	H3605	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H3605	H8398	tomim_confirmed	pair_id=6	unclassified	Psalms 33:8
H3427	H3605	tomim_confirmed	pair_id=168	unclassified	Psalms 33:13
H1288	H6310	tomim_confirmed	pair_id=7	unclassified	Psalms 34:2
H1288	H8416	tomim_confirmed	pair_id=7	unclassified	Psalms 34:2
H6256	H6310	tomim_confirmed	pair_id=7	unclassified	Psalms 34:2
H6256	H8416	tomim_confirmed	pair_id=7	unclassified	Psalms 34:2
H3605	H6310	tomim_confirmed	pair_id=167	unclassified	Psalms 71:8
H3605	H8416	tomim_confirmed	pair_id=167	unclassified	Psalms 71:8
H0571	H3605	tomim_confirmed	pair_id=8	unclassified	Psalms 145:18
H3605	H7121	tomim_confirmed	pair_id=166	unclassified	Psalms 34:7
H0571	H7121	tomim_confirmed	pair_id=8	unclassified	Psalms 145:18
H0571	H7138	tomim_confirmed	pair_id=8	unclassified	Psalms 145:18
H7121	H7138	tomim_confirmed	pair_id=8	unclassified	Psalms 145:18
H3605	H7138	tomim_confirmed	pair_id=8	unclassified	Psalms 145:18
H5927	H5945	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H3605	H5945	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H0430	H5945	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H0776	H5927	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H0430	H0776	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H3605	H5927	tomim_confirmed	pair_id=9	unclassified	Psalms 97:9
H0430	H3605	tomim_confirmed	pair_id=173	unclassified	Genesis 21:6
H3820	H7307	tomim_confirmed	pair_id=212	unclassified	Ezekiel 11:19
H1793	H3820	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H3467	H3820	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H7307	H7665	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H1793	H7665	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H3467	H7665	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H7138	H7307	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H1793	H7138	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H3467	H7138	tomim_confirmed	pair_id=10	unclassified	Psalms 34:19
H3198	H5971	tomim_confirmed	pair_id=11	unclassified	Micah 6:2
H3198	H7379	tomim_confirmed	pair_id=11	unclassified	Micah 6:2
H5493	H7926	tomim_confirmed	pair_id=12	unclassified	Isaiah 14:25
H5448	H5493	tomim_confirmed	pair_id=12	unclassified	Isaiah 14:25
H5493	H5923	tomim_confirmed	pair_id=12	unclassified	Isaiah 14:25
H5923	H7926	tomim_confirmed	pair_id=12	unclassified	Isaiah 14:25
H5448	H5923	tomim_confirmed	pair_id=12	unclassified	Isaiah 14:25
H1471	H3243	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H2461	H3243	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H3243	H7701	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H1471	H7701	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H2461	H7701	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H3243	H4428	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H1471	H4428	tomim_confirmed	pair_id=253	unclassified	Psalms 72:11
H2461	H4428	tomim_confirmed	pair_id=13	unclassified	Isaiah 60:16
H4940	H7725	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H0376	H7725	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H0376	H4940	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H0272	H7725	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H0272	H4940	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H0272	H0376	tomim_confirmed	pair_id=14	unclassified	Leviticus 25:10
H5956	H7723	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H0935	H7723	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H4962	H5956	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H0935	H4962	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H3427	H5956	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H0935	H3427	tomim_confirmed	pair_id=15	unclassified	Psalms 26:4
H1288	H3205	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0517	H3205	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H3117	H3205	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H1961	H3205	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0779	H3205	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0779	H1288	tomim_confirmed	pair_id=19	likely_antonym	Jeremiah 20:14
H0517	H0779	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0779	H3117	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0779	H1961	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H1288	H3117	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H0517	H3117	tomim_confirmed	pair_id=19	unclassified	Jeremiah 20:14
H1961	H3117	tomim_confirmed	pair_id=61	unclassified	Joel 1:2
H3201	H4325	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H3201	H7516	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H3201	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H2916	H3201	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H4325	H8252	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H7516	H8252	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H8252	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H2916	H8252	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H3220	H4325	tomim_confirmed	pair_id=20	likely_synonym	Isaiah 57:20
H3220	H7516	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H3220	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H2916	H3220	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H4325	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H7516	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H2916	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H4325	H7563	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H7516	H7563	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H1644	H7563	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H2916	H7563	tomim_confirmed	pair_id=20	unclassified	Isaiah 57:20
H0249	H5521	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3605	H5521	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3427	H5521	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H5521	H7651	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H0249	H7651	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3605	H7651	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3427	H7651	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H0249	H3427	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3117	H5521	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H0249	H3117	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3117	H3605	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H3117	H3427	tomim_confirmed	pair_id=21	unclassified	Leviticus 23:42
H1121	H1323	tomim_confirmed	pair_id=22	likely_antonym	Jeremiah 48:46
H1121	H7633	tomim_confirmed	pair_id=22	unclassified	Jeremiah 48:46
H1323	H3947	tomim_confirmed	pair_id=22	unclassified	Jeremiah 48:46
H3947	H7633	tomim_confirmed	pair_id=22	unclassified	Jeremiah 48:46
H1323	H7628	tomim_confirmed	pair_id=22	unclassified	Jeremiah 48:46
H7628	H7633	tomim_confirmed	pair_id=22	likely_synonym	Jeremiah 48:46
H2715	H2966	tomim_confirmed	pair_id=23	unclassified	Nahum 2:13
H2715	H4583	tomim_confirmed	pair_id=23	unclassified	Nahum 2:13
H2964	H2966	tomim_confirmed	pair_id=23	unclassified	Nahum 2:13
H2964	H4583	tomim_confirmed	pair_id=23	unclassified	Nahum 2:13
H3117	H6471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H1471	H3117	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0259	H3117	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H2342	H6471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H1471	H2342	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H2342	H3205	tomim_confirmed	pair_id=24	likely_synonym	Isaiah 66:8
H0259	H2342	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0776	H6471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0776	H1471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0776	H3205	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0259	H0776	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0259	H6471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0259	H1471	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H0259	H3205	tomim_confirmed	pair_id=24	unclassified	Isaiah 66:8
H7440	H7814	tomim_confirmed	pair_id=25	unclassified	Psalms 126:2
H3956	H7814	tomim_confirmed	pair_id=25	unclassified	Psalms 126:2
H6310	H7440	tomim_confirmed	pair_id=25	unclassified	Psalms 126:2
H3956	H6310	tomim_confirmed	pair_id=25	likely_synonym	Psalms 126:2
H5203	H8085	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H0517	H8085	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H8085	H8451	tomim_confirmed	pair_id=150	unclassified	Isaiah 1:10
H1121	H5203	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H0517	H1121	tomim_confirmed	pair_id=26	likely_synonym	Proverbs 1:8
H1121	H8451	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H0001	H5203	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H0001	H0517	tomim_confirmed	pair_id=26	likely_antonym	Proverbs 1:8
H0001	H8451	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H4148	H5203	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H0517	H4148	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H4148	H8451	tomim_confirmed	pair_id=26	unclassified	Proverbs 1:8
H3782	H5307	tomim_confirmed	pair_id=222	likely_synonym	Isaiah 3:8
H0309	H0954	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0954	H4818	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0954	H6471	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0309	H7393	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H4818	H7393	tomim_confirmed	pair_id=28	likely_synonym	Judges 5:28
H6471	H7393	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0309	H0935	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0935	H4818	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H0935	H6471	tomim_confirmed	pair_id=28	unclassified	Judges 5:28
H5358	H6485	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H1471	H6485	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H5315	H6485	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H5002	H5358	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H1471	H5002	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H5002	H5315	tomim_confirmed	pair_id=29	unclassified	Jeremiah 5:9
H3045	H3824	tomim_confirmed	pair_id=30	unclassified	Job 10:13
H3045	H6845	tomim_confirmed	pair_id=30	unclassified	Job 10:13
H4725	H5767	tomim_confirmed	pair_id=31	unclassified	Job 18:21
H3045	H5767	tomim_confirmed	pair_id=31	unclassified	Job 18:21
H0413	H5767	tomim_confirmed	pair_id=31	unclassified	Job 18:21
H4725	H4908	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H3045	H4908	tomim_confirmed	pair_id=31	unclassified	Job 18:21
H0413	H4908	tomim_confirmed	pair_id=31	unclassified	Job 18:21
H3925	H5375	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H4421	H5375	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H1471	H3925	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H1471	H4421	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H2719	H3925	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H2719	H4421	tomim_confirmed	pair_id=32	unclassified	Isaiah 2:4
H2142	H8141	tomim_confirmed	pair_id=33	unclassified	Deuteronomy 32:7
H1755	H2142	tomim_confirmed	pair_id=33	unclassified	Deuteronomy 32:7
H3117	H8141	tomim_confirmed	pair_id=230	likely_synonym	Job 10:5
H1755	H3117	tomim_confirmed	pair_id=33	unclassified	Deuteronomy 32:7
H5769	H8141	tomim_confirmed	pair_id=33	unclassified	Deuteronomy 32:7
H1755	H5769	tomim_confirmed	pair_id=153	likely_synonym	Psalms 145:13
H2022	H5375	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H1389	H5375	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H3605	H5375	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H2022	H3605	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H1389	H3605	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H1516	H2022	tomim_confirmed	pair_id=34	likely_antonym	Isaiah 40:4
H1389	H1516	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H1516	H3605	tomim_confirmed	pair_id=34	unclassified	Isaiah 40:4
H6121	H7406	tomim_confirmed	pair_id=35	unclassified	Isaiah 40:4
H1237	H6121	tomim_confirmed	pair_id=35	unclassified	Isaiah 40:4
H4334	H7406	tomim_confirmed	pair_id=35	unclassified	Isaiah 40:4
H1237	H4334	tomim_confirmed	pair_id=35	likely_synonym	Isaiah 40:4
H1961	H7406	tomim_confirmed	pair_id=35	unclassified	Isaiah 40:4
H1237	H1961	tomim_confirmed	pair_id=35	unclassified	Isaiah 40:4
H0730	H8559	tomim_confirmed	pair_id=36	unclassified	Psalms 92:13
H0730	H6524	tomim_confirmed	pair_id=36	unclassified	Psalms 92:13
H0730	H6662	tomim_confirmed	pair_id=36	unclassified	Psalms 92:13
H1004	H2691	tomim_confirmed	pair_id=37	likely_synonym	Psalms 92:14
H1004	H6524	tomim_confirmed	pair_id=37	unclassified	Psalms 92:14
H0430	H1004	tomim_confirmed	pair_id=37	unclassified	Psalms 92:14
H2142	H3582	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H2142	H3477	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H0006	H3582	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H0006	H3477	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H3582	H5355	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H3477	H5355	tomim_confirmed	pair_id=38	unclassified	Job 4:7
H3925	H4941	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1870	H4941	tomim_confirmed	pair_id=237	unclassified	Proverbs 2:8
H4941	H6035	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1869	H3925	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1869	H1870	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1869	H6035	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H3925	H6035	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1870	H6035	tomim_confirmed	pair_id=39	unclassified	Psalms 25:9
H1121	H2022	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H1389	H2022	tomim_confirmed	pair_id=40	likely_synonym	Psalms 114:6
H2022	H6629	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H0352	H1121	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H0352	H1389	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H0352	H6629	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H1121	H7540	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H1389	H7540	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H6629	H7540	tomim_confirmed	pair_id=40	unclassified	Psalms 114:6
H3427	H3678	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H1755	H3427	tomim_confirmed	pair_id=71	unclassified	Psalms 102:13
H3678	H5769	tomim_confirmed	pair_id=41	unclassified	Lamentations 5:19
H0400	H3584	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H0400	H4639	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H0400	H2132	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H3584	H7709	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H4639	H7709	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H2132	H7709	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H3584	H6213	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H4639	H6213	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H2132	H6213	tomim_confirmed	pair_id=42	unclassified	Habakkuk 3:17
H6629	H7517	tomim_confirmed	pair_id=43	unclassified	Habakkuk 3:17
H1241	H6629	tomim_confirmed	pair_id=43	likely_synonym	Habakkuk 3:17
H1121	H3205	tomim_confirmed	pair_id=44	likely_synonym	Psalms 2:7
H1121	H3117	tomim_confirmed	pair_id=44	unclassified	Psalms 2:7
H1121	H5341	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H1121	H3820	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H1121	H4687	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H5341	H8451	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H3820	H8451	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H4687	H8451	tomim_confirmed	pair_id=45	likely_synonym	Proverbs 3:1
H5341	H7911	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H3820	H7911	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H4687	H7911	tomim_confirmed	pair_id=45	unclassified	Proverbs 3:1
H0926	H3820	tomim_confirmed	pair_id=46	unclassified	Ecclesiastes 5:1
H3820	H6310	tomim_confirmed	pair_id=46	unclassified	Ecclesiastes 5:1
H0430	H7121	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H0430	H6862	tomim_confirmed	pair_id=47	unclassified	Psalms 18:7
H0998	H8085	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H3045	H8085	tomim_confirmed	pair_id=152	unclassified	Job 34:2
H0998	H1121	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H1121	H3045	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H0001	H0998	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H0001	H3045	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H0998	H4148	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H3045	H4148	tomim_confirmed	pair_id=49	unclassified	Proverbs 4:1
H3407	H4725	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H4725	H5186	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H0168	H3407	tomim_confirmed	pair_id=50	likely_synonym	Isaiah 54:2
H0168	H5186	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H3407	H7337	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H5186	H7337	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H4908	H7337	tomim_confirmed	pair_id=50	unclassified	Isaiah 54:2
H2026	H7068	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H2026	H6601	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H2026	H4191	tomim_confirmed	pair_id=51	likely_synonym	Job 5:2
H0191	H7068	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H0191	H6601	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H0191	H4191	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H3707	H7068	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H3707	H6601	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H3707	H4191	tomim_confirmed	pair_id=51	unclassified	Job 5:2
H3915	H6298	tomim_confirmed	pair_id=52	unclassified	Job 5:14
H6298	H6672	tomim_confirmed	pair_id=52	unclassified	Job 5:14
H4959	H6298	tomim_confirmed	pair_id=52	unclassified	Job 5:14
H2822	H3915	tomim_confirmed	pair_id=52	likely_synonym	Job 5:14
H2822	H6672	tomim_confirmed	pair_id=52	unclassified	Job 5:14
H2822	H4959	tomim_confirmed	pair_id=52	unclassified	Job 5:14
H1288	H4009	tomim_confirmed	pair_id=54	unclassified	Jeremiah 17:7
H1288	H1961	tomim_confirmed	pair_id=54	unclassified	Jeremiah 17:7
H0982	H4009	tomim_confirmed	pair_id=54	unclassified	Jeremiah 17:7
H0982	H1961	tomim_confirmed	pair_id=54	unclassified	Jeremiah 17:7
H1397	H4009	tomim_confirmed	pair_id=54	unclassified	Jeremiah 17:7
H1397	H1961	tomim_confirmed	pair_id=176	unclassified	Deuteronomy 22:5
H4284	H6098	tomim_confirmed	pair_id=56	likely_synonym	Psalms 33:11
H5106	H6098	tomim_confirmed	pair_id=55	unclassified	Psalms 33:10
H5971	H6098	tomim_confirmed	pair_id=55	unclassified	Psalms 33:10
H1471	H4284	tomim_confirmed	pair_id=55	unclassified	Psalms 33:10
H1471	H5106	tomim_confirmed	pair_id=55	unclassified	Psalms 33:10
H1471	H5971	tomim_confirmed	pair_id=191	likely_synonym	Habakkuk 2:8
H3820	H5975	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H4284	H5975	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H1755	H5975	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H3820	H6098	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H1755	H6098	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H3820	H5769	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H4284	H5769	tomim_confirmed	pair_id=56	unclassified	Psalms 33:11
H0319	H7939	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H3426	H7939	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H5002	H7939	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H7939	H8615	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H0319	H3426	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H3426	H5002	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H3426	H8615	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H0319	H6468	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H3426	H6468	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H5002	H6468	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H6468	H8615	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H0319	H5002	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H5002	H8615	tomim_confirmed	pair_id=57	unclassified	Jeremiah 31:16
H1121	H7725	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
