lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<CTWT/,Meinung,,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,gedenken,,,,,,,,,,,,beabsichtigen,,,,,,,
<CWQ/,Bedrücker,,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,Bedrückung,,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,bearbeitet,,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,Aschwat,,,,,,,,,,,,,,,,,,,,,,,,
<D,"bis, bis zu; während",,,,,,,,,,,,,,,,,,,,,,,,
<D/,"Zukunft, Ewigkeit; immer",,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,Adada,,,,,,,,,,,,,,,,,,,,,,,,
<D=/,Zeuge; Zeugnis,,,,,,,,,,,,,,,,,,,,,,,,
<D==/,Beute,,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,Linse,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,Oded,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,"Versammlung, Gemeinde",,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,Zeugin; Zeugnis,,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,Menstruation,,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,Ada,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,schreiten,,,,,abstreifen,,,,,,,,,,,,,,,,,,
<DH[,,sich schmücken mit; schmücken mit,,,,,,,,,,,,,,,,"gehen, kommen; weggehen; genommen werden",,,"wegnehmen, absetzen",,,,
<DJ/,Schmuck,,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,Adiël,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,Adaja,,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,Adaja,,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,wollüstig,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,Adin,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,Adina,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,Adino,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,Aditajim,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,Adlai,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,Adullam,,,,,,,,,,,,,,,,,,,,,,,,
<DLMJ/,Adullamiter,,,,,,,,,,,,,,,,,,,,,,,,
<DN,bisher; noch,,,,,,,,,,,,,,,,,,,,,,,,
<DN/,Wonne; Schmuckstück,,,,,,,,,,,,,,,,,,,,,,,,
<DN=/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN==/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN===/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN>/,Adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNH,bisher; noch,,,,,,,,,,,,,,,,,,,,,,,,
<DNH/,Liebeslust,,,,,,,,,,,,,,,,,,,,,,,,
<DNH=/,Adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNX/,Adnach,,,,,,,,,,,,,,,,,,,,,,,,
<DN[,,,,,,Wohlleben führen,,,,,,,,,,,,,,,,,,,
<DP[,,überschüssig sein,,,,,Überschuss haben,,,,,,,,,,,,,,,,,,
<DR/,Herde,,,,,,,,,,,,,,,,,,,,,,,,
<DR=/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR===/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==[,,sich scharen,,,,,,,,,,,,,,,,,,,,,,,
<DR=[,,,gejätet werden,,,,,,,,,,,,,,,,,,,,,,
<DRJ>L/,Adriël,,,,,,,,,,,,,,,,,,,,,,,,
<DR[,,,fehlen,fehlen lassen,,,,,,,,,,,,,,,,,,,,,
<DW/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DW>/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DWT/,"Zeugnis, Mahnzeichen, Gesetz",,,,,,,,,,,,,,,,,,,,,,,,
<FB/,"Kraut, Kräuter",,,,,,,,,,,,,,,,,,,,,,,,
<FH>L/,Asaël,,,,,,,,,,,,,,,,,,,,,,,,
<FH[,,"machen, tun; anbringen; es halten mit","gemacht, getan werden","drücken, pressen",gemacht werden,,,,,,,,,,,,,,,,,,,,
<FJ>L/,Asiël,,,,,,,,,,,,,,,,,,,,,,,,
<FJH/,Asaja,,,,,,,,,,,,,,,,,,,,,,,,
<FJRJ/,zehnter; Zehntel,,,,,,,,,,,,,,,,,,,,,,,,
<FQ/,Esek,,,,,,,,,,,,,,,,,,,,,,,,
<FQ[,,,,,,sich zanken mit,,,,,,,,,,,,,,,,,,,
<FR/,zehn,,,,,,,,,,,,,,,,,,,,,,,,
<FR=/,zehn; Gruppe von zehn,,,,,,,,,,,,,,,,,,,,,,,,
<FRH/,zehn,,,,,,,,,,,,,,,,,,,,,,,,
<FRH=/,zehn; Gruppe von zehn,,,,,,,,,,,,,,,,,,,,,,,,
<FRJM/,zwanzig; zwanzigster,,,,,,,,,,,,,,,,,,,,,,,,
<FRJN/,zwanzig,,,,,,,,,,,,,,,,,,,,,,,,
<FRWN/,Zehntel,,,,,,,,,,,,,,,,,,,,,,,,
<FR[,,mit dem Zehnten belegen,,"den Zehnten erheben, geben",,,"den Zehnten erheben, geben",,,,,,,,,,,,,,,,,,
<FW/,Esau,,,,,,,,,,,,,,,,,,,,,,,,
<FWR/,Zehnzahl; zehnter,,,,,,,,,,,,,,,,,,,,,,,,
<GBH/,Verlangen,,,,,,,,,,,,,,,,,,,,,,,,
<GBJM/,Verlangen,,,,,,,,,,,,,,,,,,,,,,,,
<GB[,,Verlangen haben,,,,,,,,,,,,,,,,,,,,,,,
<GH/,Brotfladen,,,,,,,,,,,,,,,,,,,,,,,,
<GJL/,Ohrring,,,,,,,,,,,,,,,,,,,,,,,,
<GL/,Jungstier,,,,,,,,,,,,,,,,,,,,,,,,
<GL=/,rund,,,,,,,,,,,,,,,,,,,,,,,,
<GLH/,Jungkuh,,,,,,,,,,,,,,,,,,,,,,,,
<GLH=/,"Wagen, Karren",,,,,,,,,,,,,,,,,,,,,,,,
<GLH==/,Egla,,,,,,,,,,,,,,,,,,,,,,,,
<GLT_CLCJH/,Eglat-Schelischija,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN=/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GM[,,betrübt sein um,,,,,,,,,,,,,,,,,,,,,,,
<GN[,,,sich entziehen,,,,,,,,,,,,,,,,,,,,,,
<GWR/,<Vogel>,,,,,,,,,,,,,,,,,,,,,,,,
<J/,Trümmerhaufen,,,,,,,,,,,,,,,,,,,,,,,,
<J=/,Ai,,,,,,,,,,,,,,,,,,,,,,,,
<JBL/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JBL=/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JC/,Löwin <Sternbild>,,,,,,,,,,,,,,,,,,,,,,,,
<JH/,Aja,,,,,,,,,,,,,,,,,,,,,,,,
<JJM/,Ijim,,,,,,,,,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,Ije-Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<JLJ/,Ilai,,,,,,,,,,,,,,,,,,,,,,,,
<JLM/,Elam,,,,,,,,,,,,,,,,,,,,,,,,
<JLWM/,<unklar>,,,,,,,,,,,,,,,,,,,,,,,,
<JN/,Auge; Aussehen; Quelle,,,,,,,,,,,,,,,,,,,,,,,,
<JN=/,Ajin,,,,,,,,,,,,,,,,,,,,,,,,
<JNJM/,Enajim,,,,,,,,,,,,,,,,,,,,,,,,
<JNM/,Enajim,,,,,,,,,,,,,,,,,,,,,,,,
<JNN/,Enan,,,,,,,,,,,,,,,,,,,,,,,,
<JN[,,mit Argwohn betrachten,,,,,,,,,,,,,,,,,,,,,,,
<JN_<GLJM/,En-Eglajim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_CMC/,En-Schemesch,,,,,,,,,,,,,,,,,,,,,,,,
<JN_DWR/,En-Dor,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GDJ/,En-Gedi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GNJM/,En-Gannim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_HTNJN/,En-Tannin,,,,,,,,,,,,,,,,,,,,,,,,
<JN_MCPV/,En-Mischpat,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RGL/,En-Rogel,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RMWN/,En-Rimmon,,,,,,,,,,,,,,,,,,,,,,,,
<JN_TPWX/,En-Tappuach,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XDH/,En-Hadda,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XRD/,En-Harod,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XYWR/,En-Hazor,,,,,,,,,,,,,,,,,,,,,,,,
<JP/,"müde, erschöpft",,,,,,,,,,,,,,,,,,,,,,,,
<JPH/,Dunkelheit,,,,,,,,,,,,,,,,,,,,,,,,
<JPH=/,Efa,,,,,,,,,,,,,,,,,,,,,,,,
<JPH==/,Efa,,,,,,,,,,,,,,,,,,,,,,,,
<JPJ/,Efai,,,,,,,,,,,,,,,,,,,,,,,,
<JP[,,müde sein,,,,,,,,,,,,,,,,,,,,,,,
<JR/,Stadt; Stadtteil,,,,,,,,,,,,,,,,,,,,,,,,
<JR=/,Eselhengst,,,,,,,,,,,,,,,,,,,,,,,,
<JR==/,Eselhengst,,,,,,,,,,,,,,,,,,,,,,,,
<JR===/,Erregung,,,,,,,,,,,,,,,,,,,,,,,,
<JR====/,Ir,,,,,,,,,,,,,,,,,,,,,,,,
<JR>/,Ira,,,,,,,,,,,,,,,,,,,,,,,,
<JRD/,Irad,,,,,,,,,,,,,,,,,,,,,,,,
<JRJ/,Ir,,,,,,,,,,,,,,,,,,,,,,,,
<JRM/,nackt; Blöße,,,,,,,,,,,,,,,,,,,,,,,,
<JRM=/,Iram,,,,,,,,,,,,,,,,,,,,,,,,
<JRW/,Iru,,,,,,,,,,,,,,,,,,,,,,,,
<JR_CMC/,Ir-Schemesch,,,,,,,,,,,,,,,,,,,,,,,,
<JR_HMLX/,Ir-Melach,,,,,,,,,,,,,,,,,,,,,,,,
<JR_NXC/,Ir-Nahasch,,,,,,,,,,,,,,,,,,,,,,,,
<JT/,Aja,,,,,,,,,,,,,,,,,,,,,,,,
<JV/,<Raubvogel>,,,,,,,,,,,,,,,,,,,,,,,,
<JVM/,Etam,,,,,,,,,,,,,,,,,,,,,,,,
<JV[,,herfallen über; anschreien,,,,,,,,,,,,,,,,,,,,,,,
<JWN/,Ijon,,,,,,,,,,,,,,,,,,,,,,,,
<KBJC/,Spinne,,,,,,,,,,,,,,,,,,,,,,,,
<KBR/,Maus,,,,,,,,,,,,,,,,,,,,,,,,
<KBWR/,Achbor,,,,,,,,,,,,,,,,,,,,,,,,
<KCWB/,Viper?,,,,,,,,,,,,,,,,,,,,,,,,
<KN/,Achan,,,,,,,,,,,,,,,,,,,,,,,,
<KR/,Achar,,,,,,,,,,,,,,,,,,,,,,,,
<KRN/,Ochran,,,,,,,,,,,,,,,,,,,,,,,,
<KR[,,Tabu machen?; zerrütten?,Tabu werden?; zerrüttet werden?,,,,,,,,,,,,,,,,,,,,,,
<KS/,Fußspange,,,,,,,,,,,,,,,,,,,,,,,,
<KSH/,Achsa,,,,,,,,,,,,,,,,,,,,,,,,
<KS[,,,,mit Fußspangen klirren,,,,,,,,,,,,,,,,,,,,,
<KW/,Akko,,,,,,,,,,,,,,,,,,,,,,,,
<KWR/,Achor,,,,,,,,,,,,,,,,,,,,,,,,
<L,"auf, über; wegen; gegen, gegenüber",,,,,,,,,,,,,,,,,,,,,,,,
<L/,Joch,,,,,,,,,,,,,,,,,,,,,,,,
<L</,Rippe,,,,,,,,,,,,,,,,,,,,,,,,
<L<[,,,,trinken?,,,,,,,,,,,,,,,,,,,,,
<L=/,Höhe,,,,,,,,,,,,,,,,,,,,,,,,
<L>,oben,,,,,,,,,,,,,,,,,,,,,,,,
<L>/,Ulla,,,,,,,,,,,,,,,,,,,,,,,,
<LG/,Stammelnder,,,,,,,,,,,,,,,,,,,,,,,,
<LH/,Brandopfer,,,,,,,,,,,,,,,,,,,,,,,,
<LH=/,Laub,,,,,,,,,,,,,,,,,,,,,,,,
<LH[,,hinaufsteigen; abziehen; entgegentreten; sich bemächtigen,"sich erheben, erhaben sein; sich zurückziehen; ins Gerede kommen",,,sich erheben,"steigen lassen, hinaufführen; darbringen","dargebracht, weggeführt werden; aufgenommen werden",,,,,,,,,,,,,,,,,
<LJ/,obere,,,,,,,,,,,,,,,,,,,,,,,,
<LJ=/,Stößel,,,,,,,,,,,,,,,,,,,,,,,,
<LJ==/,Eli,,,,,,,,,,,,,,,,,,,,,,,,
<LJH/,Obergemach,,,,,,,,,,,,,,,,,,,,,,,,
<LJL/,<unklar>,,,,,,,,,,,,,,,,,,,,,,,,
<LJLH/,"Tat, Handlung",,,,,,,,,,,,,,,,,,,,,,,,
<LJLJH/,"Tat, Handlung",,,,,,,,,,,,,,,,,,,,,,,,
<LJN/,Alwan,,,,,,,,,,,,,,,,,,,,,,,,
<LJWN/,oberer; höchster,,,,,,,,,,,,,,,,,,,,,,,,
<LJYT/,Frohlocken,,,,,,,,,,,,,,,,,,,,,,,,
<LJZ/,frohlockend; übermutig,,,,,,,,,,,,,,,,,,,,,,,,
<LL=[,,,,hineinstecken,,,,,,,,,,,,,,,,,,,,,
<LLWT/,Nachlese,,,,,,,,,,,,,,,,,,,,,,,,
<LL[,,,,"handeln, antun; Nachlese halten","handeln, antun; Nachlese halten",seinen Mutwillen treiben mit,,hineingebracht werden,,,,,,,,,,hineingehen,,,hereinbringen,,,,
<LM/,junger Mann,,,,,,,,,,,,,,,,,,,,,,,,
<LMH/,junge Frau,,,,,,,,,,,,,,,,,,,,,,,,
<LMJ/,Elamiter,,,,,,,,,,,,,,,,,,,,,,,,
<LMT/,Alemet,,,,,,,,,,,,,,,,,,,,,,,,
<LMT=/,Alemet,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN/,Alemet,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN_DBLTJMH/,Almon-Diblatajema,,,,,,,,,,,,,,,,,,,,,,,,
<LMWT/,<musikalische Angabe>,,,,,,,,,,,,,,,,,,,,,,,,
<LM[,,verborgen,verborgen sein,,,sich verbergen,verbergen,,,,,,,,,,,,,,,,,,
<LPH/,<unklar>,,,,,,,,,,,,,,,,,,,,,,,,
<LP[,,,,,bedeckt sein mit; ohnmächtig werden,sich einhüllen; ohnmächtig werden,,,,,,,,,,,,,,,,,,,
<LS[,,genießen,sich froh schwingen,,,sich belustigen an,,,,,,,,,,,,,,,,,,,
<LVH/,Finsternis,,,,,,,,,,,,,,,,,,,,,,,,
<LWH/,Verkehrtheit?,,,,,,,,,,,,,,,,,,,,,,,,
<LWH=/,Alwa,,,,,,,,,,,,,,,,,,,,,,,,
<LWMJM/,Jugendalter,,,,,,,,,,,,,,,,,,,,,,,,
<LWN/,Alwan,,,,,,,,,,,,,,,,,,,,,,,,
<LWQH/,Blutegel,,,,,,,,,,,,,,,,,,,,,,,,
<LY[,,sich freuen,,,,,,,,,,,,,,,,,,,,,,,
<LZ/,frohlockend,,,,,,,,,,,,,,,,,,,,,,,,
<LZ[,,frohlocken,,,,,,,,,,,,,,,,,,,,,,,
<M,(zusammen) mit; gleichwie,,,,,,,,,,,,,,,,,,,,,,,,
<M/,Volk; Verwandtschaft; Verwandter,,,,,,,,,,,,,,,,,,,,,,,,
<M<D/,Amad,,,,,,,,,,,,,,,,,,,,,,,,
<MCSJ/,Amaschsai,,,,,,,,,,,,,,,,,,,,,,,,
<MD/,"Gesellschaft; bei, mit",,,,,,,,,,,,,,,,,,,,,,,,
<MD=/,Platz,,,,,,,,,,,,,,,,,,,,,,,,
<MDH/,Standort,,,,,,,,,,,,,,,,,,,,,,,,
<MD[,,"sich hinstellen, stehen; aufhören",,,,,"zum Stehen bringen, hinstellen, bestellen",hingestellt sein,,,,,,,,,,,,,,,,,
<MF>/,Amasa,,,,,,,,,,,,,,,,,,,,,,,,
<MFJ/,Amasai,,,,,,,,,,,,,,,,,,,,,,,,
<MH/,dicht neben; entsprechend,,,,,,,,,,,,,,,,,,,,,,,,
<MH=/,Umma,,,,,,,,,,,,,,,,,,,,,,,,
<MJ/,Ammi,,,,,,,,,,,,,,,,,,,,,,,,
<MJ>L/,Ammiël,,,,,,,,,,,,,,,,,,,,,,,,
<MJCDJ/,Ammishaddai,,,,,,,,,,,,,,,,,,,,,,,,
<MJHWD/,Ammihud,,,,,,,,,,,,,,,,,,,,,,,,
<MJNDB/,Amminadab,,,,,,,,,,,,,,,,,,,,,,,,
<MJQ/,tief,,,,,,,,,,,,,,,,,,,,,,,,
<MJR/,geschnittene Ähren,,,,,,,,,,,,,,,,,,,,,,,,
<MJT/,"Genosse, Gefährte",,,,,,,,,,,,,,,,,,,,,,,,
<MJZBD/,Ammisabad,,,,,,,,,,,,,,,,,,,,,,,,
<ML/,Mühsal; Erwerb; Missgeschick,,,,,,,,,,,,,,,,,,,,,,,,
<ML=/,sich mühend; Arbeiter,,,,,,,,,,,,,,,,,,,,,,,,
<ML==/,Amal,,,,,,,,,,,,,,,,,,,,,,,,
<MLQ/,Amalek,,,,,,,,,,,,,,,,,,,,,,,,
<MLQJ/,Amalekiter,,,,,,,,,,,,,,,,,,,,,,,,
<ML[,,"sich mühen, arbeiten",,,,,,,,,,,,,,,,,,,,,,,
<MM=[,,,,,,,,dunkel werden,,,,,,,,,,,,,,,,,
<MM[,,"sich anschließen, gleichkommen",,,,,,,,,,,,,,,,,,,,,,,
<MNH/,Ammoni,,,,,,,,,,,,,,,,,,,,,,,,
<MNW_>L/,Immanuel,,,,,,,,,,,,,,,,,,,,,,,,
<MQ/,Talgrund; das flache Land,,,,,,,,,,,,,,,,,,,,,,,,
<MQ=/,"tief, unergründlich",,,,,,,,,,,,,,,,,,,,,,,,
<MQ==/,unverständlich,,,,,,,,,,,,,,,,,,,,,,,,
<MQ===/,Tiefe,,,,,,,,,,,,,,,,,,,,,,,,
<MQ[,,tief sein,,,,,tief machen,,,,,,,,,,,,,,,,,,
<MR/,Gomer <Getreidemaß>,,,,,,,,,,,,,,,,,,,,,,,,
<MR=/,abgeschnittene Ähren,,,,,,,,,,,,,,,,,,,,,,,,
<MR=[,,,,Ähren sammeln,,,,,,,,,,,,,,,,,,,,,
<MRH/,Gomorra,,,,,,,,,,,,,,,,,,,,,,,,
<MRJ/,Omri,,,,,,,,,,,,,,,,,,,,,,,,
<MRM/,Amram,,,,,,,,,,,,,,,,,,,,,,,,
<MRMJ/,Amramiter,,,,,,,,,,,,,,,,,,,,,,,,
<MR[,,,,,,gewalttätig behandeln,,,,,,,,,,,,,,,,,,,
<MSJH/,Amasja,,,,,,,,,,,,,,,,,,,,,,,,
<MS[,,aufladen; tragen,,,,,auflegen,,,,,,,,,,,,,,,,,,
<MWD/,Pfeiler,,,,,,,,,,,,,,,,,,,,,,,,
<MWN/,Ammon,,,,,,,,,,,,,,,,,,,,,,,,
<MWNJ/,Ammoniter,,,,,,,,,,,,,,,,,,,,,,,,
<MWQ/,Amok,,,,,,,,,,,,,,,,,,,,,,,,
<MWS/,Amos,,,,,,,,,,,,,,,,,,,,,,,,
<NB/,Weinbeere,,,,,,,,,,,,,,,,,,,,,,,,
<NB=/,Anab,,,,,,,,,,,,,,,,,,,,,,,,
<NC/,Geldbuße,,,,,,,,,,,,,,,,,,,,,,,,
<NC[,,eine Geldbuße auflegen,gebüßt werden,,,,,,,,,,,,,,,,,,,,,,
<ND[,,umwinden,,,,,,,,,,,,,,,,,,,,,,,
<NG/,"zierlich, verwöhnt",,,,,,,,,,,,,,,,,,,,,,,,
<NG=/,"Behagen, Lust",,,,,,,,,,,,,,,,,,,,,,,,
<NG[,,,,,verwöhnt sein,sich verwöhnen; Lust haben an,,,,,,,,,,,,,,,,,,,
<NH/,ehelicher Umgang,,,,,,,,,,,,,,,,,,,,,,,,
<NH=/,Ana,,,,,,,,,,,,,,,,,,,,,,,,
<NH===[,,sich plagen um,,,,,beschäftigt halten mit,,,,,,,,,,,,,,,,,,
<NH==[,,singen; heulen,,zusingen,,,,,,,,,,,,,,,,,,,,,
<NH=[,,"sich ducken, elend sein","sich beugen, gebeugt werden","unterdrücken, erniedrigen, vergewaltigen","erniedrigt werden, sich erniedrigen",geplagt werden; sich unterwerfen,unterdrücken,,,,,,,,,,,,,,,,,,
<NH[,,"antworten, reagieren; zeugen",Antwort erhalten; sich zu einer Antwort bewegen,,,,Antwort geben?; sich kümmern?,,,,,,,,,,,"antworten, anheben",,,,,,,
<NJ/,"elend, arm; demütig",,,,,,,,,,,,,,,,,,,,,,,,
<NJ=/,"Leiden, Armut",,,,,,,,,,,,,,,,,,,,,,,,
<NJ==/,Unni,,,,,,,,,,,,,,,,,,,,,,,,
<NJH/,Anaja,,,,,,,,,,,,,,,,,,,,,,,,
<NJM/,Anim,,,,,,,,,,,,,,,,,,,,,,,,
<NJN/,"Geschäft, Aufgabe",,,,,,,,,,,,,,,,,,,,,,,,
<NM/,En-Gannim,,,,,,,,,,,,,,,,,,,,,,,,
<NMJM/,Anamiter,,,,,,,,,,,,,,,,,,,,,,,,
<NMLK/,Anammelech,,,,,,,,,,,,,,,,,,,,,,,,
