lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<BWT=/,"kamb, mikufu, and, fung, pwan",,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,"rehani, mafungo, chwa",,,,,,,,,,,,,,,,,,,,,,,,
<C/,"nond, mdud, jan, nyas, mororo, mibichi, lanyauka",,,,,,,,,,,,,,,,,,,,,,,,
<C=/,"nond, mdud, jan, nyas, mororo, mibichi, lanyauka",,,,,,,,,,,,,,,,,,,,,,,,
<C==/,dubu,,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,"anga, harib, pote, haribik, ukiwa",,,,,,,,,,,,,,,,,,,,,,,
<CJR/,"tajir, mali, jir, wing, unon",,,,,,,,,,,,,,,,,,,,,,,,
<CN/,"mosh, mvuk, sikuzisahau, yakatili",,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,"mosh, mvuk, sikuzisahau, yakatili",,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,ashani,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,"kali, ghadhabu, hasira, kasirik, waka",,,,,,,,,,,,,,,,,,,,,,,
<CQ/,"onew, one, dhulum, waon, wone",,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,esheki,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,"onew, one, dhulum, waon, wone",,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,"onew, one, dhulum, waon, wone",,,"onew, one, dhulum, waon, wone",,,,,,,,,,,,,,,,,,,,
<CR/,"tajir, mali, jir, wing, unon",,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,"tajir, jir, jiri, yejitajiri, tajiri",,,,"tajir, jir, jiri, yejitajiri, tajiri","tajir, jir, jiri, yejitajiri, tajiri",,,,,,,,,,,,,,,,,,
<CT/,"ifu, lliyopambwa, iliyonakishiwa",,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,"wang'aa, darkoni, dhan, dhani, waz, mwadhani, fikir",,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,"kumi, pochukuli",,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,"waz, busara, fikira, mna, jivikeni",,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,"milkomu, maashtorethi, kitundi",,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,"ngeze, fyon, atami, kuachi",,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,"milkomu, maashtorethi, kitundi",,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,mwashterathi,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,ashteroth-karnaimu,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,"ashtarothi, maashtorethi, mwelekeze",,,,,,,,,,,,,,,,,,,,,,,,
<CTWT/,"waz, busara, fikira, mna, jivikeni",,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,"wang'aa, darkoni, dhan, dhani, waz, mwadhani, fikir",,,,,,,,,,,,"tak, pend, kusudi, shaur, azim",,,,,,,
<CWQ/,"onew, one, dhulum, waon, wone",,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,"onew, one, dhulum, waon, wone",,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,"pendeke, lain, suguli, pendez, nywele",,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,ashvathi,,,,,,,,,,,,,,,,,,,,,,,,
<D,"hata, hadi, mpaka, wake, fiki",,,,,,,,,,,,,,,,,,,,,,,,
<D/,"milele, daim, aman, kale, zot",,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,"aroeri, upeleleze, toroka",,,,,,,,,,,,,,,,,,,,,,,,
<D=/,"shuhudi, shahid, ushuhuda, shuhuda, ushahidi",,,,,,,,,,,,,,,,,,,,,,,,
<D==/,"nyar, mateka, yang, nyang'any, pat",,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,deng,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,odedi,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,"mkutano, kusanyik, jumuiya, kund, jami",,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,"shuhudi, shahid, ushuhuda, shuhuda, ushahidi",,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,"chaf, wa, dhahabu, zimejaa, twasihi",,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,ada,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,"wap, pew, wek, akampa, wati, uzur, pamb, mwabuduni, lipa, jipambe",,,,,"wap, pew, wek, akampa, wati, uzur, pamb, mwabuduni, lipa, jipambe",,,,,,,,,,,,,,,,,,
<DH[,,"wap, pew, wek, akampa, wati, uzur, pamb, mwabuduni, lipa, jipambe",,,,,,,,,,,,,,,,"pit, vuk, pita, piti, endele",,,"pit, vuk, pita, piti, endele",,,,
<DJ/,"pamb, akazipamba, zimeota, vuen, wakavua",,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,adieli,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,"adaya, ido",,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,"adaya, ido",,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,taju,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,adini,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,adin,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,hamkuu,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,adithaimu,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,adlai,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,adulamu,,,,,,,,,,,,,,,,,,,,,,,,
<DLMJ/,"mwadulami, aipate",,,,,,,,,,,,,,,,,,,,,,,,
<DN,"hata, hadi, mpaka, wake, fiki",,,,,,,,,,,,,,,,,,,,,,,,
<DN/,"anas, kitamu, tunu, mrud, pend, pendez, furahi, furaha, tak",,,,,,,,,,,,,,,,,,,,,,,,
<DN=/,"edeni, adeni, adini",,,,,,,,,,,,,,,,,,,,,,,,
<DN==/,"edeni, adeni, adini",,,,,,,,,,,,,,,,,,,,,,,,
<DN===/,"edeni, adeni, adini",,,,,,,,,,,,,,,,,,,,,,,,
<DN>/,adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNH,"hata, hadi, mpaka, wake, fiki",,,,,,,,,,,,,,,,,,,,,,,,
<DNH/,"anas, kitamu, tunu, mrud, pend, pendez, furahi, furaha, tak",,,,,,,,,,,,,,,,,,,,,,,,
<DNH=/,adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNX/,adna,,,,,,,,,,,,,,,,,,,,,,,,
<DN[,,,,,,"hayampasi, neeme, utoa, panueni, zoja",,,,,,,,,,,,,,,,,,,
<DP[,,"sali, bak, wengine, baki, mabaki",,,,,"sali, bak, wengine, baki, mabaki",,,,,,,,,,,,,,,,,,
<DR/,"kondoo, kund, wanyama, mifugo, kike",,,,,,,,,,,,,,,,,,,,,,,,
<DR=/,ederi,,,,,,,,,,,,,,,,,,,,,,,,
<DR==/,ederi,,,,,,,,,,,,,,,,,,,,,,,,
<DR===/,ederi,,,,,,,,,,,,,,,,,,,,,,,,
<DR==[,,"saidi, msaada, msaidizi, faid, saidia, limw, gole, tame, punguki, pungu, hitaj, asiy, kos",,,,,,,,,,,,,,,,,,,,,,,
<DR=[,,,"saidi, msaada, msaidizi, faid, saidia, limw, gole, tame, punguki, pungu, hitaj, asiy, kos",,,,,,,,,,,,,,,,,,,,,,
<DRJ>L/,adrieli,,,,,,,,,,,,,,,,,,,,,,,,
<DR[,,,"saidi, msaada, msaidizi, faid, saidia, limw, gole, tame, punguki, pungu, hitaj, asiy, kos","saidi, msaada, msaidizi, faid, saidia, limw, gole, tame, punguki, pungu, hitaj, asiy, kos",,,,,,,,,,,,,,,,,,,,,
<DW/,ido,,,,,,,,,,,,,,,,,,,,,,,,
<DW>/,ido,,,,,,,,,,,,,,,,,,,,,,,,
<DWT/,"shuhudi, shahid, ushuhuda, shuhuda, ushahidi, nyinyoro, yung, yungiyungi, maua",,,,,,,,,,,,,,,,,,,,,,,,
<FB/,"jan, mbog, nyas, mime, mmea",,,,,,,,,,,,,,,,,,,,,,,,
<FH>L/,asaheli,,,,,,,,,,,,,,,,,,,,,,,,
<FH[,,"fany, tend, fanyi, akafanya, kufanya, dhik, mateso, ban, aoneaye, song","fany, tend, fanyi, akafanya, kufanya, dhik, mateso, ban, aoneaye, song","fany, tend, fanyi, akafanya, kufanya, dhik, mateso, ban, aoneaye, song","fany, tend, fanyi, akafanya, kufanya, dhik, mateso, ban, aoneaye, song",,,,,,,,,,,,,,,,,,,,
<FJ>L/,asieli,,,,,,,,,,,,,,,,,,,,,,,,
<FJH/,asaya,,,,,,,,,,,,,,,,,,,,,,,,
<FJRJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<FQ/,eseki,,,,,,,,,,,,,,,,,,,,,,,,
<FQ[,,,,,,"shinda, tete, ishi, gomban, mgomvi",,,,,,,,,,,,,,,,,,,
<FR/,,,,,,,,,,,,,,,,,,,,,,,,,
<FR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRH/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRJM/,ishirini,,,,,,,,,,,,,,,,,,,,,,,,
<FRJN/,ishirini,,,,,,,,,,,,,,,,,,,,,,,,
<FRWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<FR[,,,,,,,,,,,,,,,,,,,,,,,,,
<FW/,"esau, hifadhi, umetupendaje",,,,,,,,,,,,,,,,,,,,,,,,
<FWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<GBH/,"pendele, wapenzi, tama, wajavyo",,,,,,,,,,,,,,,,,,,,,,,,
<GBJM/,"pendele, wapenzi, tama, wajavyo",,,,,,,,,,,,,,,,,,,,,,,,
<GB[,,"pendele, wapenzi, tama, wajavyo",,,,,,,,,,,,,,,,,,,,,,,
<GH/,"mkat, mikate, nidhihak, lowa, fanyizi",,,,,,,,,,,,,,,,,,,,,,,,
<GJL/,"pete, kuk, mhur, herini, mihuri",,,,,,,,,,,,,,,,,,,,,,,,
<GL/,"ndam, -ng'omb, kuweko, wapandi",,,,,,,,,,,,,,,,,,,,,,,,
<GL=/,"ringa, mviringo, viringa, mashikio",,,,,,,,,,,,,,,,,,,,,,,,
<GLH/,"ng'ombe, ndam, mtamba, jike, wanono, eglath-shelishia, wanatoa",,,,,,,,,,,,,,,,,,,,,,,,
<GLH=/,"gari, gar, uliwa, achoma, mchuku",,,,,,,,,,,,,,,,,,,,,,,,
<GLH==/,egla,,,,,,,,,,,,,,,,,,,,,,,,
<GLT_CLCJH/,"ng'ombe, ndam, mtamba, jike, wanono, eglath-shelishia, wanatoa",,,,,,,,,,,,,,,,,,,,,,,,
<GLWN/,egloni,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN=/,egloni,,,,,,,,,,,,,,,,,,,,,,,,
<GM[,,"huzuni, ili, chukulia, vumili, stahimil",,,,,,,,,,,,,,,,,,,,,,,
<GN[,,,"zui, jishuruti, jitambuli",,,,,,,,,,,,,,,,,,,,,,
<GWR/,"koikoi, vyoli, niliomboleza",,,,,,,,,,,,,,,,,,,,,,,,
<J/,"harib, anga, haribik, nyar, haribi",,,,,,,,,,,,,,,,,,,,,,,,
<J=/,"ai, sanyi",,,,,,,,,,,,,,,,,,,,,,,,
<JBL/,ebali,,,,,,,,,,,,,,,,,,,,,,,,
<JBL=/,ebali,,,,,,,,,,,,,,,,,,,,,,,,
<JC/,dubu,,,,,,,,,,,,,,,,,,,,,,,,
<JH/,"ai, sanyi",,,,,,,,,,,,,,,,,,,,,,,,
<JJM/,"iyimu, iye-abarimu",,,,,,,,,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,"iye-abarimu, lye-abarimu",,,,,,,,,,,,,,,,,,,,,,,,
<JLJ/,salmoni,,,,,,,,,,,,,,,,,,,,,,,,
<JLM/,"elamu, waelami",,,,,,,,,,,,,,,,,,,,,,,,
<JLWM/,"wowote, hataona, hatujawa, mfungueni, mtawekwa",,,,,,,,,,,,,,,,,,,,,,,,
<JN/,"macho, machoni, jich, mbele, kuwa, chemchemi, chipu, sim, siman, toke",,,,,,,,,,,,,,,,,,,,,,,,
<JN=/,aini,,,,,,,,,,,,,,,,,,,,,,,,
<JNJM/,"enaimu, enamu",,,,,,,,,,,,,,,,,,,,,,,,
<JNM/,"enaimu, enamu",,,,,,,,,,,,,,,,,,,,,,,,
<JNN/,enan,,,,,,,,,,,,,,,,,,,,,,,,
<JN[,,"mlinzi, lind, walinzi, shik, angali",,,,,,,,,,,,,,,,,,,,,,,
<JN_<GLJM/,en-eglaimu,,,,,,,,,,,,,,,,,,,,,,,,
<JN_CMC/,enshemeshi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_DWR/,endori,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GDJ/,engedi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GNJM/,enganimu,,,,,,,,,,,,,,,,,,,,,,,,
<JN_HTNJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_MCPV/,enmisfati,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RGL/,enrogeli,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RMWN/,enrimoni,,,,,,,,,,,,,,,,,,,,,,,,
<JN_TPWX/,tapua,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XDH/,"enhada, remethi",,,,,,,,,,,,,,,,,,,,,,,,
<JN_XRD/,harodi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XYWR/,enhasori,,,,,,,,,,,,,,,,,,,,,,,,
<JP/,"fadhai, zimi, chok, hofu, haraka",,,,,,,,,,,,,,,,,,,,,,,,
<JPH/,"giza, gizani, pofu, mweusi, weus",,,,,,,,,,,,,,,,,,,,,,,,
<JPH=/,"efa, pim, timilif, pish",,,,,,,,,,,,,,,,,,,,,,,,
<JPH==/,"efa, pim, timilif, pish",,,,,,,,,,,,,,,,,,,,,,,,
<JPJ/,efai,,,,,,,,,,,,,,,,,,,,,,,,
<JP[,,"gobu, polepole, ruka, ruk, ndeg, ningeruka, inzi, giza, gizani, pofu, mweusi, weus",,,,,,,,,,,,,,,,,,,,,,,
<JR/,"impate, mji, miji, mjin, mijini, weny",,,,,,,,,,,,,,,,,,,,,,,,
<JR=/,"pund, nyumbu",,,,,,,,,,,,,,,,,,,,,,,,
<JR==/,"pund, nyumbu",,,,,,,,,,,,,,,,,,,,,,,,
<JR===/,"impate, mji, miji, mjin, mijini, weny",,,,,,,,,,,,,,,,,,,,,,,,
<JR====/,"rehoboth-iri, iri",,,,,,,,,,,,,,,,,,,,,,,,
<JR>/,ira,,,,,,,,,,,,,,,,,,,,,,,,
<JRD/,iradi,,,,,,,,,,,,,,,,,,,,,,,,
<JRJ/,iri,,,,,,,,,,,,,,,,,,,,,,,,
<JRM/,"uchi, utup, wazi, tupu, mwuone",,,,,,,,,,,,,,,,,,,,,,,,
<JRM=/,iramu,,,,,,,,,,,,,,,,,,,,,,,,
<JRW/,iru,,,,,,,,,,,,,,,,,,,,,,,,
<JR_CMC/,irishemeshi,,,,,,,,,,,,,,,,,,,,,,,,
<JR_HMLX/,nibshani,,,,,,,,,,,,,,,,,,,,,,,,
<JR_NXC/,,,,,,,,,,,,,,,,,,,,,,,,,
<JT/,"ai, sanyi",,,,,,,,,,,,,,,,,,,,,,,,
<JV/,"wakali, mkal, potu, uliw, nikiita",,,,,,,,,,,,,,,,,,,,,,,,
<JVM/,etamu,,,,,,,,,,,,,,,,,,,,,,,,
<JV[,,"waje, ziruki",,,,,,,,,,,,,,,,,,,,,,,
<JWN/,iyoni,,,,,,,,,,,,,,,,,,,,,,,,
<KBJC/,buibui,,,,,,,,,,,,,,,,,,,,,,,,
<KBR/,pany,,,,,,,,,,,,,,,,,,,,,,,,
<KBWR/,akbori,,,,,,,,,,,,,,,,,,,,,,,,
<KCWB/,fira,,,,,,,,,,,,,,,,,,,,,,,,
<KN/,akani,,,,,,,,,,,,,,,,,,,,,,,,
<KR/,akani,,,,,,,,,,,,,,,,,,,,,,,,
<KRN/,"okrani, okirani",,,,,,,,,,,,,,,,,,,,,,,,
<KR[,,"fadhai, taab, kazi, dhar, sumbu","fadhai, taab, kazi, dhar, sumbu",,,,,,,,,,,,,,,,,,,,,,
<KS/,"adhibi, kaya",,,,,,,,,,,,,,,,,,,,,,,,
<KSH/,aksa,,,,,,,,,,,,,,,,,,,,,,,,
<KS[,,,,kuliza,,,,,,,,,,,,,,,,,,,,,
<KW/,aka,,,,,,,,,,,,,,,,,,,,,,,,
<KWR/,akori,,,,,,,,,,,,,,,,,,,,,,,,
<L,"juu, kwa, katika, yake, wake",,,,,,,,,,,,,,,,,,,,,,,,
<L/,"nira, kongwa, miti, usogezwe, mizani",,,,,,,,,,,,,,,,,,,,,,,,
<L</,"upande, ubav, mbavuni, pemb, ubavuni",,,,,,,,,,,,,,,,,,,,,,,,
<L<[,,,,"onya, nyonye, nyony, onyesha, mlez",,,,,,,,,,,,,,,,,,,,,
<L=/,"juu, aliye, mref, kimo, uref",,,,,,,,,,,,,,,,,,,,,,,,
<L>,"ajili, juu, zaidi, kuliko, zid",,,,,,,,,,,,,,,,,,,,,,,,
<L>/,ula,,,,,,,,,,,,,,,,,,,,,,,,
<LG/,gugumiz,,,,,,,,,,,,,,,,,,,,,,,,
<LH/,"kuteketezwa, sadaka, moto, kafar, songez, pand, kwe, pandi, kutoka, let",,,,,,,,,,,,,,,,,,,,,,,,
<LH=/,"jan, jani, taw, minene, vifukizi",,,,,,,,,,,,,,,,,,,,,,,,
<LH[,,"pand, kwe, pandi, kutoka, let","pand, kwe, pandi, kutoka, let",,,"pand, kwe, pandi, kutoka, let","pand, kwe, pandi, kutoka, let","pand, kwe, pandi, kutoka, let",,,,,,,,,,,,,,,,,
<LJ/,"ajili, juu, zaidi, kuliko, zid",,,,,,,,,,,,,,,,,,,,,,,,
<LJ=/,"kinuni, mchi",,,,,,,,,,,,,,,,,,,,,,,,
<LJ==/,"eli, kalale, sikukuita",,,,,,,,,,,,,,,,,,,,,,,,
<LJH/,"chumba, ghorofani, ghorofa, vyumba, itoshele",,,,,,,,,,,,,,,,,,,,,,,,
<LJL/,tanuri,,,,,,,,,,,,,,,,,,,,,,,,
<LJLH/,"matendo, wapatili, zushi, wayakunjue, wameharibu",,,,,,,,,,,,,,,,,,,,,,,,
<LJLJH/,"kazi, matendo, fund, wake, umb",,,,,,,,,,,,,,,,,,,,,,,,
<LJN/,alvani,,,,,,,,,,,,,,,,,,,,,,,,
<LJWN/,"juu, aliye, mref, kimo, uref",,,,,,,,,,,,,,,,,,,,,,,,
<LJYT/,sulisul,,,,,,,,,,,,,,,,,,,,,,,,
<LJZ/,"uliokaa, matoazi, jigamb, wekw",,,,,,,,,,,,,,,,,,,,,,,,
<LL=[,,,,"dhihak, nidhihak, yemtend, niliyotendwa, yotend, okot, wataokota, mchuma, dhara, chek, mzah, dhihaka, sukum, suku, angush, fukuz, msongason",,,,,,,,,,,,,,,,,,,,,
<LLWT/,"masazo, ziokotwe, wakati, usivune",,,,,,,,,,,,,,,,,,,,,,,,
<LL[,,,,"dhihak, nidhihak, yemtend, niliyotendwa, yotend, okot, wataokota, mchuma, dhara, chek, mzah, dhihaka, sukum, suku, angush, fukuz, msongason","dhihak, nidhihak, yemtend, niliyotendwa, yotend, okot, wataokota, mchuma, dhara, chek, mzah, dhihaka, sukum, suku, angush, fukuz, msongason","dhihak, nidhihak, yemtend, niliyotendwa, yotend, okot, wataokota, mchuma, dhara, chek, mzah, dhihaka, sukum, suku, angush, fukuz, msongason",,"ingi, tok, let, kuj, fik",,,,,,,,,,"ingi, tok, let, kuj, fik",,,"ingi, tok, let, kuj, fik",,,,
<LM/,"mtu, jan, kama, mwanadamu, yule",,,,,,,,,,,,,,,,,,,,,,,,
<LMH/,"chan, jan, mwanamke, jakaz, nawa, alamothi",,,,,,,,,,,,,,,,,,,,,,,,
<LMJ/,"elamu, waelami",,,,,,,,,,,,,,,,,,,,,,,,
<LMT/,alemethi,,,,,,,,,,,,,,,,,,,,,,,,
<LMT=/,alemethi,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN/,almoni,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN_DBLTJMH/,almon-diblathaimu,,,,,,,,,,,,,,,,,,,,,,,,
<LMWT/,"maut, wafu, kufa, kuf, kifo",,,,,,,,,,,,,,,,,,,,,,,,
<LM[,,"fich, ficha, sitiri, siri, bila","fich, ficha, sitiri, siri, bila",,,"fich, ficha, sitiri, siri, bila","fich, ficha, sitiri, siri, bila",,,,,,,,,,,,,,,,,,
<LPH/,"fadhai, zimi, chok, hofu, haraka",,,,,,,,,,,,,,,,,,,,,,,,
<LP[,,,,,"funik, wavikwe, ajivikalo, sand, avaavyo","funik, wavikwe, ajivikalo, sand, avaavyo",,,,,,,,,,,,,,,,,,,
<LS[,,"furah, furahi, furaha, furahini, salamu","furah, furahi, furaha, furahini, salamu",,,"furah, furahi, furaha, furahini, salamu",,,,,,,,,,,,,,,,,,,
<LVH/,"giza, gizani, pofu, mweusi, weus",,,,,,,,,,,,,,,,,,,,,,,,
<LWH/,"kuteketezwa, sadaka, moto, kafar, songez",,,,,,,,,,,,,,,,,,,,,,,,
<LWH=/,alva,,,,,,,,,,,,,,,,,,,,,,,,
<LWMJM/,"jan, mtoto, ujan, mtumishi, watoto",,,,,,,,,,,,,,,,,,,,,,,,
<LWN/,alvani,,,,,,,,,,,,,,,,,,,,,,,,
<LWQH/,mrub,,,,,,,,,,,,,,,,,,,,,,,,
<LY[,,"furah, furahi, furaha, furahini, salamu",,,,,,,,,,,,,,,,,,,,,,,
<LZ/,ghasia,,,,,,,,,,,,,,,,,,,,,,,,
<LZ[,,"furah, shangili, inuk, tukuz, vun",,,,,,,,,,,,,,,,,,,,,,,
<M,"pamoja, kwa, baada, naye, nao, kwako, vyomwondole, aondoke",,,,,,,,,,,,,,,,,,,,,,,,
<M/,"wa, poto, sita, ili, teg, watu, mataifa, taifa, waende, kabila, jamaa, wake, mkwewe, zaliw, mbar",,,,,,,,,,,,,,,,,,,,,,,,
<M<D/,amadi,,,,,,,,,,,,,,,,,,,,,,,,
<MCSJ/,maasai,,,,,,,,,,,,,,,,,,,,,,,,
<MD/,"mimi, nami, yangu, sisi, wangu",,,,,,,,,,,,,,,,,,,,,,,,
<MD=/,pao,,,,,,,,,,,,,,,,,,,,,,,,
<MDH/,"wek, thibiti, imar, tayari, tegeme",,,,,,,,,,,,,,,,,,,,,,,,
