lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<BWR/,"on account of, for the sake of; in order that",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,produce,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,branchy,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,branch,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,pledge,,,,,,,,,,,,,,,,,,,,,,,,
<C/,moth,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,pus,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,lioness (constellation),,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,become weak?; waste away?,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,"wealthy, rich",,,,,,,,,,,,,,,,,,,,,,,,
<CN/,smoke,,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,smoking,,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,Ashan,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,smoke; be wroth,,,,,,,,,,,,,,,,,,,,,,,
<CQ/,"oppression, extortion",,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,Eshek,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,"oppression, extortion",,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,"oppress, wrong, extort",,,be wronged,,,,,,,,,,,,,,,,,,,,
<CR/,riches,,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,"be rich, become rich",,,,pretend to be rich,make someone rich,,,,,,,,,,,,,,,,,,
<CT/,plate,,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,be shiny?,,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,eleven; eleventh,,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,thought,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,the Ashtoreth,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,ewes of your flock,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,Ashtoreth,,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,Ashterathite,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,Ashteroth Karnaim,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,Ashtaroth,,,,,,,,,,,,,,,,,,,,,,,,
<CTWT/,thought,,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,give thought,,,,,,,,,,,,intend,,,,,,,
<CWQ/,oppressor,,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,oppression,,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,wrought,,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,Ashvath,,,,,,,,,,,,,,,,,,,,,,,,
<D,"to (prep), unto, as far as (spacial); until, while (temporal)",,,,,,,,,,,,,,,,,,,,,,,,
<D/,"future; eternity, always",,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,Adadah,,,,,,,,,,,,,,,,,,,,,,,,
<D=/,witness; testimony,,,,,,,,,,,,,,,,,,,,,,,,
<D==/,prey,,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,lentil,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,Oded,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,"gathering, congregation",,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,witness; testimony,,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,menstruation,,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,Adah,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,stride,,,,,remove,,,,,,,,,,,,,,,,,,
<DH[,,adorn oneself with; adorn with,,,,,,,,,,,,,,,,"go, come, vanish, be taken away",,,"take away, remove",,,,
<DJ/,ornaments,,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,Adiel,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,Adaiah,,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,Adaiah,,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,voluptuous,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,Adin,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,Adina,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,Adino,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,Adithaim,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,Adlai,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,Adullam,,,,,,,,,,,,,,,,,,,,,,,,
<DLMJ/,Adullamite,,,,,,,,,,,,,,,,,,,,,,,,
<DN,hitherto; still,,,,,,,,,,,,,,,,,,,,,,,,
<DN/,delight; finery,,,,,,,,,,,,,,,,,,,,,,,,
<DN=/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN==/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN===/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN>/,Adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNH,hitherto; still,,,,,,,,,,,,,,,,,,,,,,,,
<DNH/,"lust, sexual delight",,,,,,,,,,,,,,,,,,,,,,,,
<DNH=/,Adnah,,,,,,,,,,,,,,,,,,,,,,,,
<DNX/,Adnah,,,,,,,,,,,,,,,,,,,,,,,,
<DN[,,,,,,luxuriate,,,,,,,,,,,,,,,,,,,
<DP[,,remain,,,,,have a surplus,,,,,,,,,,,,,,,,,,
<DR/,"flock, herd",,,,,,,,,,,,,,,,,,,,,,,,
<DR=/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR===/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==[,,flock together,,,,,,,,,,,,,,,,,,,,,,,
<DR=[,,,be weeded,,,,,,,,,,,,,,,,,,,,,,
<DRJ>L/,Adriel,,,,,,,,,,,,,,,,,,,,,,,,
<DR[,,,be lacking,leave lacking,,,,,,,,,,,,,,,,,,,,,
<DW/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DW>/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DWT/,"warning sign, reminder; percept, commandment",,,,,,,,,,,,,,,,,,,,,,,,
<FB/,"green plants, herbs (collective)",,,,,,,,,,,,,,,,,,,,,,,,
<FH>L/,Asahel,,,,,,,,,,,,,,,,,,,,,,,,
<FH[,,"do, make","be made, done","press, squeeze",be made,,,,,,,,,,,,,,,,,,,,
<FJ>L/,Asiel,,,,,,,,,,,,,,,,,,,,,,,,
<FJH/,Asaiah,,,,,,,,,,,,,,,,,,,,,,,,
<FJRJ/,tenth (ord); one-tenth (fract),,,,,,,,,,,,,,,,,,,,,,,,
<FQ/,Esek,,,,,,,,,,,,,,,,,,,,,,,,
<FQ[,,,,,,contend with,,,,,,,,,,,,,,,,,,,
<FR/,ten,,,,,,,,,,,,,,,,,,,,,,,,
<FR=/,ten; group of ten,,,,,,,,,,,,,,,,,,,,,,,,
<FRH/,ten,,,,,,,,,,,,,,,,,,,,,,,,
<FRH=/,"(group of) ten, decade",,,,,,,,,,,,,,,,,,,,,,,,
<FRJM/,twenty; twentieth,,,,,,,,,,,,,,,,,,,,,,,,
<FRJN/,twenty,,,,,,,,,,,,,,,,,,,,,,,,
<FRWN/,tenth part,,,,,,,,,,,,,,,,,,,,,,,,
<FR[,,"take tenth of, tithe",,"receive, give a tenth of",,,"receive, give a tenth",,,,,,,,,,,,,,,,,,
<FW/,Esau,,,,,,,,,,,,,,,,,,,,,,,,
<FWR/,(group of) ten,,,,,,,,,,,,,,,,,,,,,,,,
<GBH/,lust,,,,,,,,,,,,,,,,,,,,,,,,
<GBJM/,lust,,,,,,,,,,,,,,,,,,,,,,,,
<GB[,,have lust,,,,,,,,,,,,,,,,,,,,,,,
<GH/,"cake, flatbread",,,,,,,,,,,,,,,,,,,,,,,,
<GJL/,ear-ring,,,,,,,,,,,,,,,,,,,,,,,,
<GL/,(bull-) calf,,,,,,,,,,,,,,,,,,,,,,,,
<GL=/,round,,,,,,,,,,,,,,,,,,,,,,,,
<GLH/,heifer,,,,,,,,,,,,,,,,,,,,,,,,
<GLH=/,"wagon, cart, chariot",,,,,,,,,,,,,,,,,,,,,,,,
<GLH==/,Eglah,,,,,,,,,,,,,,,,,,,,,,,,
<GLT_CLCJH/,Eglath Shelishiyah,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN=/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GM[,,be grieved for,,,,,,,,,,,,,,,,,,,,,,,
<GN[,,,shut oneself off,,,,,,,,,,,,,,,,,,,,,,
<GWR/,(bird),,,,,,,,,,,,,,,,,,,,,,,,
<J/,heap of ruins,,,,,,,,,,,,,,,,,,,,,,,,
<J=/,Ai,,,,,,,,,,,,,,,,,,,,,,,,
<JBL/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JBL=/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JC/,lioness (constellation),,,,,,,,,,,,,,,,,,,,,,,,
<JH/,Aiah,,,,,,,,,,,,,,,,,,,,,,,,
<JJM/,Iyim,,,,,,,,,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,Iye Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<JLJ/,Ilai,,,,,,,,,,,,,,,,,,,,,,,,
<JLM/,Elam,,,,,,,,,,,,,,,,,,,,,,,,
<JLWM/,(uncertain),,,,,,,,,,,,,,,,,,,,,,,,
<JN/,eye; fountain,,,,,,,,,,,,,,,,,,,,,,,,
<JN=/,Ain,,,,,,,,,,,,,,,,,,,,,,,,
<JNJM/,Enaim,,,,,,,,,,,,,,,,,,,,,,,,
<JNM/,Enam,,,,,,,,,,,,,,,,,,,,,,,,
<JNN/,Enan,,,,,,,,,,,,,,,,,,,,,,,,
<JN[,,look suspiciously at,,,,,,,,,,,,,,,,,,,,,,,
<JN_<GLJM/,En Eglaim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_CMC/,En Shemesh,,,,,,,,,,,,,,,,,,,,,,,,
<JN_DWR/,Endor,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GDJ/,En Gedi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GNJM/,En Gannim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_HTNJN/,the Jackal Well,,,,,,,,,,,,,,,,,,,,,,,,
<JN_MCPV/,En Mishpat,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RGL/,En Rogel,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RMWN/,En Rimmon,,,,,,,,,,,,,,,,,,,,,,,,
<JN_TPWX/,En Tappuah,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XDH/,En Haddah,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XRD/,the spring of Harod,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XYWR/,En Hazor,,,,,,,,,,,,,,,,,,,,,,,,
<JP/,"faint, weary",,,,,,,,,,,,,,,,,,,,,,,,
<JPH/,darkness,,,,,,,,,,,,,,,,,,,,,,,,
<JPH=/,Ephah,,,,,,,,,,,,,,,,,,,,,,,,
<JPH==/,Ephah,,,,,,,,,,,,,,,,,,,,,,,,
<JPJ/,Ephai,,,,,,,,,,,,,,,,,,,,,,,,
<JP[,,be faint,,,,,,,,,,,,,,,,,,,,,,,
<JR/,city,,,,,,,,,,,,,,,,,,,,,,,,
<JR=/,male ass,,,,,,,,,,,,,,,,,,,,,,,,
<JR==/,male ass,,,,,,,,,,,,,,,,,,,,,,,,
<JR===/,agitation,,,,,,,,,,,,,,,,,,,,,,,,
<JR====/,Ir,,,,,,,,,,,,,,,,,,,,,,,,
<JR>/,Ira,,,,,,,,,,,,,,,,,,,,,,,,
<JRD/,Irad,,,,,,,,,,,,,,,,,,,,,,,,
<JRJ/,Iri,,,,,,,,,,,,,,,,,,,,,,,,
<JRM/,naked; nakedness,,,,,,,,,,,,,,,,,,,,,,,,
<JRM=/,Iram,,,,,,,,,,,,,,,,,,,,,,,,
<JRW/,Iru,,,,,,,,,,,,,,,,,,,,,,,,
<JR_CMC/,Ir Shemesh,,,,,,,,,,,,,,,,,,,,,,,,
<JR_HMLX/,City of Salt,,,,,,,,,,,,,,,,,,,,,,,,
<JR_NXC/,Ir Nahash,,,,,,,,,,,,,,,,,,,,,,,,
<JT/,Aiath,,,,,,,,,,,,,,,,,,,,,,,,
<JV/,(bird of prey),,,,,,,,,,,,,,,,,,,,,,,,
<JVM/,Etam,,,,,,,,,,,,,,,,,,,,,,,,
<JV[,,rush upon; scream at,,,,,,,,,,,,,,,,,,,,,,,
<JWN/,Ijon,,,,,,,,,,,,,,,,,,,,,,,,
<KBJC/,spider,,,,,,,,,,,,,,,,,,,,,,,,
<KBR/,mouse,,,,,,,,,,,,,,,,,,,,,,,,
<KBWR/,Acbor,,,,,,,,,,,,,,,,,,,,,,,,
<KCWB/,viper?,,,,,,,,,,,,,,,,,,,,,,,,
<KN/,Achan,,,,,,,,,,,,,,,,,,,,,,,,
<KR/,Achar,,,,,,,,,,,,,,,,,,,,,,,,
<KRN/,Ocran,,,,,,,,,,,,,,,,,,,,,,,,
<KR[,,make trouble; make taboo,become tabu?; be stirred up?,,,,,,,,,,,,,,,,,,,,,,
<KS/,"bangle, anklet",,,,,,,,,,,,,,,,,,,,,,,,
<KSH/,Acsah,,,,,,,,,,,,,,,,,,,,,,,,
<KS[,,,,rattle bangles,,,,,,,,,,,,,,,,,,,,,
<KW/,Acco,,,,,,,,,,,,,,,,,,,,,,,,
<KWR/,Achor,,,,,,,,,,,,,,,,,,,,,,,,
<L,"on, upon, against, over (prep); on account of; opposite to",,,,,,,,,,,,,,,,,,,,,,,,
<L/,yoke,,,,,,,,,,,,,,,,,,,,,,,,
<L</,rib,,,,,,,,,,,,,,,,,,,,,,,,
<L<[,,,,drink?,,,,,,,,,,,,,,,,,,,,,
<L=/,height,,,,,,,,,,,,,,,,,,,,,,,,
<L>,above,,,,,,,,,,,,,,,,,,,,,,,,
<L>/,Ulla,,,,,,,,,,,,,,,,,,,,,,,,
<LG/,stammerer,,,,,,,,,,,,,,,,,,,,,,,,
<LH/,burnt offering,,,,,,,,,,,,,,,,,,,,,,,,
<LH=/,"leaves, leaf",,,,,,,,,,,,,,,,,,,,,,,,
<LH[,,go up,"be taken up, be exalted; withdraw; be talked about",,,lift oneself up,"bring, lead up, cause to rise","be sacrificed, carried away; be inserted",,,,,,,,,,,,,,,,,
<LJ/,upper,,,,,,,,,,,,,,,,,,,,,,,,
<LJ=/,pestle,,,,,,,,,,,,,,,,,,,,,,,,
<LJ==/,Eli,,,,,,,,,,,,,,,,,,,,,,,,
<LJH/,roof-chamber,,,,,,,,,,,,,,,,,,,,,,,,
<LJL/,(uncertain),,,,,,,,,,,,,,,,,,,,,,,,
<LJLH/,"deed, action",,,,,,,,,,,,,,,,,,,,,,,,
<LJLJH/,deed,,,,,,,,,,,,,,,,,,,,,,,,
<LJN/,Alvan,,,,,,,,,,,,,,,,,,,,,,,,
<LJWN/,upper; Most High,,,,,,,,,,,,,,,,,,,,,,,,
<LJYT/,exultation,,,,,,,,,,,,,,,,,,,,,,,,
<LJZ/,rejoicing; presumptuous,,,,,,,,,,,,,,,,,,,,,,,,
<LL=[,,,,insert,,,,,,,,,,,,,,,,,,,,,
<LLWT/,gleaning,,,,,,,,,,,,,,,,,,,,,,,,
<LL[,,,,deal with; glean,be dealt with,deal wantonly with,,be brought in,,,,,,,,,,enter,,,bring in,,,,
<LM/,young man,,,,,,,,,,,,,,,,,,,,,,,,
<LMH/,young woman,,,,,,,,,,,,,,,,,,,,,,,,
<LMJ/,Elamite,,,,,,,,,,,,,,,,,,,,,,,,
<LMT/,Alemeth,,,,,,,,,,,,,,,,,,,,,,,,
<LMT=/,Alemeth,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN/,Almon,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN_DBLTJMH/,Almon Diblathaim,,,,,,,,,,,,,,,,,,,,,,,,
<LMWT/,(musical term),,,,,,,,,,,,,,,,,,,,,,,,
<LM[,,"secret, what is hidden (qal participle)",be hidden,,,hide oneself,conceal,,,,,,,,,,,,,,,,,,
<LPH/,(uncertain),,,,,,,,,,,,,,,,,,,,,,,,
<LP[,,,,,be covered with; faint,to enwrap oneself; faint,,,,,,,,,,,,,,,,,,,
<LS[,,enjoy,flap joyously,,,delight in,,,,,,,,,,,,,,,,,,,
<LVH/,darkness,,,,,,,,,,,,,,,,,,,,,,,,
<LWH/,perversity?,,,,,,,,,,,,,,,,,,,,,,,,
<LWH=/,Alvah,,,,,,,,,,,,,,,,,,,,,,,,
<LWMJM/,youth,,,,,,,,,,,,,,,,,,,,,,,,
<LWN/,Alvan,,,,,,,,,,,,,,,,,,,,,,,,
<LWQH/,leech,,,,,,,,,,,,,,,,,,,,,,,,
<LY[,,rejoice,,,,,,,,,,,,,,,,,,,,,,,
<LZ/,rejoicing,,,,,,,,,,,,,,,,,,,,,,,,
<LZ[,,exult,,,,,,,,,,,,,,,,,,,,,,,
<M,with; (together) with; just as,,,,,,,,,,,,,,,,,,,,,,,,
<M/,people; kinship; relative,,,,,,,,,,,,,,,,,,,,,,,,
<M<D/,Amad,,,,,,,,,,,,,,,,,,,,,,,,
<MCSJ/,Amashsai,,,,,,,,,,,,,,,,,,,,,,,,
<MD/,company; with,,,,,,,,,,,,,,,,,,,,,,,,
<MD=/,standing-place,,,,,,,,,,,,,,,,,,,,,,,,
<MDH/,standing-ground,,,,,,,,,,,,,,,,,,,,,,,,
<MD[,,"take a stand, stand; stop",,,,,"cause to stand, set, appoint",be set up,,,,,,,,,,,,,,,,,
<MF>/,Amasa,,,,,,,,,,,,,,,,,,,,,,,,
<MFJ/,Amasai,,,,,,,,,,,,,,,,,,,,,,,,
<MH/,"just like; close to, at (prep); side by side",,,,,,,,,,,,,,,,,,,,,,,,
<MH=/,Ummah,,,,,,,,,,,,,,,,,,,,,,,,
<MJ/,Ammi,,,,,,,,,,,,,,,,,,,,,,,,
<MJ>L/,Ammiel,,,,,,,,,,,,,,,,,,,,,,,,
<MJCDJ/,Ammishaddai,,,,,,,,,,,,,,,,,,,,,,,,
<MJHWD/,Ammihud,,,,,,,,,,,,,,,,,,,,,,,,
<MJNDB/,Amminadab,,,,,,,,,,,,,,,,,,,,,,,,
<MJQ/,deep,,,,,,,,,,,,,,,,,,,,,,,,
<MJR/,"swath, row of fallen grain",,,,,,,,,,,,,,,,,,,,,,,,
<MJT/,"fellow, comrade",,,,,,,,,,,,,,,,,,,,,,,,
<MJZBD/,Ammizabad,,,,,,,,,,,,,,,,,,,,,,,,
<ML/,"labor, labour, effort; distress, trouble",,,,,,,,,,,,,,,,,,,,,,,,
<ML=/,toiling; labourer,,,,,,,,,,,,,,,,,,,,,,,,
<ML==/,Amal,,,,,,,,,,,,,,,,,,,,,,,,
<MLQ/,Amalek,,,,,,,,,,,,,,,,,,,,,,,,
<MLQJ/,Amalekite,,,,,,,,,,,,,,,,,,,,,,,,
<ML[,,"labor, exert oneself",,,,,,,,,,,,,,,,,,,,,,,
<MM=[,,,,,,,,become dark,,,,,,,,,,,,,,,,,
<MM[,,"ally oneself, be a match for",,,,,,,,,,,,,,,,,,,,,,,
<MNH/,Ammoni,,,,,,,,,,,,,,,,,,,,,,,,
<MNW_>L/,Immanuel,,,,,,,,,,,,,,,,,,,,,,,,
<MQ/,valley; the lowland,,,,,,,,,,,,,,,,,,,,,,,,
<MQ=/,"deep, impenetrable",,,,,,,,,,,,,,,,,,,,,,,,
<MQ==/,unintelligible,,,,,,,,,,,,,,,,,,,,,,,,
<MQ===/,depth,,,,,,,,,,,,,,,,,,,,,,,,
<MQ[,,be deep,,,,,make deep,,,,,,,,,,,,,,,,,,
<MR/,gomer (grain-measure),,,,,,,,,,,,,,,,,,,,,,,,
<MR=/,"sheaf, cut grain",,,,,,,,,,,,,,,,,,,,,,,,
<MR=[,,,,gather ears of grain,,,,,,,,,,,,,,,,,,,,,
<MRH/,Gomorrah,,,,,,,,,,,,,,,,,,,,,,,,
<MRJ/,Omri,,,,,,,,,,,,,,,,,,,,,,,,
<MRM/,Amram,,,,,,,,,,,,,,,,,,,,,,,,
<MRMJ/,Amramite,,,,,,,,,,,,,,,,,,,,,,,,
<MR[,,,,,,treat violently,,,,,,,,,,,,,,,,,,,
<MSJH/,Amasiah,,,,,,,,,,,,,,,,,,,,,,,,
<MS[,,load; carry,,,,,lay upon,,,,,,,,,,,,,,,,,,
<MWD/,"pillar, column",,,,,,,,,,,,,,,,,,,,,,,,
<MWN/,Ammon,,,,,,,,,,,,,,,,,,,,,,,,
<MWNJ/,Ammonite,,,,,,,,,,,,,,,,,,,,,,,,
<MWQ/,Amok,,,,,,,,,,,,,,,,,,,,,,,,
<MWS/,Amos,,,,,,,,,,,,,,,,,,,,,,,,
<NB/,grape (cluster),,,,,,,,,,,,,,,,,,,,,,,,
<NB=/,Anab,,,,,,,,,,,,,,,,,,,,,,,,
<NC/,fine,,,,,,,,,,,,,,,,,,,,,,,,
<NC[,,fine,be fined,,,,,,,,,,,,,,,,,,,,,,
<ND[,,bind around,,,,,,,,,,,,,,,,,,,,,,,
<NG/,dainty,,,,,,,,,,,,,,,,,,,,,,,,
<NG=/,delight,,,,,,,,,,,,,,,,,,,,,,,,
<NG[,,,,,"pampered, spoiled",pamper oneself,,,,,,,,,,,,,,,,,,,
<NH/,intercourse,,,,,,,,,,,,,,,,,,,,,,,,
<NH=/,Anah,,,,,,,,,,,,,,,,,,,,,,,,
<NH===[,,be worried about,,,,,cause to worry about,,,,,,,,,,,,,,,,,,
<NH==[,,sing; howl,,sing for,,,,,,,,,,,,,,,,,,,,,
<NH=[,,"bend down, be afflicted, be humble","humble oneself, be humbled","oppress, humiliate","be humbled, humble oneself",be afflicted; sumbit,oppress,,,,,,,,,,,,,,,,,,
<NH[,,answer,be answered; let oneself be brought to answer,,,,answer?; take heed?,,,,,,,,,,,"answer, start to speak",,,,,,,
<NJ/,"afflicted, poor; humble",,,,,,,,,,,,,,,,,,,,,,,,
<NJ=/,"misery, affliction, poverty",,,,,,,,,,,,,,,,,,,,,,,,
<NJ==/,Unni,,,,,,,,,,,,,,,,,,,,,,,,
<NJH/,Anaiah,,,,,,,,,,,,,,,,,,,,,,,,
<NJM/,Anim,,,,,,,,,,,,,,,,,,,,,,,,
<NJN/,"occupation, task",,,,,,,,,,,,,,,,,,,,,,,,
<NM/,Anem,,,,,,,,,,,,,,,,,,,,,,,,
<NMJM/,Anamites,,,,,,,,,,,,,,,,,,,,,,,,
<NMLK/,Anammelech,,,,,,,,,,,,,,,,,,,,,,,,
<NN/,"clouds, cloud-mass",,,,,,,,,,,,,,,,,,,,,,,,
<NN=/,Anan,,,,,,,,,,,,,,,,,,,,,,,,
<NNH/,cloud,,,,,,,,,,,,,,,,,,,,,,,,
<NNJ/,Anani,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH/,Ananiah,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH=/,Ananiah,,,,,,,,,,,,,,,,,,,,,,,,
<NN[,,,,"cause to appear, conjure up",,,,,,,,,,,,,,,,,,,,,
<NP/,"branch, branches",,,,,,,,,,,,,,,,,,,,,,,,
<NP=/,full of branches,,,,,,,,,,,,,,,,,,,,,,,,
<NQ/,long-neck,,,,,,,,,,,,,,,,,,,,,,,,
<NQ=/,necklace,,,,,,,,,,,,,,,,,,,,,,,,
<NQ[,,put on as necklace,,,,,"put on one's neck, equip with",,,,,,,,,,,,,,,,,,
<NR/,Aner,,,,,,,,,,,,,,,,,,,,,,,,
<NR=/,Aner,,,,,,,,,,,,,,,,,,,,,,,,
<NT/,Anath,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJ/,Anathothite,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJH/,Anthothijah,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT/,Anathoth,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT=/,Anathoth,,,,,,,,,,,,,,,,,,,,,,,,
<NW/,"poor, humble, meek",,,,,,,,,,,,,,,,,,,,,,,,
<NWB/,Anub,,,,,,,,,,,,,,,,,,,,,,,,
<NWCJM/,fines,,,,,,,,,,,,,,,,,,,,,,,,
