lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
<CC[,变得软弱；变衰弱,,,,,,,,,,,,,,,,
<CJR/,有钱人；财主,,,,,,,,,,,,,,,,
<CQ/,敲诈勒索；滥权,,,,,,,,,,,,,,,,
<CQ=/,以设，《思》厄舍克,,,,,,,,,,,,,,,,
<CQH/,困扰；陷入困境,,,,,,,,,,,,,,,,
<CQ[,敲诈勒索；诈骗；滥权,欺压,,,被欺压,,,,,,,,,,,,
<CR/,财富；钱财,,,,,,,,,,,,,,,,
<CR[,富有；变得富有,富有,,,,装富,使富有,,,,,,,,,,
<CT/,牌匾？牌子？板块？方块？,,,,,,,,,,,,,,,,
<CTJ/,十一；第十一,,,,,,,,,,,,,,,,
<CTRT/,亚斯她录，《思》阿市托勒特,,,,,,,,,,,,,,,,
<CTRT=/,小绵羊；小山羊,,,,,,,,,,,,,,,,
<CTRT==/,亚斯她录，《思》阿市托勒特,,,,,,,,,,,,,,,,
<CTRTJ/,亚施他拉人，《思》阿市塔洛特人,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,亚特律‧加宁，《思》阿市塔特卡尔纳殷,,,,,,,,,,,,,,,,
<CTRWT/,亚斯她录，《思》阿舍塔洛特，阿市塔洛特,,,,,,,,,,,,,,,,
<CTWT/,思想；意见,,,,,,,,,,,,,,,,
<CWT=/,亚施法，《思》阿市瓦特,,,,,,,,,,,,,,,,
<D<DH/,亚大达，《思》阿尔阿辣,,,,,,,,,,,,,,,,
<D=/,见证，证人,,,,,,,,,,,,,,,,
<DCH/,红豆，小扁豆,,,,,,,,,,,,,,,,
<DH/,见证；规定,,,,,,,,,,,,,,,,
<DH=/,见证；规定,,,,,,,,,,,,,,,,
<DH===/,亚大，《思》阿达,,,,,,,,,,,,,,,,
<DH=[,,大步行走,,,,,脱去,,,,,,,,,,
<DJ/,首饰；珠宝,,,,,,,,,,,,,,,,
<DJ>L/,亚底业，《思》阿狄耳,,,,,,,,,,,,,,,,
<DJN>/,亚第拿，《思》阿狄纳,,,,,,,,,,,,,,,,
<DJTJM/,亚底他音，《思》阿狄塔殷,,,,,,,,,,,,,,,,
<DLJ/,亚第莱，《思》阿德来,,,,,,,,,,,,,,,,
<DLM/,亚杜兰，《思》阿杜蓝,,,,,,,,,,,,,,,,
<DLMJ/,亚杜兰人，《思》阿杜蓝人,,,,,,,,,,,,,,,,
<DN,仍然；至今,,,,,,,,,,,,,,,,
<DN===/,伊甸，《思》厄登,,,,,,,,,,,,,,,,
<DN>/,阿底拿，《思》阿德纳,,,,,,,,,,,,,,,,
<DP[,多出来的；剩下的,保留,,,,,使有余,,,,,,,,,,
<DR/,一群；畜群,,,,,,,,,,,,,,,,
<DR=/,一群；畜群,,,,,,,,,,,,,,,,
<DR==/,一群；畜群,,,,,,,,,,,,,,,,
<DR===/,亚得，《思》厄德尔,,,,,,,,,,,,,,,,
<DRJ>L/,亚得列，《思》阿德黎耳,,,,,,,,,,,,,,,,
<DR[,,,缺乏,使缺乏,,,,,,,,,,,,,
<FB/,草；绿色植物；植被；牧草,,,,,,,,,,,,,,,,
<FH>L/,亚撒黑，《思》阿撒耳,,,,,,,,,,,,,,,,
<FH[,造；创造；生产；建筑,做,被做,压榨,被压榨,,,,,,,,,,,,
<FJ>L/,亚薛，《思》阿息耳,,,,,,,,,,,,,,,,
<FJH/,亚撒雅，《思》阿撒雅,,,,,,,,,,,,,,,,
<FJRJ/,第十,,,,,,,,,,,,,,,,
<FQ/,埃色，《思》「争论」,,,,,,,,,,,,,,,,
<FR=/,十,,,,,,,,,,,,,,,,
<FRH=/,十,,,,,,,,,,,,,,,,
<FRWN/,三分之一,,,,,,,,,,,,,,,,
<FR[,,征十一税,,纳十一税,,,纳十一税,,,,,,,,,,
<FW/,以扫，《思》厄撒乌,,,,,,,,,,,,,,,,
<FWR/,十,,,,,,,,,,,,,,,,
<GH/,饼；哈拉饼,,,,,,,,,,,,,,,,
<GJL/,耳环,,,,,,,,,,,,,,,,
<GL/,公牛犊,,,,,,,,,,,,,,,,
<GL=/,圆形的,,,,,,,,,,,,,,,,
<GLH/,伊基拉‧施利施亚，《思》厄革拉舍里史雅,,,,,,,,,,,,,,,,
<GLH=/,车；马车；战车,,,,,,,,,,,,,,,,
<GLH==/,伊基拉‧施利施亚，《思》厄革拉舍里史雅,,,,,,,,,,,,,,,,
<GLWN/,伊矶伦，《思》厄革隆,,,,,,,,,,,,,,,,
<GLWN=/,伊矶伦，《思》厄革隆,,,,,,,,,,,,,,,,
<GM[,悲伤；忧愁,,,,,,,,,,,,,,,,
<GN[,隔离；避免（结婚）,,,,,,,,,,,,,,,,
<GWR/,白鹤,,,,,,,,,,,,,,,,
<J/,废墟,,,,,,,,,,,,,,,,
<JBL/,以巴录，《思》厄巴耳,,,,,,,,,,,,,,,,
<JBL=/,以巴录，《思》厄巴耳,,,,,,,,,,,,,,,,
<JC/,大熊星座，北斗,,,,,,,,,,,,,,,,
<JJM/,以耶‧亚巴琳（以因），《思》依因阿巴陵,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,以耶‧亚巴琳，《思》依耶阿巴陵，依因阿巴陵,,,,,,,,,,,,,,,,
<JLJ/,以来，《思》依来,,,,,,,,,,,,,,,,
<JLM/,以拦，《思》厄蓝,,,,,,,,,,,,,,,,
<JNN/,以南，《思》厄南,,,,,,,,,,,,,,,,
<JN_<GLJM/,隐‧以革莲，《思》恩厄革拉因,,,,,,,,,,,,,,,,
<JN_CMC/,隐‧示麦，《思》舍默士水泉,,,,,,,,,,,,,,,,
<JN_DWR/,隐‧多珥，《思》恩多尔,,,,,,,,,,,,,,,,
<JN_GDJ/,隐‧基底，《思》恩革狄,,,,,,,,,,,,,,,,
<JN_GNJM/,隐‧干宁，《思》恩加宁,,,,,,,,,,,,,,,,
<JN_MCPV/,安‧密巴，《思》恩米市帕特,,,,,,,,,,,,,,,,
<JN_RGL/,隐‧罗结，《思》洛革耳泉,,,,,,,,,,,,,,,,
<JN_RMWN/,隐‧临门，《思》恩黎孟,,,,,,,,,,,,,,,,
<JN_TPWX/,隐‧他普亚，《思》恩塔普亚,,,,,,,,,,,,,,,,
<JN_XDH/,隐‧哈大，《思》恩哈达,,,,,,,,,,,,,,,,
<JN_XRD/,哈律泉，《思》哈洛得泉,,,,,,,,,,,,,,,,
<JN_XYWR/,隐‧夏琐，《思》恩哈祚尔,,,,,,,,,,,,,,,,
<JP/,疲倦；虚弱；十分饥饿,,,,,,,,,,,,,,,,
<JP[,飞行,,,,,,,,,,,,,,,,
<JR/,城镇,,,,,,,,,,,,,,,,
<JR=/,小公驴,,,,,,,,,,,,,,,,
<JR==/,城镇,,,,,,,,,,,,,,,,
<JR===/,城镇,,,,,,,,,,,,,,,,
<JR====/,城镇,,,,,,,,,,,,,,,,
<JR>/,以拉，《思》依辣,,,,,,,,,,,,,,,,
<JRD/,以拿，《思》依辣得,,,,,,,,,,,,,,,,
<JRJ/,以利，《思》依黎,,,,,,,,,,,,,,,,
<JRM/,赤身露体,,,,,,,,,,,,,,,,
<JRM=/,以兰，《思》依兰,,,,,,,,,,,,,,,,
<JRW/,以路，《思》依尔,,,,,,,,,,,,,,,,
<JR_CMC/,伊珥‧示麦，《思》依尔舍默士,,,,,,,,,,,,,,,,
<JR_HMLX/,盐城，《思》盐城,,,,,,,,,,,,,,,,
<JV/,猛禽,,,,,,,,,,,,,,,,
<JVM/,以坦，《思》厄坦,,,,,,,,,,,,,,,,
<JWN/,以云，《思》依雍,,,,,,,,,,,,,,,,
<KBJC/,蜘蛛,,,,,,,,,,,,,,,,
<KBR/,老鼠；耗子,,,,,,,,,,,,,,,,
<KBWR/,亚革波，《思》阿革波尔,,,,,,,,,,,,,,,,
<KCWB/,蜘蛛；毒蛇,,,,,,,,,,,,,,,,
<KN/,亚干，《思》阿干,,,,,,,,,,,,,,,,
<KR/,亚迦，《现》亚干，《思》阿加尔,,,,,,,,,,,,,,,,
<KRN/,俄兰，《思》敖革兰,,,,,,,,,,,,,,,,
<KR[,麻烦,制造禁忌,成为禁忌,,,,,,,,,,,,,,
<KS/,脚镯，足饰,,,,,,,,,,,,,,,,
<KSH/,押撒，《思》阿革撒,,,,,,,,,,,,,,,,
<KW/,亚柯，《思》阿苛,,,,,,,,,,,,,,,,
<KWR/,亚割谷，《思》阿苛尔山谷,,,,,,,,,,,,,,,,
<L/,轭；压迫；捆绑,,,,,,,,,,,,,,,,
<L>/,乌拉，《思》乌拉,,,,,,,,,,,,,,,,
<LG/,口吃的人,,,,,,,,,,,,,,,,
<LH/,（献）燔祭,,,,,,,,,,,,,,,,
<LH=/,叶子,,,,,,,,,,,,,,,,
<LH[,上来；上腾，上升,上升,被举起,,,自我提升,使上升,被献祭,,,,,,,,,
<LJ/,上面的,,,,,,,,,,,,,,,,
<LJ=/,杵,,,,,,,,,,,,,,,,
<LJ==/,以利，《思》厄里,,,,,,,,,,,,,,,,
<LJH/,楼上；楼顶屋,,,,,,,,,,,,,,,,
<LJL/,炼炉；窑,,,,,,,,,,,,,,,,
<LJLH/,工作，作为,,,,,,,,,,,,,,,,
<LJLJH/,工作，作为,,,,,,,,,,,,,,,,
<LJWN/,高；上面的；顶部的,,,,,,,,,,,,,,,,
<LJZ/,快乐；欣喜；欢欣鼓舞；眉飞色舞,,,,,,,,,,,,,,,,
<LLWT/,落穗,,,,,,,,,,,,,,,,
<LL[,经常做（某些）行为,,,处理,被处理,妄为对待,,,,,,,,,,,
<LM/,男孩,,,,,,,,,,,,,,,,
<LMH/,女孩；年轻女子,,,,,,,,,,,,,,,,
<LMT/,阿勒篾，《思》阿肋默特,,,,,,,,,,,,,,,,
<LMT=/,阿勒篾，《思》阿肋默特,,,,,,,,,,,,,,,,
<LMWN/,亚勒们，《思》阿耳孟,,,,,,,,,,,,,,,,
<LM[,躲藏起来,隐秘,被隐藏,,,隐藏自己,隐瞒,,,,,,,,,,
<LPH/,变得虚弱,,,,,,,,,,,,,,,,
<LP[,变得虚弱,,,,被覆盖,自我包裹,,,,,,,,,,,
<LS[,享受,享受,欢快摆动,,,喜悦于,,,,,,,,,,,
<LVH/,黄昏；傍晚,,,,,,,,,,,,,,,,
<LWQH/,尼罗河水蛭,,,,,,,,,,,,,,,,
<LY[,高兴；欢欣鼓舞,,,,,,,,,,,,,,,,
<LZ/,高兴；欢欣鼓舞,,,,,,,,,,,,,,,,
<M<D/,亚末，《思》阿玛得,,,,,,,,,,,,,,,,
<MCSJ/,亚玛帅，《思》阿玛赛,,,,,,,,,,,,,,,,
<MD=/,地方，地点；位置,,,,,,,,,,,,,,,,
<MDH/,站立位置；防守,,,,,,,,,,,,,,,,
<MD[,站，站立；站稳,站立,,,,,使站立,被竖立,,,,,,,,,
<MF>/,亚玛撒，《思》阿玛撒,,,,,,,,,,,,,,,,
<MFJ/,亚玛赛，《思》阿玛赛,,,,,,,,,,,,,,,,
<MJ>L/,亚米利，《思》阿米耳,,,,,,,,,,,,,,,,
<MJCDJ/,亚米沙代，《思》阿米沙待,,,,,,,,,,,,,,,,
<MJHWD/,亚米忽，《思》阿米胡得,,,,,,,,,,,,,,,,
<MJNDB/,亚米拿达，《思》阿米纳达布,,,,,,,,,,,,,,,,
<MJR/,割下的谷物；禾捆,,,,,,,,,,,,,,,,
<MJZBD/,暗米萨拔，《思》阿米匝巴特,,,,,,,,,,,,,,,,
<MLQ/,亚玛力，《思》阿玛肋克,,,,,,,,,,,,,,,,
<MLQJ/,亚玛力人，《思》阿玛肋克人,,,,,,,,,,,,,,,,
<MM=[,变暗,,,,,,,,,,,,,,,,
<MM[,变暗,,,,,,,,,,,,,,,,
<MNH/,基法‧阿摩尼,,,,,,,,,,,,,,,,
<MQ/,伊麦‧基悉，《思》厄默客刻漆兹,,,,,,,,,,,,,,,,
<MQ=/,深,,,,,,,,,,,,,,,,
<MQ==/,舌头的深处＞晦涩难懂的言语,,,,,,,,,,,,,,,,
<MQ===/,深度；深厚,,,,,,,,,,,,,,,,
<MQ[,,深,,,,,加深,,,,,,,,,,
<MR/,禾捆,,,,,,,,,,,,,,,,
<MR=/,禾捆,,,,,,,,,,,,,,,,
<MRH/,蛾摩拉，《思》哈摩辣,,,,,,,,,,,,,,,,
<MRJ/,暗利，《思》敖默黎,,,,,,,,,,,,,,,,
<MRM/,暗兰，《思》阿默兰,,,,,,,,,,,,,,,,
<MRMJ/,暗兰族，《思》阿默兰族,,,,,,,,,,,,,,,,
<MR[,捆绑,,,,,,,,,,,,,,,,
<MSJH/,亚玛斯雅，《思》阿玛息雅,,,,,,,,,,,,,,,,
<MS[,,负载,,,,,加于,,,,,,,,,,
<MWD/,柱子，圆柱,,,,,,,,,,,,,,,,
<MWN/,亚扪，《思》阿孟,,,,,,,,,,,,,,,,
<MWNJ/,亚扪人，《思》阿孟人,,,,,,,,,,,,,,,,
<MWQ/,亚木，《思》阿摩克,,,,,,,,,,,,,,,,
<MWS/,阿摩司，《思》亚毛斯,,,,,,,,,,,,,,,,
<NB/,葡萄,,,,,,,,,,,,,,,,
<NB=/,亚拿伯，《思》阿纳布,,,,,,,,,,,,,,,,
<NC/,罚款；贡金,,,,,,,,,,,,,,,,
<NC[,罚款,罚款,被罚款,,,,,,,,,,,,,,
<ND[,捆绑,,,,,,,,,,,,,,,,
<NG/,精致,,,,,,,,,,,,,,,,
<NG=/,愉快,,,,,,,,,,,,,,,,
<NG[,精致,,,,被宠坏,自我宠爱,,,,,,,,,,,
<NH=/,亚拿，《思》阿纳,,,,,,,,,,,,,,,,
<NH===[,,为忧虑,,,,,使为忧虑,,,,,,,,,,
<NH==[,回答，回应，说出来,歌唱,,为唱歌,,,,,,,,,,,,,
<NH=[,,屈身,自我谦卑,压迫,被贬低,受苦,压迫,,,,,,,,,,
<NH[,回答，回应，说出来,回答,被回答,,,,使回答,,,,,,,,,,
<NJ/,受苦的；穷人,,,,,,,,,,,,,,,,
<NJ=/,受苦；不幸；痛苦,,,,,,,,,,,,,,,,
<NJ==/,乌尼，《思》翁尼,,,,,,,,,,,,,,,,
<NJH/,亚奈雅，《思》阿纳雅,,,,,,,,,,,,,,,,
<NJM/,亚念，《思》阿宁,,,,,,,,,,,,,,,,
<NJN/,业务；事情,,,,,,,,,,,,,,,,
<NM/,亚年，《思》恩加宁,,,,,,,,,,,,,,,,
<NMJM/,亚拿米人，《思》阿纳明人,,,,,,,,,,,,,,,,
<NMLK/,亚拿米勒，《思》阿纳默肋客,,,,,,,,,,,,,,,,
<NN/,云；雾；烟,,,,,,,,,,,,,,,,
<NN=/,云；雾；烟,,,,,,,,,,,,,,,,
<NNH/,云,,,,,,,,,,,,,,,,
<NNJ/,阿拿尼，《思》阿纳尼,,,,,,,,,,,,,,,,
<NNJH/,亚难尼，《思》阿纳尼雅,,,,,,,,,,,,,,,,
<NNJH=/,亚难尼，《思》阿纳尼雅,,,,,,,,,,,,,,,,
<NN[,占卜；算命,,,,,,,,,,,,,,,,
<NP/,树枝；分枝,,,,,,,,,,,,,,,,
<NP=/,枝叶繁茂,,,,,,,,,,,,,,,,
<NQ=/,项链；吊坠；项圈,,,,,,,,,,,,,,,,
<NQ[,（某项活动）用作项链>全身心投入（某项活动）,戴项链,,,,,套颈部,,,,,,,,,,
<NR/,亚乃，《思》阿乃尔,,,,,,,,,,,,,,,,
<NR=/,亚乃，《思》阿乃尔,,,,,,,,,,,,,,,,
<NT/,亚拿，《思》阿纳特,,,,,,,,,,,,,,,,
<NTTJ/,从亚拿突来,,,,,,,,,,,,,,,,
<NTTJH/,安陀提雅，《思》安托提雅,,,,,,,,,,,,,,,,
<NTWT/,亚拿突，《思》阿纳托特,,,,,,,,,,,,,,,,
<NTWT=/,亚拿突，《思》阿纳托特,,,,,,,,,,,,,,,,
<NW/,受苦的；贫穷的；谦卑的,,,,,,,,,,,,,,,,
<NWB/,亚诺，《思》阿奴布,,,,,,,,,,,,,,,,
<NWH/,谦逊；温柔,,,,,,,,,,,,,,,,
<NWT/,苦难；痛苦,,,,,,,,,,,,,,,,
<PL/,痔疮；肿瘤；溃疡,,,,,,,,,,,,,,,,
<PL[,膨胀；骄傲,,,,被膨胀,,显狂妄,,,,,,,,,,
<PNJ/,俄弗尼，《思》敖弗尼,,,,,,,,,,,,,,,,
<PR/,泥土；尘土；粉末,,,,,,,,,,,,,,,,
<PR=/,年轻的鹿，小鹿,,,,,,,,,,,,,,,,
<PR==/,以弗，《思》厄斐尔,,,,,,,,,,,,,,,,
<PRH/,俄弗拉，《思》敖斐辣,,,,,,,,,,,,,,,,
<PRH=/,俄弗拉，《思》敖斐辣,,,,,,,,,,,,,,,,
<PRH==/,俄弗拉，《思》敖斐辣,,,,,,,,,,,,,,,,
<PRT/,铅,,,,,,,,,,,,,,,,
<QB/,补偿；奖励,,,,,,,,,,,,,,,,
<QB=/,脚跟；蹄,,,,,,,,,,,,,,,,
<QB==/,留下踪迹,,,,,,,,,,,,,,,,
<QBH/,不诚实；狡猾,,,,,,,,,,,,,,,,
<QB[,雅各，《思》雅各伯,抓脚跟,,挽留,,,,,,,,,,,,,
<QC/,歪曲的人,,,,,,,,,,,,,,,,
<QC=/,歪曲的人,,,,,,,,,,,,,,,,
<QCWT/,歪曲,,,,,,,,,,,,,,,,
<QC[,,,行弯曲路,使弯曲,,,定罪,,,,,,,,,,
<QD/,有条纹的，有斑纹的,,,,,,,,,,,,,,,,
<QD[,捆绑,,,,,,,,,,,,,,,,
<QH/,叫嚣；喧闹,,,,,,,,,,,,,,,,
<QLQL/,旁路；小道,,,,,,,,,,,,,,,,
<QLTWN/,扭曲；蠕动,,,,,,,,,,,,,,,,
<QL[,歪曲的；反常的,,,,,,,,,,,,,,,,
<QN/,亚干，《思》阿甘,,,,,,,,,,,,,,,,
<QR/,不能生育；不孕的,,,,,,,,,,,,,,,,
<QR=/,家庭成员；子孙,,,,,,,,,,,,,,,,
<QR==/,家庭成员；子孙,,,,,,,,,,,,,,,,
<QRB/,蝎子,,,,,,,,,,,,,,,,
<QRWN/,以革伦，《思》厄刻龙,,,,,,,,,,,,,,,,
<QRWNJ/,以革伦人，《思》厄刻龙人,,,,,,,,,,,,,,,,
<QR[,根除；连根拔起,拔根,被拔根,割跟腱,,,,,,,,,,,,,
<QWB/,阿谷，《思》阿谷布,,,,,,,,,,,,,,,,
<R/,敌人；对敌,,,,,,,,,,,,,,,,
<R<R/,穷乏人,,,,,,,,,,,,,,,,
<R<RJ/,亚罗珥人，《思》阿洛厄尔人,,,,,,,,,,,,,,,,
<R<WR/,亚罗珥，《思》阿洛厄尔,,,,,,,,,,,,,,,,
<R=/,珥，《思》厄尔,,,,,,,,,,,,,,,,
<R==/,敌人；对敌,,,,,,,,,,,,,,,,
<RB/,晚上,,,,,,,,,,,,,,,,
<RB=/,一群昆虫,,,,,,,,,,,,,,,,
<RB==/,机织或针织的材料,,,,,,,,,,,,,,,,
<RB===/,乌鸦；大鸦,,,,,,,,,,,,,,,,
<RB====/,机织或针织的材料,,,,,,,,,,,,,,,,
<RB======/,乌鸦；大鸦,,,,,,,,,,,,,,,,
<RB========/,晚上,,,,,,,,,,,,,,,,
<RB=[,,天黑,,,,,在晚间做,,,,,,,,,,
<RBH==/,保证；保障,,,,,,,,,,,,,,,,
<RBJ/,阿拉伯人，《思》阿剌伯人,,,,,,,,,,,,,,,,
<RBJ=/,阿拉伯人，《思》阿剌伯人,,,,,,,,,,,,,,,,
<RBTJ/,亚拉巴人，《思》贝特阿辣巴人,,,,,,,,,,,,,,,,
<RBWN/,抵押品，当头,,,,,,,,,,,,,,,,
<RB[,保证；承诺；提供担保,作保,,,,下赌,,,,,,,,,,,
<RD/,亚拉得，《思》阿辣得,,,,,,,,,,,,,,,,
<RD=/,亚拉得，《思》阿辣得,,,,,,,,,,,,,,,,
<RF/,床,,,,,,,,,,,,,,,,
<RG[,喘气,,,,,,,,,,,,,,,,
<RH/,揭开；使……露出；撕掉,,,,,,,,,,,,,,,,
<RH[,揭开；使……露出；撕掉,,被倒出,倒空,,使自己赤露,使赤露,,,,,,,,,,
<RJ/,以利，《思》厄黎,,,,,,,,,,,,,,,,
<RJ=/,以利，《思》厄黎,,,,,,,,,,,,,,,,
<RJH/,裸体；赤身露体,,,,,,,,,,,,,,,,
<RJRJ/,没有儿子，无子女,,,,,,,,,,,,,,,,
<RJSH/,面团,,,,,,,,,,,,,,,,
<RJY/,强大的；暴力的；无情的,,,,,,,,,,,,,,,,
<RK[,,排列,,,,,估价,,,,,,,,,,
<RL/,未受割礼的人,,,,,,,,,,,,,,,,
<RLH/,包皮,,,,,,,,,,,,,,,,
<RL[,视为禁戒的,不收割,露包皮,,,,,,,,,,,,,,
<RM=[,,狡猾,,,,,行诡计,,,,,,,,,,
<RMH/,狡猾；深思熟虑,,,,,,,,,,,,,,,,
<RMH=/,狡猾；深思熟虑,,,,,,,,,,,,,,,,
<RMWN/,梧桐树；枫树,,,,,,,,,,,,,,,,
<RN/,以兰，《思》厄兰,,,,,,,,,,,,,,,,
<RNJ/,以兰族，《思》厄兰家族,,,,,,,,,,,,,,,,
<RPH/,俄珥巴，《思》敖尔帕,,,,,,,,,,,,,,,,
<RP[,扭断脖子,,,,,,,,,,,,,,,,
<RQJ/,亚基人，《思》阿尔克人,,,,,,,,,,,,,,,,
<RR[,脱衣服,脱衣,,拆毁,,被拆毁,,,,,,,,,,,
<RW<R=/,亚罗珥，《思》阿洛厄尔,,,,,,,,,,,,,,,,
<RWD/,野驴,,,,,,,,,,,,,,,,
<RWGH/,种植园地；厚料层,,,,,,,,,,,,,,,,
<RWH/,裸体；赤身露体,,,,,,,,,,,,,,,,
<RWM/,赤身露体,,,,,,,,,,,,,,,,
<RWM=/,机敏的；聪明的；狡诈的；狡猾的；谨慎的,,,,,,,,,,,,,,,,
<RWY/,沟壑；河床,,,,,,,,,,,,,,,,
<RY[,极其惊恐，吓坏了,惧怕,可怕,,,,使战栗,,,,,,,,,,
<SJS/,未发酵葡萄汁；新鲜的葡萄酒,,,,,,,,,,,,,,,,
<SS[,踩踏，践踏,,,,,,,,,,,,,,,,
<T/,时间，时刻，时期，季节，年岁,,,,,,,,,,,,,,,,
<TD[,预备好；准备妥当,,,预备,,被预定,,,,,,,,,,,
<TH,现在,,,,,,,,,,,,,,,,
<TJ/,预备好；可用的,,,,,,,,,,,,,,,,
<TJD/,准备好；预备好,,,,,,,,,,,,,,,,
<TJH/,亚他雅，《思》阿塔雅,,,,,,,,,,,,,,,,
<TJQ/,从胸怀抱走；断奶,,,,,,,,,,,,,,,,
<TJQ=/,华丽的,,,,,,,,,,,,,,,,
<TK/,亚挞，《思》阿塔客,,,,,,,,,,,,,,,,
<TLJ/,亚勒，《思》阿特来,,,,,,,,,,,,,,,,
<TLJH/,亚她利雅，《思》阿塔里雅,,,,,,,,,,,,,,,,
<TM[,烧焦,,,,,,,,,,,,,,,,
<TNJ/,俄得尼，《思》敖特尼,,,,,,,,,,,,,,,,
<TNJ>L/,俄陀聂，《思》敖特尼耳,,,,,,,,,,,,,,,,
<TQ/,狂妄的话,,,,,,,,,,,,,,,,
<TQ=/,恒久的财宝,,,,,,,,,,,,,,,,
<TQ[,移动；挪移,前进,,,,,使前进,,,,,,,,,,
<TR/,恳求者,,,,,,,,,,,,,,,,
<TR=/,以帖，《思》厄特尔,,,,,,,,,,,,,,,,
<TRT/,丰富,,,,,,,,,,,,,,,,
<TR[,恳求；祈求,祈祷,被求情,,,,恳求,,,,,,,,,,
<TWD/,公山羊,,,,,,,,,,,,,,,,
<TWD=/,公山羊,,,,,,,,,,,,,,,,
<V/,笔,,,,,,,,,,,,,,,,
<VH/,覆盖,,,,,,,,,,,,,,,,
<VH=[,覆盖,,,,,,,,,,,,,,,,
<VH[,覆盖,包裹,,,,,包裹于,,,,,,,,,,
<VJCH/,打喷嚏,,,,,,,,,,,,,,,,
<VJN/,腰 >身体；大腿 >身体,,,,,,,,,,,,,,,,
<VLP/,蝙蝠,,,,,,,,,,,,,,,,
<VP=[,,衰弱,消弱,,,虚弱,衰弱,,,,,,,,,,
<VRH/,冠冕；王冠；花环,,,,,,,,,,,,,,,,
<VRH=/,冠冕；王冠；花环,,,,,,,,,,,,,,,,
<VRWT/,亚他录，《思》阿塔洛特,,,,,,,,,,,,,,,,
<VRWT_>DR/,亚他绿‧亚达，《思》阿塔洛特阿达尔,,,,,,,,,,,,,,,,
<VRWT_BJT_JW>B/,亚他绿‧伯‧约押，《思》阿托贝特约阿布,,,,,,,,,,,,,,,,
<VRWT_CWPN/,亚他录‧朔反，《思》阿特洛特芍番,,,,,,,,,,,,,,,,
<VR[,四面围住；四面护卫,环绕,,编冠,,,赐冠,,,,,,,,,,
