lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
<JN_MCPV/,En-mishpat,,,,,,,,,,,,,,,,
<JN_RGL/,En-rogel,,,,,,,,,,,,,,,,
<JN_RMWN/,Rimon,,,,,,,,,,,,,,,,
<JN_TPWX/,En-tappuah,,,,,,,,,,,,,,,,
<JN_XDH/,En-hadah,,,,,,,,,,,,,,,,
<JN_XRD/,"sumber air, mata air",,,,,,,,,,,,,,,,
<JN_XYWR/,En-hazor,,,,,,,,,,,,,,,,
<JP/,lelah,,,,,,,,,,,,,,,,
<JPH/,Efah,,,,,,,,,,,,,,,,
<JPH=/,Efah,,,,,,,,,,,,,,,,
<JPH==/,Efah,,,,,,,,,,,,,,,,
<JP[,terbang,,,,,,,,,,,,,,,,
<JR/,Kota Daud,,,,,,,,,,,,,,,,
<JR=/,"keledai, bagal",,,,,,,,,,,,,,,,
<JR==/,Kota Daud,,,,,,,,,,,,,,,,
<JR===/,Kota Daud,,,,,,,,,,,,,,,,
<JR====/,Kota Daud,,,,,,,,,,,,,,,,
<JR>/,Ira,,,,,,,,,,,,,,,,
<JRD/,Irad,,,,,,,,,,,,,,,,
<JRJ/,Iri,,,,,,,,,,,,,,,,
<JRM/,telanjang,,,,,,,,,,,,,,,,
<JRM=/,Iram,,,,,,,,,,,,,,,,
<JRW/,Iru,,,,,,,,,,,,,,,,
<JR_CMC/,Ir-shemesh,,,,,,,,,,,,,,,,
<JR_HMLX/,Kota Garam,,,,,,,,,,,,,,,,
<JR_NXC/,Ir-nahash,,,,,,,,,,,,,,,,
<JV/,"mangsa, memangsa",,,,,,,,,,,,,,,,
<JVM/,Etam,,,,,,,,,,,,,,,,
<JWN/,Ijon,,,,,,,,,,,,,,,,
<KBJC/,laba-laba,,,,,,,,,,,,,,,,
<KBR/,tikus,,,,,,,,,,,,,,,,
<KBWR/,Akhbor,,,,,,,,,,,,,,,,
<KCWB/,"ular, ular berbisa, ular beludak",,,,,,,,,,,,,,,,
<KN/,Achan,,,,,,,,,,,,,,,,
<KR/,Achan,,,,,,,,,,,,,,,,
<KRN/,Ochran,,,,,,,,,,,,,,,,
<KR[,"masalah, kesulitan, bermasalah, pembuat masalah",mengganggu,terganggu,,,,,,,,,,,,,,
<KS/,gelang kaki,,,,,,,,,,,,,,,,
<KSH/,Achsa,,,,,,,,,,,,,,,,
<KW/,Akko,,,,,,,,,,,,,,,,
<KWR/,lembah Achor,,,,,,,,,,,,,,,,
<L,atas,,,,,,,,,,,,,,,,
<L/,kuk,,,,,,,,,,,,,,,,
<L</,rusuk,,,,,,,,,,,,,,,,
<L=/,atas,,,,,,,,,,,,,,,,
<L>,atas,,,,,,,,,,,,,,,,
<L>/,Ulla,,,,,,,,,,,,,,,,
<LG/,gagap,,,,,,,,,,,,,,,,
<LH/,"Korban Bakaran, Korban api-apian",,,,,,,,,,,,,,,,
<LH=/,daun,,,,,,,,,,,,,,,,
<LH[,"korban, dikorbankan, mengorbankan, persembahan",naik,diangkat,,,mengangkat diri,membawa naik,dipersembahkan,,,,,,,,,
<LJ/,atas,,,,,,,,,,,,,,,,
<LJ=/,lesung,,,,,,,,,,,,,,,,
<LJ==/,Eli,,,,,,,,,,,,,,,,
<LJH/,kamar atas,,,,,,,,,,,,,,,,
<LJL/,tungku pembakaran,,,,,,,,,,,,,,,,
<LJLH/,"malu, memalukan, merasa malu, dipermalukan",,,,,,,,,,,,,,,,
<LJLJH/,perbuatan,,,,,,,,,,,,,,,,
<LJWN/,Mahatinggi,,,,,,,,,,,,,,,,
<LJZ/,"sukacita, bersukacita, kesukacitaan",,,,,,,,,,,,,,,,
<LLWT/,"memungut, memetik",,,,,,,,,,,,,,,,
<LL[,"memungut, memetik",,,menangani,ditangani,memperlakukan semena-mena,,,,,,,,,,,
<LM/,pemuda,,,,,,,,,,,,,,,,
<LMH/,"sumber air, mata air",,,,,,,,,,,,,,,,
<LMJ/,Elam,,,,,,,,,,,,,,,,
<LMT/,Alemot,,,,,,,,,,,,,,,,
<LMT=/,Alemot,,,,,,,,,,,,,,,,
<LMWN/,Almon,,,,,,,,,,,,,,,,
<LMWT/,atas,,,,,,,,,,,,,,,,
<LM[,"kerudung, kerudung, kerudung, terbuka",tersembunyi,tersembunyi,,,bersembunyi,menyembunyikan,,,,,,,,,,
<LPH/,keputihan,,,,,,,,,,,,,,,,
<LP[,pingsan,,,,pingsan,pingsan,,,,,,,,,,,
<LS[,"kesenangan, kesukaan, gembira",menikmati,berkibaran gembira,,,bersukacita,,,,,,,,,,,
<LVH/,kegelapan,,,,,,,,,,,,,,,,
<LWH/,Alvah,,,,,,,,,,,,,,,,
<LWH=/,Alvah,,,,,,,,,,,,,,,,
<LWN/,Alvan,,,,,,,,,,,,,,,,
<LWQH/,lintah,,,,,,,,,,,,,,,,
<LY[,"sukacita, bersukacita, kesukacitaan",,,,,,,,,,,,,,,,
<LZ/,bergembira,,,,,,,,,,,,,,,,
<LZ[,atas,,,,,,,,,,,,,,,,
<M,dengan,,,,,,,,,,,,,,,,
<M/,"bangsa, bangsa-bangsa",,,,,,,,,,,,,,,,
<M<D/,Amad,,,,,,,,,,,,,,,,
<MCSJ/,Amasyai,,,,,,,,,,,,,,,,
<MD/,denganku,,,,,,,,,,,,,,,,
<MD=/,tempat,,,,,,,,,,,,,,,,
<MDH/,sandaran,,,,,,,,,,,,,,,,
<MD[,"menunjuk, ditunjuk",berdiri,,,,,mendirikan,didirikan,,,,,,,,,
<MF>/,Amasa,,,,,,,,,,,,,,,,
<MFJ/,Amasai,,,,,,,,,,,,,,,,
<MH/,sejajar,,,,,,,,,,,,,,,,
<MH=/,Ummah,,,,,,,,,,,,,,,,
<MJ>L/,Ammiel,,,,,,,,,,,,,,,,
<MJCDJ/,Ammisadai,,,,,,,,,,,,,,,,
<MJHWD/,Ammihud,,,,,,,,,,,,,,,,
<MJNDB/,Aminadab,,,,,,,,,,,,,,,,
<MJQ/,dalam,,,,,,,,,,,,,,,,
<MJR/,berkas,,,,,,,,,,,,,,,,
<MJT/,sahabat,,,,,,,,,,,,,,,,
<MJZBD/,Ammizabad,,,,,,,,,,,,,,,,
<ML/,"masalah, kesulitan, bermasalah, pembuat masalah",,,,,,,,,,,,,,,,
<ML=/,"masalah, kesulitan, bermasalah, pembuat masalah",,,,,,,,,,,,,,,,
<ML==/,"masalah, kesulitan, bermasalah, pembuat masalah",,,,,,,,,,,,,,,,
<MLQ/,"Amalek, Orang Amalek, Orang-Orang Amalek",,,,,,,,,,,,,,,,
<MLQJ/,"Amalek, Orang Amalek, Orang-Orang Amalek",,,,,,,,,,,,,,,,
<MM=[,kusam,,,,,,,,,,,,,,,,
<MM[,kusam,,,,,,,,,,,,,,,,
<MNH/,Kepar Amoni,,,,,,,,,,,,,,,,
<MQ/,lembah,,,,,,,,,,,,,,,,
<MQ=/,dalam,,,,,,,,,,,,,,,,
<MQ==/,sulit,,,,,,,,,,,,,,,,
<MQ===/,kedalaman,,,,,,,,,,,,,,,,
<MQ[,,dalam,,,,,mendalamkan,,,,,,,,,,
<MR/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
<MR=/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
<MRH/,Gomora,,,,,,,,,,,,,,,,
<MRJ/,Omri,,,,,,,,,,,,,,,,
<MRM/,Amram,,,,,,,,,,,,,,,,
<MRMJ/,Amrami,,,,,,,,,,,,,,,,
<MR[,mengikat,,,,,,,,,,,,,,,,
<MSJH/,Amasya,,,,,,,,,,,,,,,,
<MS[,memikul,memikul,,,,,membebankan,,,,,,,,,,
<MWD/,"kolom, kolom-kolom, pilar, pilar-pilar",,,,,,,,,,,,,,,,
<MWN/,"Amon, orang Amon, perempuan Amon",,,,,,,,,,,,,,,,
<MWNJ/,"Amon, orang Amon, perempuan Amon",,,,,,,,,,,,,,,,
<MWQ/,Amok,,,,,,,,,,,,,,,,
<MWS/,Amos,,,,,,,,,,,,,,,,
<NB/,"anggur, selentingan",,,,,,,,,,,,,,,,
<NB=/,Anab,,,,,,,,,,,,,,,,
<NC/,"cukai, pajak, kena pajak, perpajakan",,,,,,,,,,,,,,,,
<NC[,denda,mengenakan denda,dikenakan denda,,,,,,,,,,,,,,
<ND[,"mengikat, terikat, ikatan",,,,,,,,,,,,,,,,
<NG/,lemah lembut,,,,,,,,,,,,,,,,
<NG=/,kesenangan,,,,,,,,,,,,,,,,
<NG[,"kesenangan, kesukaan, gembira",,,,dimanjakan,memanjakan diri,,,,,,,,,,,
<NH=/,Anah,,,,,,,,,,,,,,,,
<NH===[,,khawatir,,,,,mengkhawatirkan,,,,,,,,,,
<NH==[,"kesaksian, bersaksi, saksi, saksi-saksi",bernyanyi,,menyanyikan,,,,,,,,,,,,,
<NH=[,"yang menderita, menimpa, menderita, penderitaan",membungkuk,merendahkan diri,menindas,direndahkan,ditindas,menindas,,,,,,,,,,
<NH[,"kesaksian, bersaksi, saksi, saksi-saksi",menjawab,dijawab,,,,menanggapi,,,,,,,,,,
<NJ/,"yang menderita, menimpa, menderita, penderitaan",,,,,,,,,,,,,,,,
<NJ=/,"yang menderita, menimpa, menderita, penderitaan",,,,,,,,,,,,,,,,
<NJ==/,Uni,,,,,,,,,,,,,,,,
<NJH/,Anaya,,,,,,,,,,,,,,,,
<NJM/,Anim,,,,,,,,,,,,,,,,
<NJN/,perkara,,,,,,,,,,,,,,,,
<NM/,Anem,,,,,,,,,,,,,,,,
<NMJM/,Anamim,,,,,,,,,,,,,,,,
<NMLK/,Anammelek,,,,,,,,,,,,,,,,
<NN/,awan,,,,,,,,,,,,,,,,
<NN=/,awan,,,,,,,,,,,,,,,,
<NNH/,awan,,,,,,,,,,,,,,,,
<NNJ/,Anani,,,,,,,,,,,,,,,,
<NNJH/,Ananya,,,,,,,,,,,,,,,,
<NNJH=/,Ananya,,,,,,,,,,,,,,,,
<NN[,"tenung, penenung, perdukunan, dukun",,,,,,,,,,,,,,,,
<NP/,cabang,,,,,,,,,,,,,,,,
<NP=/,bercabang,,,,,,,,,,,,,,,,
<NQ=/,leher,,,,,,,,,,,,,,,,
<NQ[,kalung,mengenakan kalung,,,,,membebani leher,,,,,,,,,,
<NR/,Aner,,,,,,,,,,,,,,,,
<NR=/,Aner,,,,,,,,,,,,,,,,
<NT/,Anat,,,,,,,,,,,,,,,,
<NTTJ/,orang Anatot,,,,,,,,,,,,,,,,
<NTTJH/,Antotija,,,,,,,,,,,,,,,,
<NTWT/,Anatot,,,,,,,,,,,,,,,,
<NTWT=/,Anatot,,,,,,,,,,,,,,,,
<NW/,"rendah hati, kesederhanaan",,,,,,,,,,,,,,,,
<NWB/,Anub,,,,,,,,,,,,,,,,
<NWH/,"rendah hati, kesederhanaan",,,,,,,,,,,,,,,,
<NWH=/,"rendah hati, kesederhanaan",,,,,,,,,,,,,,,,
<NWQ/,Anak,,,,,,,,,,,,,,,,
<NWT/,"yang menderita, menimpa, menderita, penderitaan",,,,,,,,,,,,,,,,
<PJ/,daun,,,,,,,,,,,,,,,,
<PL/,bisul,,,,,,,,,,,,,,,,
<PL[,memberani,,,,membengkak,,menunjukkan kelalaian,,,,,,,,,,
<PNJ/,Ofni,,,,,,,,,,,,,,,,
<PR/,debu,,,,,,,,,,,,,,,,
<PR=/,"rusa, kijang betina, kijang, kijang jantan",,,,,,,,,,,,,,,,
<PR==/,Efer,,,,,,,,,,,,,,,,
<PRH/,Ofra,,,,,,,,,,,,,,,,
<PRH=/,Ofra,,,,,,,,,,,,,,,,
<PRH==/,Ofra,,,,,,,,,,,,,,,,
<PRT/,timbal,,,,,,,,,,,,,,,,
<PRWN/,Efron,,,,,,,,,,,,,,,,
<PRWN=/,Efron,,,,,,,,,,,,,,,,
<QB/,"upah, upahan, memberikan upah, pemberi upah",,,,,,,,,,,,,,,,
<QB=/,tumit,,,,,,,,,,,,,,,,
<QB==/,bengkok,,,,,,,,,,,,,,,,
<QBH/,lihai,,,,,,,,,,,,,,,,
<QB[,"Israel, Orang Israel, Orang-orang Israel, Yakub",mengikut dari belakang,,menahan,,,,,,,,,,,,,
<QC/,"sesat, secara sesat",,,,,,,,,,,,,,,,
<QC=/,"sesat, secara sesat",,,,,,,,,,,,,,,,
<QCWT/,kemelikan,,,,,,,,,,,,,,,,
<QC[,,,berbelok dari jalan,membelokkan,,,menganggap bersalah,,,,,,,,,,
<QD/,belang,,,,,,,,,,,,,,,,
<QD[,"mengikat, terikat, ikatan",,,,,,,,,,,,,,,,
<QH/,tekanan,,,,,,,,,,,,,,,,
<QLQL/,berliku,,,,,,,,,,,,,,,,
<QLTWN/,berkelok,,,,,,,,,,,,,,,,
<QL[,"sesat, secara sesat",,,,,,,,,,,,,,,,
<QN/,Akan,,,,,,,,,,,,,,,,
<QR/,tandus,,,,,,,,,,,,,,,,
<QR=/,keturunan,,,,,,,,,,,,,,,,
<QR==/,keturunan,,,,,,,,,,,,,,,,
<QRB/,kalajengking,,,,,,,,,,,,,,,,
<QRWN/,"Ekron, orang-orang Ekron",,,,,,,,,,,,,,,,
<QRWNJ/,"Ekron, orang-orang Ekron",,,,,,,,,,,,,,,,
<QR[,mencabut,mencabut,tercabut,melumpuhkan,,,,,,,,,,,,,
<QWB/,Akub,,,,,,,,,,,,,,,,
<R/,Ar,,,,,,,,,,,,,,,,
<R<R/,sengsara,,,,,,,,,,,,,,,,
<R<RJ/,Aroerit,,,,,,,,,,,,,,,,
<R<WR/,Aroer,,,,,,,,,,,,,,,,
<R=/,Er,,,,,,,,,,,,,,,,
<R==/,Ar,,,,,,,,,,,,,,,,
<RB/,"korban sajian, persembahan biji-bijan",,,,,,,,,,,,,,,,
<RB=/,kawanan serangga,,,,,,,,,,,,,,,,
<RB==/,arab,,,,,,,,,,,,,,,,
<RB===/,gagak,,,,,,,,,,,,,,,,
<RB====/,arab,,,,,,,,,,,,,,,,
<RB=====/,bercampur,,,,,,,,,,,,,,,,
<RB======/,gagak,,,,,,,,,,,,,,,,
<RB=======/,"baik, kebaikan",,,,,,,,,,,,,,,,
<RB========/,"korban sajian, persembahan biji-bijan",,,,,,,,,,,,,,,,
<RB=[,senja,menjadi sore,,,,,melakukan di sore hari,,,,,,,,,,
<RBH/,Arabia,,,,,,,,,,,,,,,,
<RBH=/,Arabia,,,,,,,,,,,,,,,,
<RBH==/,"ikrar, diikrarkan",,,,,,,,,,,,,,,,
<RBJ/,"Arabia, orang Arabian",,,,,,,,,,,,,,,,
<RBJ=/,"Arabia, orang Arabian",,,,,,,,,,,,,,,,
<RBTJ/,Arbaati,,,,,,,,,,,,,,,,
<RBWN/,"ikrar, diikrarkan",,,,,,,,,,,,,,,,
<RB[,"ikrar, diikrarkan",menjamin,,,,bertaruh,,,,,,,,,,,
<RD/,Arad,,,,,,,,,,,,,,,,
<RD=/,Arad,,,,,,,,,,,,,,,,
<RF/,tempat tidur,,,,,,,,,,,,,,,,
<RG[,merindukan,,,,,,,,,,,,,,,,
<RH/,membuka,,,,,,,,,,,,,,,,
<RH[,membuka,,tumpah,mengosongkan,,membuka diri,membuat telanjang,,,,,,,,,,
<RJ/,Eri,,,,,,,,,,,,,,,,
<RJ=/,Eri,,,,,,,,,,,,,,,,
<RJH/,ketelanjangan,,,,,,,,,,,,,,,,
<RJRJ/,tanpa anak,,,,,,,,,,,,,,,,
<RJSH/,adonan,,,,,,,,,,,,,,,,
<RJY/,"teror, ketakutan, mengerikan",,,,,,,,,,,,,,,,
<RK/,nilai,,,,,,,,,,,,,,,,
<RK[,"menahbiskan, menetapkan, ditahbiskan, ketetapan",menata,,,,,menilai,,,,,,,,,,
<RL/,"menyunat, disunat, penyunatan, tidak disunat",,,,,,,,,,,,,,,,
<RLH/,kulup,,,,,,,,,,,,,,,,
<RL[,"menyunat, disunat, penyunatan, tidak disunat",membiarkan tidak dipanen,menampakkan khitan,,,,,,,,,,,,,,
<RM=[,,bersifat licik,,,,,merencanakan dengan licik,,,,,,,,,,
<RMH/,"kebijaksanaan, kehati-hatian, hati-hati, bijaksana",,,,,,,,,,,,,,,,
<RMH=/,"kebijaksanaan, kehati-hatian, hati-hati, bijaksana",,,,,,,,,,,,,,,,
<RMWN/,pohon chinar,,,,,,,,,,,,,,,,
<RM[,menimbun,,,,,,,,,,,,,,,,
<RN/,Eran,,,,,,,,,,,,,,,,
<RNJ/,Eranit,,,,,,,,,,,,,,,,
<RP/,tengkuk,,,,,,,,,,,,,,,,
<RP=[,potong leher,,,,,,,,,,,,,,,,
<RPH/,Orpa,,,,,,,,,,,,,,,,
<RPL/,mendung,,,,,,,,,,,,,,,,
<RP[,meneteskan,,,,,,,,,,,,,,,,
<RQJ/,Arkit,,,,,,,,,,,,,,,,
<RQ[,menggigit,,,,,,,,,,,,,,,,
<RR[,telanjang,melepas pakaian,,meruntuhkan,,runtuh,,,,,,,,,,,
<RW<R=/,Aroer,,,,,,,,,,,,,,,,
<RWD/,"keledai, bagal",,,,,,,,,,,,,,,,
<RWGH/,bedengan,,,,,,,,,,,,,,,,
<RWH/,ketelanjangan,,,,,,,,,,,,,,,,
<RWM/,telanjang,,,,,,,,,,,,,,,,
<RWM=/,"kebijaksanaan, kehati-hatian, hati-hati, bijaksana",,,,,,,,,,,,,,,,
<RWY/,mengerikan,,,,,,,,,,,,,,,,
<RY[,"takut, kuatir, ketakutan",takut,menakutkan,,,,membuat gemetar,,,,,,,,,,
<SJS/,"anggur, alat pemeras anggur, penekan anggur, kantung anggur",,,,,,,,,,,,,,,,
<SS[,"menginjak-injak, terinjak",,,,,,,,,,,,,,,,
