lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<BRNH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"አለፈ, ማለፍ, ሕግ መተላለፍ",መታለፍ,ማሳለፍ,,,ማሳለፍ,,,,,,,,,,,,,,,,,,
<BT/,,,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,,,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,,,,,,,,,,,,,,,,,,,,,,
<BVJV/,,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,,,,,,,,,,,,,,,,,,,,,,,,
<BWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,,,,,,,,,,,,,,,,,,,,,,,,,
<C/,,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,,,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,,,,,,,,,,,,,,,,,,,,,,,,,
<CN/,,,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,,,,,,,,,,,,,,,,,,,,,,,,
<CQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,,,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,,,,,,,,,,,,,,,,,,,,,,,,
<CR/,,,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,,,,,,,,,,,,,,,,,,,,,,,,
<CT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,,,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CTWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,,,,,,,,,,,,,,,,,,,,
<CWQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,,,,,,,,,,,,,,,,,,,,,,,,,
<D,"እስከ, እስከ, እስከ.. ድረስ",,,,,,,,,,,,,,,,,,,,,,,,
<D/,,,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,,,,,,,,,,,,,,,,,,,,,,,,,
<D=/,,,,,,,,,,,,,,,,,,,,,,,,,
<D==/,,,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,,,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,,,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,,,,,,,,,,,,,,,,,,,,,,,,
<DH[,,,,,,,,,,,,,,,,,,,,,,,,,
<DJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,,,,,,,,,,,,,,,,,,,,,,,,,
<DLMJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN,,,,,,,,,,,,,,,,,,,,,,,,,
<DN/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN==/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN===/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN>/,,,,,,,,,,,,,,,,,,,,,,,,,
<DNH,,,,,,,,,,,,,,,,,,,,,,,,,
<DNH/,,,,,,,,,,,,,,,,,,,,,,,,,
<DNH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<DNX/,,,,,,,,,,,,,,,,,,,,,,,,,
<DN[,,,,,,,,,,,,,,,,,,,,,,,,,
<DP[,,,,,,,,,,,,,,,,,,,,,,,,,
<DR/,,,,,,,,,,,,,,,,,,,,,,,,,
<DR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<DR==/,,,,,,,,,,,,,,,,,,,,,,,,,
<DR===/,,,,,,,,,,,,,,,,,,,,,,,,,
<DR==[,,,,,,,,,,,,,,,,,,,,,,,,,
<DR=[,,,,,,,,,,,,,,,,,,,,,,,,,
<DRJ>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<DR[,,,,,,,,,,,,,,,,,,,,,,,,,
<DW/,,,,,,,,,,,,,,,,,,,,,,,,,
<DW>/,,,,,,,,,,,,,,,,,,,,,,,,,
<DWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<FB/,,,,,,,,,,,,,,,,,,,,,,,,,
<FH>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<FH[,,"ሰራ, ማድረግ, መስራት",መሰራት,"መጫን, መጭመቅ","ተሰራ, መሰራት",,,,,,,,,,,,,,,,,,,,
<FJ>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<FJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<FJRJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<FQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<FQ[,,,,,,,,,,,,,,,,,,,,,,,,,
<FR/,አስር,,,,,,,,,,,,,,,,,,,,,,,,
<FR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRH/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRJM/,ሃያ,,,,,,,,,,,,,,,,,,,,,,,,
<FRJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<FRWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<FR[,,,,,,,,,,,,,,,,,,,,,,,,,
<FW/,,,,,,,,,,,,,,,,,,,,,,,,,
<FWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<GBH/,,,,,,,,,,,,,,,,,,,,,,,,,
<GBJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<GB[,,,,,,,,,,,,,,,,,,,,,,,,,
<GH/,,,,,,,,,,,,,,,,,,,,,,,,,
<GJL/,,,,,,,,,,,,,,,,,,,,,,,,,
<GL/,,,,,,,,,,,,,,,,,,,,,,,,,
<GL=/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLH/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLH==/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLT_CLCJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<GM[,,,,,,,,,,,,,,,,,,,,,,,,,
<GN[,,,,,,,,,,,,,,,,,,,,,,,,,
<GWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<J/,,,,,,,,,,,,,,,,,,,,,,,,,
<J=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JBL/,,,,,,,,,,,,,,,,,,,,,,,,,
<JBL=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JC/,,,,,,,,,,,,,,,,,,,,,,,,,
<JH/,,,,,,,,,,,,,,,,,,,,,,,,,
<JJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JLJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<JLM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JLWM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN/,"ዐይን ምንጭ, ዓይን፣ እይታ፣ ምንጭ",,,,,,,,,,,,,,,,,,,,,,,,
<JN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JNJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JNM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JNN/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN[,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_<GLJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_CMC/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_DWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GDJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GNJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_HTNJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_MCPV/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RGL/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RMWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_TPWX/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XDH/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XRD/,,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XYWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<JP/,,,,,,,,,,,,,,,,,,,,,,,,,
<JPH/,,,,,,,,,,,,,,,,,,,,,,,,,
<JPH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JPH==/,,,,,,,,,,,,,,,,,,,,,,,,,
<JPJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<JP[,,,,,,,,,,,,,,,,,,,,,,,,,
<JR/,"ከተማ, ከተማ, የከተማ ክፍል",,,,,,,,,,,,,,,,,,,,,,,,
<JR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR==/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR===/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR====/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR>/,,,,,,,,,,,,,,,,,,,,,,,,,
<JRD/,,,,,,,,,,,,,,,,,,,,,,,,,
<JRJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<JRM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JRM=/,,,,,,,,,,,,,,,,,,,,,,,,,
<JRW/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR_CMC/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR_HMLX/,,,,,,,,,,,,,,,,,,,,,,,,,
<JR_NXC/,,,,,,,,,,,,,,,,,,,,,,,,,
<JT/,,,,,,,,,,,,,,,,,,,,,,,,,
<JV/,,,,,,,,,,,,,,,,,,,,,,,,,
<JVM/,,,,,,,,,,,,,,,,,,,,,,,,,
<JV[,,,,,,,,,,,,,,,,,,,,,,,,,
<JWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<KBJC/,,,,,,,,,,,,,,,,,,,,,,,,,
<KBR/,,,,,,,,,,,,,,,,,,,,,,,,,
<KBWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<KCWB/,,,,,,,,,,,,,,,,,,,,,,,,,
<KN/,አካን,,,,,,,,,,,,,,,,,,,,,,,,
<KR/,,,,,,,,,,,,,,,,,,,,,,,,,
<KRN/,,,,,,,,,,,,,,,,,,,,,,,,,
<KR[,,,,,,,,,,,,,,,,,,,,,,,,,
<KS/,,,,,,,,,,,,,,,,,,,,,,,,,
<KSH/,,,,,,,,,,,,,,,,,,,,,,,,,
<KS[,,,,,,,,,,,,,,,,,,,,,,,,,
<KW/,,,,,,,,,,,,,,,,,,,,,,,,,
<KWR/,,,,,,,,,,,,,,,,,,,,,,,,,
<L,"ላይ, ላይ, ከላይ, ተቃራኒ",,,,,,,,,,,,,,,,,,,,,,,,
<L/,,,,,,,,,,,,,,,,,,,,,,,,,
<L</,,,,,,,,,,,,,,,,,,,,,,,,,
<L<[,,,,,,,,,,,,,,,,,,,,,,,,,
<L=/,,,,,,,,,,,,,,,,,,,,,,,,,
<L>,,,,,,,,,,,,,,,,,,,,,,,,,
<L>/,,,,,,,,,,,,,,,,,,,,,,,,,
<LG/,,,,,,,,,,,,,,,,,,,,,,,,,
<LH/,"የሚቃጠል መስዋዕት, የሚቃጠል መስዋእት",,,,,,,,,,,,,,,,,,,,,,,,
<LH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<LH[,,ወደ ላይ መውጣት,"ተነሳ, ወደ ላይ መወሰድ, መክበር",,,"ተነሳ, ራስን ከፍ ማድረግ","አሳረገ,  ማምጣት፤ ሆ፦መስዋእት ሆኖ መቅረብ","ተሰዋ, መስዋእት ሆኖ መቅረብ, መሰዋት",,,,,,,,,,,,,,,,,
<LJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJ==/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJL/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJLH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJLJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJYT/,,,,,,,,,,,,,,,,,,,,,,,,,
<LJZ/,,,,,,,,,,,,,,,,,,,,,,,,,
<LL=[,,,,,,,,,,,,,,,,,,,,,,,,,
<LLWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<LL[,,,,,,,,,,,,,,,,,,,,,,,,,
<LM/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMT/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMT=/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN_DBLTJMH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LMWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<LM[,,,,,,,,,,,,,,,,,,,,,,,,,
<LPH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LP[,,,,,,,,,,,,,,,,,,,,,,,,,
<LS[,,,,,,,,,,,,,,,,,,,,,,,,,
<LVH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LWH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LWH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<LWMJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<LWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<LWQH/,,,,,,,,,,,,,,,,,,,,,,,,,
<LY[,,,,,,,,,,,,,,,,,,,,,,,,,
<LZ/,,,,,,,,,,,,,,,,,,,,,,,,,
<LZ[,,,,,,,,,,,,,,,,,,,,,,,,,
<M,"ጋር, ከ… ጋር",,,,,,,,,,,,,,,,,,,,,,,,
<M/,"ህዝብ, ሕዝቦች, ዝምድና, ዘመድ",,,,,,,,,,,,,,,,,,,,,,,,
<M<D/,,,,,,,,,,,,,,,,,,,,,,,,,
<MCSJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MD/,,,,,,,,,,,,,,,,,,,,,,,,,
<MD=/,,,,,,,,,,,,,,,,,,,,,,,,,
<MDH/,,,,,,,,,,,,,,,,,,,,,,,,,
<MD[,,"ቆመ, መቆም",,,,,ማቆም፣ መሾም,እንዲቆም መደረግ,,,,,,,,,,,,,,,,,
<MF>/,,,,,,,,,,,,,,,,,,,,,,,,,
<MFJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MH/,,,,,,,,,,,,,,,,,,,,,,,,,
<MH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJ>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJCDJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJHWD/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJNDB/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJR/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJT/,,,,,,,,,,,,,,,,,,,,,,,,,
<MJZBD/,,,,,,,,,,,,,,,,,,,,,,,,,
<ML/,,,,,,,,,,,,,,,,,,,,,,,,,
<ML=/,,,,,,,,,,,,,,,,,,,,,,,,,
<ML==/,,,,,,,,,,,,,,,,,,,,,,,,,
<MLQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MLQJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<ML[,,,,,,,,,,,,,,,,,,,,,,,,,
<MM=[,,,,,,,,,,,,,,,,,,,,,,,,,
<MM[,,,,,,,,,,,,,,,,,,,,,,,,,
<MNH/,,,,,,,,,,,,,,,,,,,,,,,,,
<MNW_>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<MQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MQ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<MQ==/,,,,,,,,,,,,,,,,,,,,,,,,,
<MQ===/,,,,,,,,,,,,,,,,,,,,,,,,,
<MQ[,,,,,,,,,,,,,,,,,,,,,,,,,
<MR/,,,,,,,,,,,,,,,,,,,,,,,,,
<MR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<MR=[,,,,,,,,,,,,,,,,,,,,,,,,,
<MRH/,,,,,,,,,,,,,,,,,,,,,,,,,
<MRJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MRM/,,,,,,,,,,,,,,,,,,,,,,,,,
<MRMJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MR[,,,,,,,,,,,,,,,,,,,,,,,,,
<MSJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<MS[,,,,,,,,,,,,,,,,,,,,,,,,,
<MWD/,,,,,,,,,,,,,,,,,,,,,,,,,
<MWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<MWNJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MWQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<MWS/,,,,,,,,,,,,,,,,,,,,,,,,,
<NB/,,,,,,,,,,,,,,,,,,,,,,,,,
<NB=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NC/,,,,,,,,,,,,,,,,,,,,,,,,,
<NC[,,,,,,,,,,,,,,,,,,,,,,,,,
<ND[,,,,,,,,,,,,,,,,,,,,,,,,,
<NG/,,,,,,,,,,,,,,,,,,,,,,,,,
<NG=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NG[,,,,,,,,,,,,,,,,,,,,,,,,,
<NH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NH===[,,,,,,,,,,,,,,,,,,,,,,,,,
<NH==[,,,,,,,,,,,,,,,,,,,,,,,,,
<NH=[,,,,,,,,,,,,,,,,,,,,,,,,,
<NH[,,መመለስ,መልስ መሰጠት,,,,,,,,,,,,,,,,,,,,,,
<NJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<NJ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NJ==/,,,,,,,,,,,,,,,,,,,,,,,,,
<NJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<NJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<NM/,,,,,,,,,,,,,,,,,,,,,,,,,
<NMJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<NMLK/,,,,,,,,,,,,,,,,,,,,,,,,,
<NN/,,,,,,,,,,,,,,,,,,,,,,,,,
<NN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NNH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NNJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NN[,,,,,,,,,,,,,,,,,,,,,,,,,
<NP/,,,,,,,,,,,,,,,,,,,,,,,,,
<NP=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<NQ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NQ[,,,,,,,,,,,,,,,,,,,,,,,,,
<NR/,,,,,,,,,,,,,,,,,,,,,,,,,
<NR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NT/,,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NW/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWB/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWCJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWH/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWQ/,,,,,,,,,,,,,,,,,,,,,,,,,
<NWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<P<PJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<PJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<PL/,,,,,,,,,,,,,,,,,,,,,,,,,
<PL[,,,,,,,,,,,,,,,,,,,,,,,,,
<PNJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<PP[,,,,,,,,,,,,,,,,,,,,,,,,,
<PR/,,,,,,,,,,,,,,,,,,,,,,,,,
<PR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<PR==/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRH/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRH==/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRJN/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<PRWN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<PR[,,,,,,,,,,,,,,,,,,,,,,,,,
<QB/,,,,,,,,,,,,,,,,,,,,,,,,,
<QB=/,,,,,,,,,,,,,,,,,,,,,,,,,
<QB==/,,,,,,,,,,,,,,,,,,,,,,,,,
<QBH/,,,,,,,,,,,,,,,,,,,,,,,,,
<QB[,,,,,,,,,,,,,,,,,,,,,,,,,
<QC/,,,,,,,,,,,,,,,,,,,,,,,,,
<QC=/,,,,,,,,,,,,,,,,,,,,,,,,,
<QCWT/,,,,,,,,,,,,,,,,,,,,,,,,,
<QC[,,,,,,,,,,,,,,,,,,,,,,,,,
<QD/,,,,,,,,,,,,,,,,,,,,,,,,,
<QD[,,,,,,,,,,,,,,,,,,,,,,,,,
<QH/,,,,,,,,,,,,,,,,,,,,,,,,,
<QLQL/,,,,,,,,,,,,,,,,,,,,,,,,,
<QLTWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<QL[,,,,,,,,,,,,,,,,,,,,,,,,,
<QN/,,,,,,,,,,,,,,,,,,,,,,,,,
<QR/,,,,,,,,,,,,,,,,,,,,,,,,,
<QR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<QR==/,,,,,,,,,,,,,,,,,,,,,,,,,
<QRB/,,,,,,,,,,,,,,,,,,,,,,,,,
<QRWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<QRWNJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<QR[,,,,,,,,,,,,,,,,,,,,,,,,,
<QWB/,,,,,,,,,,,,,,,,,,,,,,,,,
<R/,,,,,,,,,,,,,,,,,,,,,,,,,
<R<R/,,,,,,,,,,,,,,,,,,,,,,,,,
<R<RJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<R<WR/,,,,,,,,,,,,,,,,,,,,,,,,,
<R=/,,,,,,,,,,,,,,,,,,,,,,,,,
<R==/,,,,,,,,,,,,,,,,,,,,,,,,,
<RB/,,,,,,,,,,,,,,,,,,,,,,,,,
<RB=/,,,,,,,,,,,,,,,,,,,,,,,,,
<RB==/,,,,,,,,,,,,,,,,,,,,,,,,,
<RB===/,,,,,,,,,,,,,,,,,,,,,,,,,
<RB====/,,,,,,,,,,,,,,,,,,,,,,,,,
