lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<GH/,"bolo, pão de forma achatado",,,,,,,,,,,,,,,,,,,,,,,,
<GJL/,brinco-anel,,,,,,,,,,,,,,,,,,,,,,,,
<GL/,(bezerro) (boi-) bezerro,,,,,,,,,,,,,,,,,,,,,,,,
<GL=/,rodada,,,,,,,,,,,,,,,,,,,,,,,,
<GLH/,novilha,,,,,,,,,,,,,,,,,,,,,,,,
<GLH=/,"carroça, carroça, carruagem",,,,,,,,,,,,,,,,,,,,,,,,
<GLH==/,Eglah,,,,,,,,,,,,,,,,,,,,,,,,
<GLT_CLCJH/,Eglath Shelishiyah,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GLWN=/,Eglon,,,,,,,,,,,,,,,,,,,,,,,,
<GM[,,ser lamentado por,,,,,,,,,,,,,,,,,,,,,,,
<GN[,,,desligar-se,,,,,,,,,,,,,,,,,,,,,,
<GWR/,(pássaro),,,,,,,,,,,,,,,,,,,,,,,,
<J/,monte de ruínas,,,,,,,,,,,,,,,,,,,,,,,,
<J=/,Ai,,,,,,,,,,,,,,,,,,,,,,,,
<JBL/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JBL=/,Ebal,,,,,,,,,,,,,,,,,,,,,,,,
<JC/,leoa (constelação),,,,,,,,,,,,,,,,,,,,,,,,
<JH/,Aiah,,,,,,,,,,,,,,,,,,,,,,,,
<JJM/,Iyim,,,,,,,,,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,Iye Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<JLJ/,Ilai,,,,,,,,,,,,,,,,,,,,,,,,
<JLM/,Elam,,,,,,,,,,,,,,,,,,,,,,,,
<JLWM/,(incerto),,,,,,,,,,,,,,,,,,,,,,,,
<JN/,olho; fonte,,,,,,,,,,,,,,,,,,,,,,,,
<JN=/,Ain,,,,,,,,,,,,,,,,,,,,,,,,
<JNJM/,Enaim,,,,,,,,,,,,,,,,,,,,,,,,
<JNM/,Enam,,,,,,,,,,,,,,,,,,,,,,,,
<JNN/,Enan,,,,,,,,,,,,,,,,,,,,,,,,
<JN[,,olhar com desconfiança,,,,,,,,,,,,,,,,,,,,,,,
<JN_<GLJM/,En Eglaim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_CMC/,En Shemesh,,,,,,,,,,,,,,,,,,,,,,,,
<JN_DWR/,Endor,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GDJ/,En Gedi,,,,,,,,,,,,,,,,,,,,,,,,
<JN_GNJM/,En Gannim,,,,,,,,,,,,,,,,,,,,,,,,
<JN_HTNJN/,o Poço Jackal,,,,,,,,,,,,,,,,,,,,,,,,
<JN_MCPV/,En Mishpat,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RGL/,En Rogel,,,,,,,,,,,,,,,,,,,,,,,,
<JN_RMWN/,En Rimmon,,,,,,,,,,,,,,,,,,,,,,,,
<JN_TPWX/,En Tappuah,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XDH/,En Haddah,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XRD/,a primavera de Harod,,,,,,,,,,,,,,,,,,,,,,,,
<JN_XYWR/,En Hazor,,,,,,,,,,,,,,,,,,,,,,,,
<JP/,"tênue, cansado",,,,,,,,,,,,,,,,,,,,,,,,
<JPH/,escuridão,,,,,,,,,,,,,,,,,,,,,,,,
<JPH=/,Ephah,,,,,,,,,,,,,,,,,,,,,,,,
<JPH==/,Ephah,,,,,,,,,,,,,,,,,,,,,,,,
<JPJ/,Ephai,,,,,,,,,,,,,,,,,,,,,,,,
<JP[,,estar desmaiado,,,,,,,,,,,,,,,,,,,,,,,
<JR/,cidade,,,,,,,,,,,,,,,,,,,,,,,,
<JR=/,rabo masculino,,,,,,,,,,,,,,,,,,,,,,,,
<JR==/,rabo masculino,,,,,,,,,,,,,,,,,,,,,,,,
<JR===/,agitação,,,,,,,,,,,,,,,,,,,,,,,,
<JR====/,Ir,,,,,,,,,,,,,,,,,,,,,,,,
<JR>/,Ira,,,,,,,,,,,,,,,,,,,,,,,,
<JRD/,Irad,,,,,,,,,,,,,,,,,,,,,,,,
<JRJ/,Iri,,,,,,,,,,,,,,,,,,,,,,,,
<JRM/,nua; nudez,,,,,,,,,,,,,,,,,,,,,,,,
<JRM=/,Iram,,,,,,,,,,,,,,,,,,,,,,,,
<JRW/,Iru,,,,,,,,,,,,,,,,,,,,,,,,
<JR_CMC/,Ir Shemesh,,,,,,,,,,,,,,,,,,,,,,,,
<JR_HMLX/,Cidade do Sal,,,,,,,,,,,,,,,,,,,,,,,,
<JR_NXC/,Ir Nahash,,,,,,,,,,,,,,,,,,,,,,,,
<JT/,Aiath,,,,,,,,,,,,,,,,,,,,,,,,
<JV/,(ave de rapina),,,,,,,,,,,,,,,,,,,,,,,,
<JVM/,Etam,,,,,,,,,,,,,,,,,,,,,,,,
<JV[,,apressar-se; gritar com,,,,,,,,,,,,,,,,,,,,,,,
<JWN/,Ijon,,,,,,,,,,,,,,,,,,,,,,,,
<KBJC/,aranha,,,,,,,,,,,,,,,,,,,,,,,,
<KBR/,mouse,,,,,,,,,,,,,,,,,,,,,,,,
<KBWR/,Acbor,,,,,,,,,,,,,,,,,,,,,,,,
<KCWB/,víbora?,,,,,,,,,,,,,,,,,,,,,,,,
<KN/,Achan,,,,,,,,,,,,,,,,,,,,,,,,
<KR/,Achar,,,,,,,,,,,,,,,,,,,,,,,,
<KRN/,Ocran,,,,,,,,,,,,,,,,,,,,,,,,
<KR[,,causar problemas; fazer tabu,tornar-se tabu?; ser agitado?,,,,,,,,,,,,,,,,,,,,,,
<KS/,"bangle, anklet",,,,,,,,,,,,,,,,,,,,,,,,
<KSH/,Acsah,,,,,,,,,,,,,,,,,,,,,,,,
<KS[,,,,sacudir as pulseiras,,,,,,,,,,,,,,,,,,,,,
<KW/,Acco,,,,,,,,,,,,,,,,,,,,,,,,
<KWR/,Achor,,,,,,,,,,,,,,,,,,,,,,,,
<L,"sobre, acima, contra, sobre (prep); por causa de; oposto a",,,,,,,,,,,,,,,,,,,,,,,,
<L/,jungir,,,,,,,,,,,,,,,,,,,,,,,,
<L<[,,,,beber?,,,,,,,,,,,,,,,,,,,,,
<L=/,altura,,,,,,,,,,,,,,,,,,,,,,,,
<L>/,Ulla,,,,,,,,,,,,,,,,,,,,,,,,
<LG/,gaguejador,,,,,,,,,,,,,,,,,,,,,,,,
<LH/,oferta queimada,,,,,,,,,,,,,,,,,,,,,,,,
<LH=/,"folhas, folhas",,,,,,,,,,,,,,,,,,,,,,,,
<LH[,,ir para cima,"ser elevado, ser exaltado; retirar; ser falado",,,levantar-se,trazer,"ser sacrificado, ser levado; ser inserido",,,,,,,,,,,,,,,,,
<LJ/,superior,,,,,,,,,,,,,,,,,,,,,,,,
<LJ=/,pilão,,,,,,,,,,,,,,,,,,,,,,,,
<LJ==/,Eli,,,,,,,,,,,,,,,,,,,,,,,,
<LJH/,câmara de telhado,,,,,,,,,,,,,,,,,,,,,,,,
<LJL/,(incerto),,,,,,,,,,,,,,,,,,,,,,,,
<LJLH/,"escritura, ação",,,,,,,,,,,,,,,,,,,,,,,,
<LJLJH/,escritura,,,,,,,,,,,,,,,,,,,,,,,,
<LJN/,Alvan,,,,,,,,,,,,,,,,,,,,,,,,
<LJWN/,superior; Altíssimo,,,,,,,,,,,,,,,,,,,,,,,,
<LJYT/,exultação,,,,,,,,,,,,,,,,,,,,,,,,
<LJZ/,regozijando-se; presunçoso,,,,,,,,,,,,,,,,,,,,,,,,
<LL=[,,,,inserir,,,,,,,,,,,,,,,,,,,,,
<LLWT/,respiga,,,,,,,,,,,,,,,,,,,,,,,,
<LL[,,,,lidar com; recolher,ser tratado,lidar com leviandade,,,,,,,,,,,,,,,,,,,
<LM/,jovem,,,,,,,,,,,,,,,,,,,,,,,,
<LMH/,jovem mulher,,,,,,,,,,,,,,,,,,,,,,,,
<LMT/,Alemeth,,,,,,,,,,,,,,,,,,,,,,,,
<LMT=/,Alemeth,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN/,Almon,,,,,,,,,,,,,,,,,,,,,,,,
<LMWN_DBLTJMH/,Almon Diblathaim,,,,,,,,,,,,,,,,,,,,,,,,
<LMWT/,(termo musical),,,,,,,,,,,,,,,,,,,,,,,,
<LM[,,"ao segredo, ao que está oculto (particípio qal)",estar escondido,,,esconder-se,esconder,,,,,,,,,,,,,,,,,,
<LPH/,(incerto),,,,,,,,,,,,,,,,,,,,,,,,
<LP[,,,,,ser coberto; desmaiar,envolver-se; desmaiar,,,,,,,,,,,,,,,,,,,
<LS[,,curtir,bater alegremente,,,deliciar-se,,,,,,,,,,,,,,,,,,,
<LVH/,escuridão,,,,,,,,,,,,,,,,,,,,,,,,
<LWH/,perversidade?,,,,,,,,,,,,,,,,,,,,,,,,
<LWH=/,Alvah,,,,,,,,,,,,,,,,,,,,,,,,
<LWMJM/,juventude,,,,,,,,,,,,,,,,,,,,,,,,
<LWN/,Alvan,,,,,,,,,,,,,,,,,,,,,,,,
<LWQH/,sanguessuga,,,,,,,,,,,,,,,,,,,,,,,,
<LY[,,alegrar,,,,,,,,,,,,,,,,,,,,,,,
<LZ/,regozijando-se,,,,,,,,,,,,,,,,,,,,,,,,
<LZ[,,exultar,,,,,,,,,,,,,,,,,,,,,,,
<M,com; (junto) com; da mesma forma que,,,,,,,,,,,,,,,,,,,,,,,,
<M/,povo; pessoas; parentesco; parente,,,,,,,,,,,,,,,,,,,,,,,,
<M<D/,Amad,,,,,,,,,,,,,,,,,,,,,,,,
<MCSJ/,Amashsai,,,,,,,,,,,,,,,,,,,,,,,,
<MD/,empresa; com,,,,,,,,,,,,,,,,,,,,,,,,
<MD=/,em pé - lugar,,,,,,,,,,,,,,,,,,,,,,,,
<MDH/,de pé,,,,,,,,,,,,,,,,,,,,,,,,
<MD[,,"tomar uma posição, permanecer; parar",,,,,"fazer ficar de pé, estabelecer, nomear",ser levantado,,,,,,,,,,,,,,,,,
<MF>/,Amasa,,,,,,,,,,,,,,,,,,,,,,,,
<MFJ/,Amasai,,,,,,,,,,,,,,,,,,,,,,,,
<MH/,"assim como; perto de, em (preparação); lado a lado",,,,,,,,,,,,,,,,,,,,,,,,
<MH=/,Ummah,,,,,,,,,,,,,,,,,,,,,,,,
<MJ/,Ammi,,,,,,,,,,,,,,,,,,,,,,,,
<MJ>L/,Ammiel,,,,,,,,,,,,,,,,,,,,,,,,
<MJCDJ/,Ammishaddai,,,,,,,,,,,,,,,,,,,,,,,,
<MJHWD/,Ammihud,,,,,,,,,,,,,,,,,,,,,,,,
<MJNDB/,Amminadab,,,,,,,,,,,,,,,,,,,,,,,,
<MJR/,"faixa, fila de grãos caídos",,,,,,,,,,,,,,,,,,,,,,,,
<MJT/,"companheiro, camarada",,,,,,,,,,,,,,,,,,,,,,,,
<MJZBD/,Ammizabad,,,,,,,,,,,,,,,,,,,,,,,,
<ML/,"trabalho, labor, esforço; angústia, problema",,,,,,,,,,,,,,,,,,,,,,,,
<ML=/,labuta; operário,,,,,,,,,,,,,,,,,,,,,,,,
<ML==/,Amal,,,,,,,,,,,,,,,,,,,,,,,,
<MLQ/,Amalek,,,,,,,,,,,,,,,,,,,,,,,,
<MLQJ/,Amalekite,,,,,,,,,,,,,,,,,,,,,,,,
<ML[,,"trabalhar, esforçar-se",,,,,,,,,,,,,,,,,,,,,,,
<MM=[,,,,,,,,tornar-se escuro,,,,,,,,,,,,,,,,,
<MM[,,"aliar-se, ser um jogo para",,,,,,,,,,,,,,,,,,,,,,,
<MNH/,Ammoni,,,,,,,,,,,,,,,,,,,,,,,,
<MNW_>L/,Immanuel,,,,,,,,,,,,,,,,,,,,,,,,
<MQ/,vale; planície,,,,,,,,,,,,,,,,,,,,,,,,
<MQ=/,"profundo, impenetrável",,,,,,,,,,,,,,,,,,,,,,,,
<MQ==/,ininteligível,,,,,,,,,,,,,,,,,,,,,,,,
<MQ===/,profundidade,,,,,,,,,,,,,,,,,,,,,,,,
<MQ[,,ser profundo,,,,,fazer profundo,,,,,,,,,,,,,,,,,,
<MR/,gomer (granulometria),,,,,,,,,,,,,,,,,,,,,,,,
<MR=/,"molho, grão cortado",,,,,,,,,,,,,,,,,,,,,,,,
<MR=[,,,,colher espigas de grãos,,,,,,,,,,,,,,,,,,,,,
<MRH/,Gomorrah,,,,,,,,,,,,,,,,,,,,,,,,
<MRJ/,Omri,,,,,,,,,,,,,,,,,,,,,,,,
<MRM/,Amram,,,,,,,,,,,,,,,,,,,,,,,,
<MRMJ/,Amramite,,,,,,,,,,,,,,,,,,,,,,,,
<MR[,,,,,,tratar violentamente,,,,,,,,,,,,,,,,,,,
<MSJH/,Amasiah,,,,,,,,,,,,,,,,,,,,,,,,
<MS[,,carregar; carregar,,,,,deitar sobre,,,,,,,,,,,,,,,,,,
<MWD/,"pilar, coluna",,,,,,,,,,,,,,,,,,,,,,,,
<MWN/,Amom,,,,,,,,,,,,,,,,,,,,,,,,
<MWNJ/,Ammonite,,,,,,,,,,,,,,,,,,,,,,,,
<MWQ/,Amok,,,,,,,,,,,,,,,,,,,,,,,,
<MWS/,Amós,,,,,,,,,,,,,,,,,,,,,,,,
<NB/,uva (cacho),,,,,,,,,,,,,,,,,,,,,,,,
<NB=/,Anab,,,,,,,,,,,,,,,,,,,,,,,,
<NC/,multa,,,,,,,,,,,,,,,,,,,,,,,,
<NC[,,multar,ser multado,,,,,,,,,,,,,,,,,,,,,,
<ND[,,ligar ao redor,,,,,,,,,,,,,,,,,,,,,,,
<NG/,dainty,,,,,,,,,,,,,,,,,,,,,,,,
<NG=/,delícia,,,,,,,,,,,,,,,,,,,,,,,,
<NG[,,,,,"ser mimado, ser mimado",mimar-se,,,,,,,,,,,,,,,,,,,
<NH/,relação sexual,,,,,,,,,,,,,,,,,,,,,,,,
<NH=/,Anah,,,,,,,,,,,,,,,,,,,,,,,,
<NH===[,,estar preocupado com,,,,,causar preocupação,,,,,,,,,,,,,,,,,,
<NH==[,,cantar; uivar,,cantar para,,,,,,,,,,,,,,,,,,,,,
<NH=[,,"curvar-se, ser aflito, ser humilde","humilhar-se, ser humilhado","oprimir, humilhar","humilhar-se, ser humilhado",ser afligido,oprimir,,,,,,,,,,,,,,,,,,
<NH[,,responder,ser respondido; deixar-se levar a responder,,,,responder; ficar atento,,,,,,,,,,,,,,,,,,
<NJ/,"aflito, pobre; humilde",,,,,,,,,,,,,,,,,,,,,,,,
<NJ=/,"miséria, aflição, pobreza",,,,,,,,,,,,,,,,,,,,,,,,
<NJ==/,Unni,,,,,,,,,,,,,,,,,,,,,,,,
<NJH/,Anaiah,,,,,,,,,,,,,,,,,,,,,,,,
<NJM/,Animais,,,,,,,,,,,,,,,,,,,,,,,,
<NJN/,"ocupação, tarefa",,,,,,,,,,,,,,,,,,,,,,,,
<NM/,Anem,,,,,,,,,,,,,,,,,,,,,,,,
<NMJM/,Anamitas,,,,,,,,,,,,,,,,,,,,,,,,
<NMLK/,Anammelech,,,,,,,,,,,,,,,,,,,,,,,,
<NN/,nuvens,,,,,,,,,,,,,,,,,,,,,,,,
<NN=/,Anan,,,,,,,,,,,,,,,,,,,,,,,,
<NNH/,nuvem,,,,,,,,,,,,,,,,,,,,,,,,
<NNJ/,Anani,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH/,Ananiah,,,,,,,,,,,,,,,,,,,,,,,,
<NNJH=/,Ananiah,,,,,,,,,,,,,,,,,,,,,,,,
<NN[,,,,"fazer aparecer, conjurar",,,,,,,,,,,,,,,,,,,,,
<NP/,"filial, filiais",,,,,,,,,,,,,,,,,,,,,,,,
<NP=/,cheio de filiais,,,,,,,,,,,,,,,,,,,,,,,,
<NQ/,pescoço longo,,,,,,,,,,,,,,,,,,,,,,,,
<NQ=/,colar,,,,,,,,,,,,,,,,,,,,,,,,
<NQ[,,colocar como colar,,,,,"pôr no pescoço, equipar com",,,,,,,,,,,,,,,,,,
<NR/,Aner,,,,,,,,,,,,,,,,,,,,,,,,
<NR=/,Aner,,,,,,,,,,,,,,,,,,,,,,,,
<NT/,Anath,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJ/,Anathothite,,,,,,,,,,,,,,,,,,,,,,,,
<NTTJH/,Anthothijah,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT/,Anathoth,,,,,,,,,,,,,,,,,,,,,,,,
<NTWT=/,Anathoth,,,,,,,,,,,,,,,,,,,,,,,,
